"iso","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"grc","mass","83.3","91.7","98.4","125.4","128.8","139.9","145.9","170.3","175.7","200.6","199.2","206.2","231.8","251.1","255.3","281.9","294.2","341.1","356","333.4","337.8","383.8","418","426.6","458.3","431.6","388.8","415.6","404.2","427.5","408.4","393","328","346","315","340","307","292","291","285","262","255","259","228","227","207","217","150","181","197","178","182","186"
"gtm","mass","9","8.9","11.4","9.1","7.3","19.5","13.6","23.7","19.4","29","13.2","23.6","32","36.9","35.1","49.9","52","52","58.2","51.9","47","58.7","41.7","55.5","60","80","65.8","61.6","83.4","80","98.2","100","107","112","115","110","118.4","101","124","124.5","114","90.2","66.9","107.4","83.4","134.9","90.5","100.3","105.2","110.4","120.6","145.100000858307","187.399993419647"
"hun","mass","92.4","135.4","134.4","169.1","180","185.3","236.6","304.6","347.9","391","393.5","421.8","492.7","551.3","535.8","522.4","582.1","570.1","570.1","536.8","562.9","646.5","625.4","625.9","558.4","593.4","613.8","646.3","572.8","358.6","264.5","148","225.3","243","246.5","318.4","285.8","282","320.6","320","336","330","333","354.4","325.7","341","318.5","232","253","258.7","292","323","329"
"isl","mass","9","9.5","10","10","10.2","10.5","11.4","12","11.7","12.1","13.3","13.7","14.1","13.6","14.7","14.8","15","15.8","15.7","14.8","15.2","14.7","14.8","13.5","12.9","12.8","11.4","11.5","12.1","12.5","12","10.8","12","11.2","10.1","11.6","11.8","12.5","13.5","13","13","14","14","14","14","13","13","12.5","13","13","13","13.1","13.3000001907349"
"ind","mass","310","360","407","434.4","547.4","838.7","1051.8","1253.9","1040.2","1310","1652.7","1742.2","1613","1846.2","1908.6","2351.7","2813.3","2986.3","3444.2","3522.3","3881.4","4043","4637.3","5333.3","5750","6528.7","5702.9","7157.5","7150.9","7565.5","8046.3","8426.8","8778.8","9507.1","9822.8","10316","10901.9","11353.8","11592.7","10910.6","11308.6","10469.2","11077.1","11714.9","12723.3","13774.1","14419.1","15090.1","15582.4","16558.2","17300.2","16820.9","16730.8001648188"
"idn","mass","84.8","98.6","96","108.2","89.9","95.9","67.1","101.1","171.9","183.8","211.7","255.3","329","316.4","338.8","352.3","487","549","620.2","850.8","997","1082.4","1049.1","1285.8","1298.9","1366.2","1467.4","1585.4","1469.1","1609.9","1551.7","1697","1557.9","1649","1844","2084","1706.6","2120.9","1925.5","1964.4","1960","2221.7","2200","2351.7","2507.5","2350","2596","2737","3214.6","3044.9","2939.6","3062.99990272522","2819.99994659424"
"irn","mass","8","7.7","12.7","15.5","17","32","46","49","55","70.2","87","107.6","152.7","194.2","183.3","194","238.4","175.3","286.9","298.8","409.9","492.8","596.6","489.5","467.4","529.4","529.4","527.5","726","558.1","658","834.4","555","609","633","685.2","830","878","847.8","862.5","865.2","883.7","940","1061.7","890.5","1100","983","1151","1050","1050","900","900","910"
"irq","mass","1","1","2","2.3","2.5","4.8","6.4","8.3","10.2","12","13.5","15","13.3","20","33.1","44.3","69.8","66.4","74.2","64.5","63.2","64.7","54.3","109.8","120","131.5","148.5","164.6","138.5","130","95","130","226","238","225","240.5","242.7","251.2","254.7","250.5","297.1","507.2","45.2","2.6","119.9","139.4","106.7","138","150","121.8","130","140","150"
"irl","mass","28.9","33.5","34.8","29.6","31.9","47.8","53.9","64","71.3","87.1","98.3","131.8","130.2","133","152.7","166.7","230.2","263.6","247.5","275.1","275.2","296","331.4","327.7","322.8","371.7","339.3","349","378.5","370","347.9","353","404","433","425","394","397","444","429","368","366","388","362","350","342.5","339.4","309.8","286","365","354","291","338","346"
"isr","mass","21.3","19.2","21.5","22.9","23.9","24.7","28.3","27.9","29.9","31.1","33.4","35.6","30.3","32.6","37.4","36.5","38.2","37.7","35.7","40.8","51.7","45.5","47.1","55.5","52.8","49.8","52","46.5","48.4","49.6","41.3","43.4","44","50","50","65","61","61","44","44","44","47.1","47.9","56.2","46.2","45.9","43.3","44","46.3","41.9","44.6","43.6999999880791","44"
