iso,fuel,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000
cod,biomass,43,43,43,43,43,43,43.2,43.4,43.6,43.8,44,44.2,44.4,44.6,44.8,45,45.2,45.4,45.6,45.8,46,47,48,49,50,51,52,53,54,55,56,57.2,58.4,59.6,60.8,62,63.2,64.4,65.6,66.8,68,69.4,70.8,72.2,73.6,75,76.4,77.8,79.2,80.6,82,83.8,85.6,87.4,89.2,91,92.8,94.6,96.4,98.2,100,102.8,105.6,108.4,111.2,114,118.4,122.8,127.2,131.6,136,141,146,151,156,161,166.2,171.4,176.6,181.8,187,192.6,198.2,203.8,209.4,215,243,271,299,327,355,412.6,470.2,527.8,585.4,643,752.4,861.8,971.2,1080.6,1190,1496,1802,2108,2414,2720,2818,2916,3014,3112,3210,3271.8,3333.6,3395.4,3457.2,3519,3832,4145,4458,4771,5084,5564.2,6044.4,6524.6,7004.8,7485,7032.2,6579.4,6126.6,5673.8,5221,5166,5111,5056,5001,4946,5176.8,5407.6,5638.4,5869.2,6100,6314.4,6528.8,6743.2,6957.6,7172,7402.6,7633.2,7863.8,8094.4,8325
cog,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,240.6,204.2,167.8,131.4,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
col,biomass,49.2,52.4,55.6,58.8,62,65.2,69.44,73.68,77.92,82.16,86.4,92.02,97.64,103.26,108.88,114.5,121.96,129.42,136.88,144.34,151.8,161.68,171.56,181.44,191.32,201.2,214.28,227.36,240.44,253.52,266.6,283.96,301.32,318.68,336.04,353.4,376.4,399.4,422.4,445.4,468.4,499.72,531.04,562.36,593.68,625,666.76,708.52,750.28,792.04,833.8,866.6,899.4,932.2,965,997.8,1041.78,1085.76,1129.74,1173.72,1217.7,1238.74,1259.78,1280.82,1301.86,1322.9,1392.5,1462.1,1531.7,1601.3,1670.9,1713.12,1755.34,1797.56,1839.78,1882,1988.82,2095.64,2202.46,2309.28,2416.1,2490.6,2565.1,2639.6,2714.1,2788.6,2843.9,2899.2,2954.5,3009.8,3065.1,3029.34,2993.58,2957.82,2922.06,2886.3,2866.56,2846.82,2827.08,2807.34,2787.6,2813.6,2839.6,2865.6,2891.6,2917.6,2902.44,2887.28,2872.12,2856.96,2841.8,2805.92,2770.04,2734.16,2698.28,2662.4,3071.76,3481.12,3890.48,4299.84,4709.2,4823.24,4937.28,5051.32,5165.36,5279.4,4807.92,4336.44,3864.96,3393.48,2922,3077.6,3233.2,3388.8,3544.4,3700,3815.82,3931.64,4047.46,4163.28,4279.1,4925.48,5571.86,6218.24,6864.62,7511,7559.5,7608,7656.5,7705,7753.5
cri,biomass,3.8,4.06,4.32,4.58,4.84,5.1,5.42,5.74,6.06,6.38,6.7,7.14,7.58,8.02,8.46,8.9,9.48,10.06,10.64,11.22,11.8,12.58,13.36,14.14,14.92,15.7,16.72,17.74,18.76,19.78,20.8,22.16,23.52,24.88,26.24,27.6,29.38,31.16,32.94,34.72,36.5,38.96,41.42,43.88,46.34,48.8,52.06,55.32,58.58,61.84,65.1,71.9,78.7,85.5,92.3,99.1,105.56,112.02,118.48,124.94,131.4,131.46,131.52,131.58,131.64,131.7,136.32,140.94,145.56,150.18,154.8,158.3,161.8,165.3,168.8,172.3,173.5,174.7,175.9,177.1,178.3,178.1,177.9,177.7,177.5,177.3,185.88,194.46,203.04,211.62,220.2,218.58,216.96,215.34,213.72,212.1,226.92,241.74,256.56,271.38,286.2,302.92,319.64,336.36,353.08,369.8,379.14,388.48,397.82,407.16,416.5,427.64,438.78,449.92,461.06,472.2,580.52,688.84,797.16,905.48,1013.8,1066.48,1119.16,1171.84,1224.52,1277.2,1143.82,1010.44,877.06,743.68,610.3,637.8,665.3,692.8,720.3,747.8,789.92,832.04,874.16,916.28,958.4,915.42,872.44,829.46,786.48,743.5,748.66,753.82,758.98,764.14,769.3
cub,biomass,143,152.3,161.6,170.9,180.2,189.5,201.84,214.18,226.52,238.86,251.2,267.56,283.92,300.28,316.64,333,354.68,376.36,398.04,419.72,441.4,470.12,498.84,527.56,556.28,585,623.08,661.16,699.24,737.32,775.4,825.88,876.36,926.84,977.32,1027.8,1094.68,1161.56,1228.44,1295.32,1362.2,1453.24,1544.28,1635.32,1726.36,1817.4,1938.88,2060.36,2181.84,2303.32,2424.8,2678.72,2932.64,3186.56,3440.48,3694.4,3935.24,4176.08,4416.92,4657.76,4898.6,4900.78,4902.96,4905.14,4907.32,4909.5,5081.68,5253.86,5426.04,5598.22,5770.4,6125.38,6480.36,6835.34,7190.32,7545.3,7689,7832.7,7976.4,8120.1,8263.8,8204.74,8145.68,8086.62,8027.56,7968.5,7824.4,7680.3,7536.2,7392.1,7248,7990.06,8732.12,9474.18,10216.24,10958.3,11590.98,12223.66,12856.34,13489.02,14121.7,14087.5,14053.3,14019.1,13984.9,13950.7,13867.64,13784.58,13701.52,13618.46,13535.4,13217.02,12898.64,12580.26,12261.88,11943.5,11553.34,11163.18,10773.02,10382.86,9992.7,10000.74,10008.78,10016.82,10024.86,10032.9,10213.42,10393.94,10574.46,10754.98,10935.5,10996.52,11057.54,11118.56,11179.58,11240.6,12978.08,14715.56,16453.04,18190.52,19928,17722.5,15517,13311.5,11106,8900.5,8948.98,8997.46,9045.94,9094.42,9142.9
cze,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.2,803.44,699.68,595.92,492.16,388.4
deu,biomass,3180.6,3201.4,3222.2,3243,3263.8,3284.6,3393.62,3502.64,3611.66,3720.68,3829.7,3931.26,4032.82,4134.38,4235.94,4337.5,4427.32,4517.14,4606.96,4696.78,4786.6,4969.28,5151.96,5334.64,5517.32,5700,5479.28,5258.56,5037.84,4817.12,4596.4,4470.4,4344.4,4218.4,4092.4,3966.4,3945.46,3924.52,3903.58,3882.64,3861.7,3734.42,3607.14,3479.86,3352.58,3225.3,3164,3102.7,3041.4,2980.1,2918.8,2804.06,2689.32,2574.58,2459.84,2345.1,2253.52,2161.94,2070.36,1978.78,1887.2,1768.72,1650.24,1531.76,1413.28,1294.8,1119,943.2,767.4,591.6,415.8,443.14,470.48,497.82,525.16,552.5,562.94,573.38,583.82,594.26,604.7,565.48,526.26,487.04,447.82,408.6,438.34,468.08,497.82,527.56,557.3,556.36,555.42,554.48,553.54,552.6,563.16,573.72,584.28,594.84,605.4,725.34,845.28,965.22,1085.16,1205.1,1316.74,1428.38,1540.02,1651.66,1763.3,1827.86,1892.42,1956.98,2021.54,2086.1,2323.26,2560.42,2797.58,3034.74,3271.9,3211.08,3150.26,3089.44,3028.62,2967.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dnk,biomass,372.5,380.42,388.34,396.26,404.18,412.1,412.74,413.38,414.02,414.66,415.3,427.12,438.94,450.76,462.58,474.4,485.9,497.4,508.9,520.4,531.9,542.56,553.22,563.88,574.54,585.2,590.34,595.48,600.62,605.76,610.9,609.32,607.74,606.16,604.58,603,601.52,600.04,598.56,597.08,595.6,585.68,575.76,565.84,555.92,546,532.62,519.24,505.86,492.48,479.1,463.56,448.02,432.48,416.94,401.4,385.38,369.36,353.34,337.32,321.3,302.44,283.58,264.72,245.86,227,214.22,201.44,188.66,175.88,163.1,154.7,146.3,137.9,129.5,121.1,117.96,114.82,111.68,108.54,105.4,102.06,98.72,95.38,92.04,88.7,88.16,87.62,87.08,86.54,86,80.92,75.84,70.76,65.68,60.6,61.64,62.68,63.72,64.76,65.8,68.28,70.76,73.24,75.72,78.2,81.82,85.44,89.06,92.68,96.3,101.88,107.46,113.04,118.62,124.2,135.46,146.72,157.98,169.24,180.5,189.92,199.34,208.76,218.18,227.6,230.02,232.44,234.86,237.28,239.7,260.32,280.94,301.56,322.18,342.8,342.8,342.8,342.8,342.8,342.8,335.52,328.24,320.96,313.68,306.4,309.44,312.48,315.52,318.56,321.6
dom,biomass,15,15.98,16.96,17.94,18.92,19.9,21.2,22.5,23.8,25.1,26.4,28.1,29.8,31.5,33.2,34.9,37.18,39.46,41.74,44.02,46.3,49.32,52.34,55.36,58.38,61.4,65.38,69.36,73.34,77.32,81.3,86.6,91.9,97.2,102.5,107.8,114.82,121.84,128.86,135.88,142.9,152.44,161.98,171.52,181.06,190.6,203.34,216.08,228.82,241.56,254.3,280.94,307.58,334.22,360.86,387.5,412.76,438.02,463.28,488.54,513.8,514.02,514.24,514.46,514.68,514.9,532.96,551.02,569.08,587.14,605.2,642.44,679.68,716.92,754.16,791.4,817.6,843.8,870,896.2,922.4,926.38,930.36,934.34,938.32,942.3,959.68,977.06,994.44,1011.82,1029.2,1046.2,1063.2,1080.2,1097.2,1114.2,1162.84,1211.48,1260.12,1308.76,1357.4,1427.96,1498.52,1569.08,1639.64,1710.2,1738,1765.8,1793.6,1821.4,1849.2,1938.44,2027.68,2116.92,2206.16,2295.4,2970.48,3645.56,4320.64,4995.72,5670.8,5801.16,5931.52,6061.88,6192.24,6322.6,5529.02,4735.44,3941.86,3148.28,2354.7,2241.86,2129.02,2016.18,1903.34,1790.5,1676.72,1562.94,1449.16,1335.38,1221.6,1318.62,1415.64,1512.66,1609.68,1706.7,1670.34,1633.98,1597.62,1561.26,1524.9
ecu,biomass,1.8,1.92,2.04,2.16,2.28,2.4,2.56,2.72,2.88,3.04,3.2,3.42,3.64,3.86,4.08,4.3,4.58,4.86,5.14,5.42,5.7,6.06,6.42,6.78,7.14,7.5,7.98,8.46,8.94,9.42,9.9,10.56,11.22,11.88,12.54,13.2,14.04,14.88,15.72,16.56,17.4,18.58,19.76,20.94,22.12,23.3,24.86,26.42,27.98,29.54,31.1,34.34,37.58,40.82,44.06,47.3,50.38,53.46,56.54,59.62,62.7,62.74,62.78,62.82,62.86,62.9,65.1,67.3,69.5,71.7,73.9,78.44,82.98,87.52,92.06,96.6,99.8,103,106.2,109.4,112.6,113.1,113.6,114.1,114.6,115.1,118.44,121.78,125.12,128.46,131.8,135.56,139.32,143.08,146.84,150.6,165.48,180.36,195.24,210.12,225,233.24,241.48,249.72,257.96,266.2,273.52,280.84,288.16,295.48,302.8,319.2,335.6,352,368.4,384.8,548.78,712.76,876.74,1040.72,1204.7,1284.64,1364.58,1444.52,1524.46,1604.4,1435.6,1266.8,1098,929.2,760.4,785.12,809.84,834.56,859.28,884,921.82,959.64,997.46,1035.28,1073.1,1084.68,1096.26,1107.84,1119.42,1131,1144.9,1158.8,1172.7,1186.6,1200.5
egy,biomass,464,472,480,488,496,504,512.8,521.6,530.4,539.2,548,557.4,566.8,576.2,585.6,595,605.4,615.8,626.2,636.6,647,660.8,674.6,688.4,702.2,716,731.4,746.8,762.2,777.6,793,809.8,826.6,843.4,860.2,877,895.8,914.6,933.4,952.2,971,991.8,1012.6,1033.4,1054.2,1075,1098,1121,1144,1167,1190,1215.4,1240.8,1266.2,1291.6,1317,1345,1373,1401,1429,1457,1485,1513,1541,1569,1597,1622.4,1647.8,1673.2,1698.6,1724,1748.2,1772.4,1796.6,1820.8,1845,1864.4,1883.8,1903.2,1922.6,1942,1957,1972,1987,2002,2017,2025,2033,2041,2049,2057,2022.2,1987.4,1952.6,1917.8,1883,1811.6,1740.2,1668.8,1597.4,1526,1451.6,1377.2,1302.8,1228.4,1154,1125.4,1096.8,1068.2,1039.6,1011,1103.4,1195.8,1288.2,1380.6,1473,1726.8,1980.6,2234.4,2488.2,2742,2739.8,2737.6,2735.4,2733.2,2731,2426.4,2121.8,1817.2,1512.6,1208,1263.8,1319.6,1375.4,1431.2,1487,1505.2,1523.4,1541.6,1559.8,1578,1631.4,1684.8,1738.2,1791.6,1845,1880.8,1916.6,1952.4,1988.2,2024
esp,biomass,938.7,986.78,1034.86,1082.94,1131.02,1179.1,1243.86,1308.62,1373.38,1438.14,1502.9,1527.2,1551.5,1575.8,1600.1,1624.4,1649.92,1675.44,1700.96,1726.48,1752,1856.82,1961.64,2066.46,2171.28,2276.1,2308.6,2341.1,2373.6,2406.1,2438.6,2553.52,2668.44,2783.36,2898.28,3013.2,2999.36,2985.52,2971.68,2957.84,2944,2941.64,2939.28,2936.92,2934.56,2932.2,2874.28,2816.36,2758.44,2700.52,2642.6,2511.14,2379.68,2248.22,2116.76,1985.3,1889.08,1792.86,1696.64,1600.42,1504.2,1419.06,1333.92,1248.78,1163.64,1078.5,1002.6,926.7,850.8,774.9,699,677.16,655.32,633.48,611.64,589.8,577.38,564.96,552.54,540.12,527.7,502.82,477.94,453.06,428.18,403.3,402.1,400.9,399.7,398.5,397.3,396.26,395.22,394.18,393.14,392.1,392.4,392.7,393,393.3,393.6,437.9,482.2,526.5,570.8,615.1,645.88,676.66,707.44,738.22,769,866.02,963.04,1060.06,1157.08,1254.1,1474.02,1693.94,1913.86,2133.78,2353.7,2469.1,2584.5,2699.9,2815.3,2930.7,2995.86,3061.02,3126.18,3191.34,3256.5,3206.28,3156.06,3105.84,3055.62,3005.4,3512.34,4019.28,4526.22,5033.16,5540.1,5169.34,4798.58,4427.82,4057.06,3686.3,3730,3773.7,3817.4,3861.1,3904.8
est,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,54.26,86.12,117.98,149.84,181.7,183.92,186.14,188.36,190.58,192.8
eth,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,357,378,399,420,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fin,biomass,189.1,191.38,193.66,195.94,198.22,200.5,202.9,205.3,207.7,210.1,212.5,214.46,216.42,218.38,220.34,222.3,228.8,235.3,241.8,248.3,254.8,262.48,270.16,277.84,285.52,293.2,294.84,296.48,298.12,299.76,301.4,310.02,318.64,327.26,335.88,344.5,358.84,373.18,387.52,401.86,416.2,427.44,438.68,449.92,461.16,472.4,490.48,508.56,526.64,544.72,562.8,569.46,576.12,582.78,589.44,596.1,627.88,659.66,691.44,723.22,755,786.8,818.6,850.4,882.2,914,890.14,866.28,842.42,818.56,794.7,916.38,1038.06,1159.74,1281.42,1403.1,1429.08,1455.06,1481.04,1507.02,1533,1444.92,1356.84,1268.76,1180.68,1092.6,1092.74,1092.88,1093.02,1093.16,1093.3,1044.02,994.74,945.46,896.18,846.9,926.46,1006.02,1085.58,1165.14,1244.7,1339.32,1433.94,1528.56,1623.18,1717.8,1781,1844.2,1907.4,1970.6,2033.8,2205.38,2376.96,2548.54,2720.12,2891.7,3118.5,3345.3,3572.1,3798.9,4025.7,4219.66,4413.62,4607.58,4801.54,4995.5,5077.48,5159.46,5241.44,5323.42,5405.4,5587.68,5769.96,5952.24,6134.52,6316.8,6541.92,6767.04,6992.16,7217.28,7442.4,7698.48,7954.56,8210.64,8466.72,8722.8,9333.84,9944.88,10555.92,11166.96,11778
fji,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,5.02,8.34,11.66,14.98,18.3,19.98,21.66,23.34,25.02,26.7,29.36,32.02,34.68,37.34,40,43,46,49,52,55,59.66,64.32,68.98,73.64,78.3,85.98,93.66,101.34,109.02,116.7,125.36,134.02,142.68,151.34,160,152.66,145.32,137.98,130.64,123.3,132.98,142.66,152.34,162.02,171.7,168.7,165.7,162.7,159.7,156.7,173.02,189.34,205.66,221.98,238.3,221.3,204.3,187.3,170.3,153.3,154.98,156.66,158.34,160.02,161.7,160.7,159.7,158.7,157.7,156.7,180.7,204.7,228.7,252.7,276.7,271.02,265.34,259.66,253.98,248.3,303.64,358.98,414.32,469.66,525,540.34,555.68,571.02,586.36,601.7,754.22,906.74,1059.26,1211.78,1364.3,1223.44,1082.58,941.72,800.86,660,641.34,622.68,604.02,585.36,566.7,589.36,612.02,634.68,657.34,680,686.6,693.2,699.8,706.4,713,714,715,716,717,718
fra,biomass,13459.2,13268.9,13078.6,12888.3,12698,12507.7,12530.06,12552.42,12574.78,12597.14,12619.5,12671.32,12723.14,12774.96,12826.78,12878.6,13191.56,13504.52,13817.48,14130.44,14443.4,14074.26,13705.12,13335.98,12966.84,12597.7,11954.72,11311.74,10668.76,10025.78,9382.8,9144.38,8905.96,8667.54,8429.12,8190.7,7897.54,7604.38,7311.22,7018.06,6724.9,6441.4,6157.9,5874.4,5590.9,5307.4,5080.56,4853.72,4626.88,4400.04,4173.2,3859.62,3546.04,3232.46,2918.88,2605.3,2531.68,2458.06,2384.44,2310.82,2237.2,2158.54,2079.88,2001.22,1922.56,1843.9,1730.42,1616.94,1503.46,1389.98,1276.5,1394.48,1512.46,1630.44,1748.42,1866.4,1805.06,1743.72,1682.38,1621.04,1559.7,1444.42,1329.14,1213.86,1098.58,983.3,929.7,876.1,822.5,768.9,715.3,627.1,538.9,450.7,362.5,274.3,382.96,491.62,600.28,708.94,817.6,862.52,907.44,952.36,997.28,1042.2,1110.5,1178.8,1247.1,1315.4,1383.7,1508.18,1632.66,1757.14,1881.62,2006.1,2233.46,2460.82,2688.18,2915.54,3142.9,3189.08,3235.26,3281.44,3327.62,3373.8,3384.72,3395.64,3406.56,3417.48,3428.4,3495.16,3561.92,3628.68,3695.44,3762.2,3847.76,3933.32,4018.88,4104.44,4190,4216.7,4243.4,4270.1,4296.8,4323.5,4307.72,4291.94,4276.16,4260.38,4244.6
gab,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,228,237,246,255,264,273.8,283.6,293.4,303.2,313,332.6,352.2,371.8,391.4,411,434.2,457.4,480.6,503.8,527,518.8,510.6,502.4,494.2,486,414,342,270,198,126,197.8,269.6,341.4,413.2,485,497.2,509.4,521.6,533.8,546
gbr,biomass,4364.4,4348.92,4333.44,4317.96,4302.48,4287,4088.22,3889.44,3690.66,3491.88,3293.1,3256.18,3219.26,3182.34,3145.42,3108.5,2994.92,2881.34,2767.76,2654.18,2540.6,2552.22,2563.84,2575.46,2587.08,2598.7,2477.2,2355.7,2234.2,2112.7,1991.2,1959,1926.8,1894.6,1862.4,1830.2,1783.96,1737.72,1691.48,1645.24,1599,1524.42,1449.84,1375.26,1300.68,1226.1,1211.62,1197.14,1182.66,1168.18,1153.7,1095.52,1037.34,979.16,920.98,862.8,822.14,781.48,740.82,700.16,659.5,634.82,610.14,585.46,560.78,536.1,504.06,472.02,439.98,407.94,375.9,372.6,369.3,366,362.7,359.4,347.66,335.92,324.18,312.44,300.7,286.3,271.9,257.5,243.1,228.7,228.1,227.5,226.9,226.3,225.7,216.8,207.9,199,190.1,181.2,177.94,174.68,171.42,168.16,164.9,166.5,168.1,169.7,171.3,172.9,175.9,178.9,181.9,184.9,187.9,194.24,200.58,206.92,213.26,219.6,227.72,235.84,243.96,252.08,260.2,254.58,248.96,243.34,237.72,232.1,224.02,215.94,207.86,199.78,191.7,188.78,185.86,182.94,180.02,177.1,176.26,175.42,174.58,173.74,172.9,440.5,708.1,975.7,1243.3,1510.9,1326.44,1141.98,957.52,773.06,588.6
geo,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,40.7,51,61.3,71.6,81.9,87.36,92.82,98.28,103.74,109.2
gha,biomass,71,71.2,71.4,71.6,71.8,72,72.4,72.8,73.2,73.6,74,74.2,74.4,74.6,74.8,75,75.4,75.8,76.2,76.6,77,78.6,80.2,81.8,83.4,85,86.6,88.2,89.8,91.4,93,95,97,99,101,103,105,107,109,111,113,115.4,117.8,120.2,122.6,125,127.4,129.8,132.2,134.6,137,139.8,142.6,145.4,148.2,151,154.2,157.4,160.6,163.8,167,171.6,176.2,180.8,185.4,190,197.4,204.8,212.2,219.6,227,235.2,243.4,251.6,259.8,268,277,286,295,304,313,322.2,331.4,340.6,349.8,359,369.2,379.4,389.6,399.8,410,409.6,409.2,408.8,408.4,408,392.4,376.8,361.2,345.6,330,316.8,303.6,290.4,277.2,264,264.2,264.4,264.6,264.8,265,275.2,285.4,295.6,305.8,316,344.6,373.2,401.8,430.4,459,496.8,534.6,572.4,610.2,648,663.4,678.8,694.2,709.6,725,732.4,739.8,747.2,754.6,762,783.8,805.6,827.4,849.2,871,894,917,940,963,986,1010.2,1034.4,1058.6,1082.8,1107
glp,biomass,21.7,24.7,27.7,30.7,33.7,36.7,39.02,41.34,43.66,45.98,48.3,50.14,51.98,53.82,55.66,57.5,59.34,61.18,63.02,64.86,66.7,71.02,75.34,79.66,83.98,88.3,86.3,84.3,82.3,80.3,78.3,77.64,76.98,76.32,75.66,75,73.34,71.68,70.02,68.36,66.7,67.36,68.02,68.68,69.34,70,65.34,60.68,56.02,51.36,46.7,52.02,57.34,62.66,67.98,73.3,71.3,69.3,67.3,65.3,63.3,61.98,60.66,59.34,58.02,56.7,54.36,52.02,49.68,47.34,45,47.66,50.32,52.98,55.64,58.3,52.98,47.66,42.34,37.02,31.7,38.7,45.7,52.7,59.7,66.7,73.7,80.7,87.7,94.7,101.7,90.7,79.7,68.7,57.7,46.7,59.02,71.34,83.66,95.98,108.3,125.64,142.98,160.32,177.66,195,206.66,218.32,229.98,241.64,253.3,265.98,278.66,291.34,304.02,316.7,411.1,505.5,599.9,694.3,788.7,716.76,644.82,572.88,500.94,429,373.86,318.72,263.58,208.44,153.3,140.3,127.3,114.3,101.3,88.3,79.3,70.3,61.3,52.3,43.3,51.32,59.34,67.36,75.38,83.4,81.82,80.24,78.66,77.08,75.5
