iso,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1965,X1970,X1975,X1980,X1985,X1990,X1995,X2000,X2005,X2010
isr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,17,35,3,19.6,4,1465.5,2927,4023,7049,10705,13123,12730
ita,NA,NA,30,493,1001,1177,1877,3147,4731,4610,5427,6910.4,9921.6,9334.6,7357.4,11820,13756.4,15669.6,18245.3,2295.6,9897,11847,11260,12173.8,13272,13456,18397,23914,22229,16283,17151,22873,20691
jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17,11.66666667,6.333333333,1,13.75,26.5,39.25,52,55,53,59,54
jpn,NA,NA,NA,NA,6,531.4,828.4,1194.1,2387.3,4428.4,6947.1,10870.5,14546,19387.7,27607.1,30586.5,31422.4,38610.4,56581.3,28361.2,40070,46273,60746,67120,84198,79277,82354,106731,111887,125265,139522,169506,164764
kaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89249,64825,45780,61272,78042
ken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,40,54,81,43,16,90,151,96,66,89,165
kgz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6154,792,1169,1339,1504
khm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,13,13.5,14,14.5,15,15.5,16,16.5,17
kor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,2340,5263,10143,1772,3167,7825,16936,24076,39166,66406,75142,110066
lbn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,60.66666667,120.3333333,180,200,200,340
lby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,33,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
lie,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,5,5,4,2,NA,NA,NA,NA,NA,NA,NA
lka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2460.8,2189.6,1847.8,1492.8,1056.9,575.9,356.6,266.2,191.4,456,201,260,139,20,17,14,11,8,5,49,93,95
lso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.4,184.1,176.1,164.2,139.8,102.6,67.7,71,51.2,26.9,2.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ltu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,429,155,321,328
lux,1,3,5,8,11,15,19,23,26,30,35,40,45,48,53.2,63.2,77.6,72.9,71,70.4,274.5,294.4,246.3,114.2,127,523,374,199,197,217,172,122,102
lva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,548,331,128,171
mac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,5,3,NA,NA,NA,NA,NA,NA,NA
mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,53,143,179,312,273,307,354,481,728,624,1102,1774,2665,4018,4938,4223
mda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4510,1314,242,167,186
mdg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,61,10,18,15,21,20,NA,NA,NA,NA,NA,NA,NA
mdv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,27.7,24.2,19.6,14.2,7.8,5.1,3.8,2.6,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mex,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.1,377,602.6,965.3,321.3,510.5,1031.7,923.9,896.1,582.6,653.3,942,1392,1824,2064,3109,5649,3975,5276,6860,10245,12294,17559,17642
mkd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7435,7769,7475,6943
mli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,18,2,1,9,5,98.5,192,300,52,NA,NA,NA
mmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,200,343,135,218,251,248,266,118,38,580,574,692
mng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,303,671,1069,2001,2727,4447,6167,6649,5204,5212,5473,6511
moz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,12,270,392,503,477,579,517,288,106,58,56,39,22,5
mrt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,NA,NA,NA,NA,NA,NA,NA
mus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
mwi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,44,71,NA,NA,NA,NA,NA,NA,NA
mys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,16,84,574,2104,2647,3943,10921,23441
nam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4,91.5,84.5,75.9,67,51.7,36,38.1,27.6,17.2,1.4,0.1,2.371428571,4.642857143,6.914285714,9.185714286,11.45714286,13.72857143,16,3,20,136
ncl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,166,139,250,258,102,NA,NA,NA,NA,NA,NA,NA
nga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,16.8,192.9,253,364,274.4,328.6,532.4,662,660,545,706,64,257,183,102,67,20,3,8,8
nld,1182,1752,1808,1443,1842,2003,2949,3462,3756,4208,5321,6467.2,8473.1,10384.3,9663.7,13897.1,16901.7,14819.5,14888.6,6718,17215,18838,17433,16811,6955,3800,6396,9534,13241,13534,11800,11584,10882
nor,52,97,126,178,235,380,462,661,767,1121,1520,1513,2163.8,3112.2,1900.7,2648.7,2916.9,3105.7,2110.4,1129.7,1541.2,1360,840.1,849,797,837,967,1104,775,866,884,635,610
npl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2836.7,2847.4,2900.3,3020.7,3144.7,3097.5,2669.2,2018.4,1865.9,1684.8,170.3,13,12,10,47,82,16,70,123,430,410,337
nzl,1,3,5,11,22,39,246.9,425.2,535.8,611.5,920.2,1347.3,1883.9,1921.9,1411.6,1647.5,1897.3,1564.4,1769.1,2082.5,2776,2606,3044,2706,2246,2415,1829,2005,2167,2192,2059,4248,2603
pak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1469,1574,2213,2273,1809,1248,1667,2954,4245,4723,4045,7714,7717
pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,32,51,60,NA,NA
per,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,75,307,291,378,102,201,85,113.3,202.1,141,136.1,135,114,76,70,75,164,128,385,731,1082,1270
phl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,20.3,39.1,32.4,14.2,16.2,42.5,102.25,162,130,148,95,42,91,289,2685,2058,2813,8500,9834,13111
pol,1206.9,2118.2,2822,4681.8,6280.7,9042.8,9913.4,12212.4,15691.2,18233.9,23502.8,27434.2,33715.9,34871.4,27969.6,17356.6,20706.5,16558.4,63989.8,23067.3,53518,72318,91583,116424,154604.4,193258.9,195050,214474,186388,168953,142906,140205,138713
pri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,3329,10616,17786,28001,41149,44456,54200,48453,31940,29383,31806,27356
prt,NA,NA,NA,NA,8.5,440,331,409,619,623,913,1527.5,1738.7,1592.6,1134,1409.5,1687.5,1562.6,1280.5,1099,1224,970,943,945,892,578,612,1066,4392,5708,6148,5452,2685
reu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.8,82,65.5,49.1,35.4,19.8,12.5,9.5,7,3.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rou,NA,NA,NA,NA,NA,NA,NA,139,241,313,221,300,362,300,1588,3202,2538.1,2004,2682,2031,3102,5090,7185,10996,20417,28021,38279,51379,44656,44522,31572,35792,31814
rus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355219,240169,228862,212260,187684
sdn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,47,10,6,1,NA,NA,NA,NA,NA,NA,NA,NA
sen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,264
sgp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,1.6,1.6,1.6,1.2,0.1,0.48,0.86,1.24,1.62,2,2,3,4,1,2,2,NA,NA,NA,NA
sle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,31,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
spm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,11,7,3,1,NA,NA,NA,NA,NA,NA,NA
sur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2.75,3.5,4.25,5,NA,NA,NA,NA,NA,NA,NA
svk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12245,8504,7901,6833
svn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5228,4925,5182,4922
swe,76,119,283.1,406.6,499.4,847.5,1052.8,1414.7,1831.7,2176.1,3364.1,3710.1,4734.5,5438.8,3580.8,4485.3,6339.7,7393.9,6183.6,933.3,5984,4291,2804,2180,1215,1350,2090,4404,4339,4172,3543,3851,3979
swz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,29.3,29.3,28.4,26.5,21.6,15.9,17.7,13.5,8.9,1.7,12,30,138,127,NA,NA,NA,NA,NA,NA,NA
syr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,1,1,1,NA,NA,NA,NA,NA,NA
tha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,79,120,126,400,503,1542,5344,12707,20801,21270,29521,35419
tjk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,41,129,189,256
