iso,IEAName,IEA_Fert_reg,BPName,FAO,,,
mdg,Other Africa,Africa,Other Africa,129,,,
mli,Other Africa,Africa,Other Africa,133,,,
mrt,Other Africa,Africa,Other Africa,136,,,
mus,Other Africa,Africa,Other Africa,137,,,
mwi,Other Africa,Africa,Other Africa,130,,,
ner,Other Africa,Africa,Other Africa,158,,,
reu,Other Africa,Africa,Other Africa,182,,,
rwa,Other Africa,Africa,Other Africa,184,,,
sle,Other Africa,Africa,Other Africa,197,,,
som,Other Africa,Africa,Other Africa,201,,,
stp,Other Africa,Africa,Other Africa,193,,,
swz,Other Africa,Africa,Other Africa,209,,,
syc,Other Africa,Africa,Other Africa,196,,,
tcd,Other Africa,Africa,Other Africa,39,,,
uga,Other Africa,Africa,Other Africa,226,,,
abw,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
atg,Other Non-OECD Americas,Latin America,Other S. & Cent. America,8,,,
bhs,Other Non-OECD Americas,Latin America,Other S. & Cent. America,12,,,
blz,Other Non-OECD Americas,Latin America,Other S. & Cent. America,23,,,
bmu,Other Non-OECD Americas,Western Europe,Other S. & Cent. America,0,,,
brb,Other Non-OECD Americas,Latin America,Other S. & Cent. America,14,,,
cym,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
dma,Other Non-OECD Americas,Latin America,Other S. & Cent. America,55,,,
flk,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
glp,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
grd,Other Non-OECD Americas,Latin America,Other S. & Cent. America,86,,,
guf,Other Non-OECD Americas,Latin America,Other S. & Cent. America,69,,,
guy,Other Non-OECD Americas,Latin America,Other S. & Cent. America,91,,,
kna,Other Non-OECD Americas,Latin America,Other S. & Cent. America,188,,,
lca,Other Non-OECD Americas,Latin America,Other S. & Cent. America,189,,,
msr,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
sur,Other Non-OECD Americas,Latin America,Other S. & Cent. America,207,,,
tca,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
vct,Other Non-OECD Americas,Latin America,Other S. & Cent. America,191,,,
vgb,Other Non-OECD Americas,Latin America,Other S. & Cent. America,0,,,
afg,Other Asia,Other Asia,Other Asia Pacific,2,,,
btn,Other Asia,Other Asia,Other Asia Pacific,18,,,
fji,Other Asia,Other Asia,Other Asia Pacific,66,,,
kir,Other Asia,Other Asia,Other Asia Pacific,83,,,
lao,Other Asia,Other Asia,Other Asia Pacific,120,,,
mac,Other Asia,Other Asia,Other Asia Pacific,0,,,
mdv,Other Asia,Other Asia,Other Asia Pacific,132,,,
ncl,Other Asia,Other Asia,Other Asia Pacific,153,,,
plw,Other Asia,Other Asia,Other Asia Pacific,180,,,
png,Other Asia,Other Asia,Other Asia Pacific,168,,,
slb,Other Asia,Other Asia,Other Asia Pacific,25,,,
tls,Other Asia,Other Asia,Other Asia Pacific,176,,,
ton,Other Asia,Other Asia,Other Asia Pacific,219,,,
vut,Other Asia,Other Asia,Other Asia Pacific,155,,,
wsm,Other Asia,Other Asia,Other Asia Pacific,244,,,
csk,,,,51,,,
lie,,,,125,,,
fsm,,,,145,,,
pri,,,,177,puerto rico,,
pse,Occupied Palastinian Territory,,,299,,,
