Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: GHG strings in first column should be edited to remove footnote indicators (e.g. CH4c -> CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Ferroalloy Production,2152,1929,1957,1904,2021,2036,2133,2226,2218,2185,1893,1459,1349,1305,1419,1392,1505,1552,1599,1469,1663,1735,1903,1785,2006,1960,1796,1975,2063,1598,1377,1567,1327
,Zinc Production,632,809,843,931,918,865,924,971,885,865,944,713,746,1096,1030,1030,1030,1024,1158,943,1182,1286,1485,1381,909,886,838,900,999,1026,977,1007,947
,Phosphoric Acid Production,1529,1398,1509,1304,1519,1513,1551,1544,1593,1539,1382,1264,1338,1382,1395,1342,1160,1203,1132,977,1087,1171,1118,1149,1037,999,998,1025,937,909,901,874,840
,Lead Production,516,485,488,486,507,553,563,585,588,587,594,563,561,574,546,553,560,562,547,525,542,538,527,546,477,473,500,513,527,531,450,439,428
,Carbide Production and Consumption,243,156,184,165,194,198,225,240,263,193,200,169,178,197,218,213,201,190,171,142,177,167,154,165,169,176,170,181,184,175,154,172,210
,Abandoned Oil and Gas Wells,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
,Substitution of Ozone Depleting Substances,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4
,Magnesium Production and Processing,129,129,129,129,140,147,148,148,148,147,147,109,4,4,3,4,3,4,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3
,Biomass and Biodiesel Consumptiona,237946,235376,247886,242098,249279,254034,258434,251516,232763,235286,242242,218222,219377,224651,240190,245421,252266,259985,272922,269130,305688,312743,305846,331655,339106,333472,332672,328887,335971,333057,295695,303014,305417
,International Bunker Fuelsb,103634,117740,108002,97965,96812,98609,99861,107063,110594,102834,101895,93890,94600,98484,108610,113328,114269,115463,114458,106511,117101,111746,105889,99840,103488,110980,116682,120192,124279,113632,69638,80180,98241
,CH4,31131,31416,31335,30888,31193,30950,30776,30283,29838,29136,29132,28824,28610,28612,28444,28408,28809,28938,29342,28813,28843,27796,27288,27364,27228,27300,26593,27124,27553,26941,26262,25731,25084
,Enteric Fermentation,6539,6548,6738,6835,6958,7114,7071,6934,6858,6864,6793,6752,6764,6768,6642,6722,6833,6947,6921,6884,6816,6727,6640,6595,6519,6639,6853,6998,7028,7045,7010,7017,6878
,Natural Gas Systems,8364,8558,8451,8443,8529,8266,8205,8281,8182,8053,8164,8196,8123,8087,8152,8054,8616,8833,9220,9074,9071,9070,9143,9238,9347,9661,9816,9759,10058,10090,9738,9579,9845
,Landfills,7063,7155,7143,7064,7053,6868,6733,6358,5979,5715,5586,5415,5363,5458,5365,5275,5187,5100,5014,4928,4964,4631,4691,4558,4550,4501,4359,4414,4512,4595,4431,4359,4277
,Manure Management,1398,1463,1408,1476,1582,1632,1601,1676,1812,1815,1823,1880,1911,1923,1860,1964,1967,2147,2077,2034,2111,2130,2208,2118,2102,2246,2324,2343,2418,2382,2390,2373,2312
,Coal Mining,3860,3735,3628,3091,3104,3056,3038,3017,3029,2848,2730,2720,2552,2559,2611,2552,2607,2591,3026,3194,3286,2846,2606,2585,2583,2448,2154,2192,2110,1892,1648,1595,1558
,Petroleum Systems,1889,1895,1868,1882,1840,1854,1925,1955,1885,1801,1845,1864,1840,1884,1907,1849,2076,2126,2316,2197,2352,2546,2560,3086,3262,3184,2770,3235,3120,2791,2880,2668,2253
,Wastewater Treatment,811,823,838,838,846,837,830,834,835,839,835,825,825,818,810,809,808,807,806,790,785,788,789,778,773,780,775,770,763,755,748,738,743
,Rice Cultivation,677,698,679,684,648,683,704,638,730,679,801,679,767,639,630,735,641,659,587,699,768,692,631,646,628,700,711,597,711,558,664,653,674
,Stationary Combustion,345,352,363,340,332,332,344,311,286,291,309,289,292,302,310,313,293,309,318,318,338,331,302,348,355,338,315,307,344,351,285,286,307
,Abandoned Oil and Gas Wells,279,281,283,285,286,288,289,290,291,291,292,293,294,294,294,294,294,295,295,296,296,296,297,297,298,299,299,301,301,302,303,306,303
,Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257,247,237,232,224,225
,Mobile Combustion,258,251,253,250,249,248,244,237,228,206,197,186,177,169,163,154,151,145,136,130,128,128,121,118,112,109,107,104,101,102,91,92,93
,Composting,15,17,20,25,31,35,40,44,48,53,60,60,61,69,74,75,75,79,80,75,73,75,77,81,84,85,91,98,90,91,92,92,92
,Field Burning of Agricultural Residues,19,19,20,20,20,17,21,21,20,21,20,19,22,27,23,23,22,23,21,19,25,18,21,21,23,21,22,22,22,23,22,22,22
,Anaerobic Digestion at Biogas Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Carbide Production and Consumption,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ferroalloy Production,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
,Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Petrochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Incineration of Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,International Bunker Fuelsb,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4,3,3,3
,N2O,1540,1504,1499,1579,1582,1598,1643,1583,1598,1580,1551,1591,1596,1598,1617,1582,1587,1629,1572,1547,1578,1584,1482,1638,1659,1611,1560,1577,1658,1571,1476,1503,1471
,Agricultural Soil Management,1090,1048,1038,1102,1089,1085,1120,1075,1098,1087,1051,1114,1114,1118,1147,1110,1107,1145,1133,1129,1142,1137,1067,1225,1246,1214,1160,1185,1258,1191,1102,1124,1097
,Stationary Combustion,84,84,85,88,89,90,92,94,95,95,100,99,103,107,111,115,114,115,114,106,115,110,102,110,111,102,101,95,95,84,78,83,93
,Wastewater Treatment,56,57,58,59,61,61,62,62,64,66,67,66,67,68,68,68,70,70,69,69,70,71,73,74,74,75,76,78,80,81,84,83,83
,Manure Management,50,51,51,50,53,54,54,54,55,57,58,58,59,59,57,57,60,60,59,58,58,58,59,58,58,59,61,62,63,63,64,65,64
,Mobile Combustion,145,150,160,166,174,180,185,189,192,185,182,175,169,163,155,140,141,130,120,114,111,107,99,92,85,78,75,71,67,72,61,63,63
,Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31,32,34,31,30,33
,N2O from Product Uses,14,14,13,15,15,15,15,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,Adipic Acid Production,51,50,44,47,45,57,56,32,17,16,18,15,17,18,12,24,29,34,8,9,14,34,18,13,18,14,24,25,35,18,28,25,8
,Composting,1,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,7
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,8,8,7,7,7,6,6,5,5,5,4,5,5
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Field Burning of Agricultural Residues,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Natural Gas Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Petroleum Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,International Bunker Fuelsb,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,2,3
,HFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Substitution of Ozone Depleting Substances,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Fluorochemical Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Fluorochemical Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Aluminum Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,SF6 and PFCs from Other Product Use,101,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,94,0,190,0,132,208,62,155,123,203,178,173,167,138,172
,Substitution of Ozone Depleting Substances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Electrical Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SF?,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Electrical Equipment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SF6 and PFCs from Other Product Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fluorochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NF?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Electronics Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fluorochemical Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,M (Mixture of multiple gases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from biomass and biofuel consumption are not included specifically in Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from international bunker fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c LULUCF emissions of LULUCF CH4 and N2O are reported separately from gross emissions totals. Refer to Table 2?8 for a breakout of emissions and removals for LULUCF by gas and source category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals by gas may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
