iso,country,region,priority,proxy,note,hasData,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013
caf,Central African Republic,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
civ,Cote dIvoire,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
cmr,Cameroon,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
cod,Democratic Republic of Congo,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
cog,Congo,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
com,Comoros,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
cpv,Cape Verde,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
dji,Djibouti,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
egy,Egypt,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
eri,Eritrea,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
esh,Western Sahara,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
eth,Ethiopia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gab,Gabon,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gha,Ghana,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gmb,Gambia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gnb,Guinea-Bissau,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gnq,Equatorial Guinea,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
lbr,Liberia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
lby,Libya,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
lso,Lesotho,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
mli,Mali,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
moz,Mozambique,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
mrt,Mauritania,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
mwi,Malawi,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
nam,Namibia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ner,Niger,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
nga,Nigeria,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
rwa,Rwanda,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
sdn,Sudan,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
sen,Senegal,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
sle,Sierra Leone,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
som,Somalia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ssd,South Sudan,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
stp,Sao Tome and Principe,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
swz,Swaziland,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
syc,Seychelles,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
tcd,Chad,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
tgo,Togo,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
tza,Tanzania,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
uga,Uganda,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
zmb,Zambia,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
zwe,Zimbabwe,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
afg,Afghanistan,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04,17.38,19.05,20.75,22.16,23.12,23.42,23.42,23.42,,,,,
bgd,Bangladesh,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.45,,,,,
brn,Brunei Darussalam,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.49,48.49,48.49,48.49,48.49,48.49,48.49,48.49,48.49,,,,,
btn,Bhutan,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,30.08,30.08,30.08,30.08,30.14,30.31,30.56,30.83,,,,,
chn,China,Asia,4,chn-aux,proxied-ext (relative diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.81,20.81,24.28,27.48,31.24,31.24,31.24,31.24,31.24,,,,,
hkg,"Hong Kong, China",Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,,,,
idn,Indonesia,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07,32.08,32.1,32.11,32.14,32.18,32.23,32.3,32.38,,,,,
ind,India,Asia,1,,assume base,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,30.72,30.75,30.78,30.8,30.82,30.84,30.86,30.89,30.92,,,,,
khm,Cambodia,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78,26.84,26.84,26.84,26.84,26.84,26.84,26.84,26.84,,,,,
kor,Republic of Korea,Asia,0,,zeroed,1,,,,,,,,,,,6.3,6.3,6.3,6.3,6.3,6.3,11.62,16.94,22.26,27.58,32.9,35.7,38.5,41.3,42,45.2,52.6,60.9,65.9,68.4,70.5,73.2,75.8,78.8,81.4,83.5,85.5,87.1,88.6,89.4,90.1,90.9,91.6,92.11
lao,Laos,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,,,,,
lka,Sri Lanka,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.27,29.27,,,,,
mmr,Myanmar (Burma),Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56,31.72,31.91,32.01,32.01,32.01,32.01,32.01,32.01,,,,,
mng,Mongolia,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35,29.35,29.35,29.35,29.35,29.35,29.38,29.5,29.69,,,,,
mys,Malaysia,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.44,30.44,30.44,30.44,30.44,30.44,30.45,30.46,30.47,,,,,
npl,Nepal,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,,,,,
nzl,New Zealand,Asia,3,usa,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,80,80,80,80,80,80,80,80,80,80,80.5,80.5,80.5,80.8,81.1,81.3,81.5,81.6,81.7,81.7,81.8,82,82,
pak,Pakistan,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,,,,,
phl,Philippines,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,,,,,
prk,Democratic Peoples Republic of Korea,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,30.06,30.23,30.44,30.65,30.84,30.99,31.12,31.23,,,,,
sgp,Singapore,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
tha,Thailand,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02,29.02,29.02,29.02,29.02,29.02,29.02,29.02,29.02,,,,,
twn,Chinese Taipei,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.53,69.57,69.64,69.74,69.83,69.91,69.93,69.98,70,,,,,
vnm,Vietnam,Asia,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,30.31,,,,,
fji,Fiji,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
fsm,Federated States of Micronesia,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
kir,Kiribati,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
mac,Macao,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ncl,New Caledonia,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
plw,Palau,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
png,Papua New Guinea,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
slb,Soloman Islands,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
tls,Timor-Leste,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ton,Tongo,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
vut,Vanuatu,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
wsm,Samoa,Asia,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
alb,Albania,Eastern Europe,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,
bgr,Bulgaria,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,
cze,Czech Republic,Eastern Europe,0,,complete,1,33.4,34.64,35.88,37.12,38.36,39.6,40.66,41.72,42.78,43.84,44.9,45.27,45.63,46,47.3,48.6,48.6,48.6,49.1,49.6,50.3,50.6,51,51.6,54.7,56,58,59.2,61.6,62.4,64,65.1,69.8,70.7,71.1,72.04,72.04,73.22,75.57,75.81,76.98,78.1,78.1,80
hrv,Croatia,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,
hun,Hungary,Eastern Europe,0,,complete,1,6,7.4,8.8,10.2,11.6,13,13.66,14.32,14.98,15.64,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,20.3,20.5,20.5,21.8,23.5,25.5,28.6,46.09,49.43,51.94,54.89,58.1,60.6,63.4,66.5,67.7,68.8,71.8,72.5,72.76,72.76
mkd,Macedonia,Eastern Europe,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
pol,Poland,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,34.4,35.4,37.3,39.2,42.4,43.1,47.1,49.7,52.1,53.6,55.3,56.7,58.2,59,60.2,61.4,62.3,63.1,64.2,64.7,65.7,68.7,70.3
rou,Romania,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,
srb,Serbia,Eastern Europe,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,
svk,Slovakia,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,18.6,20.34,22.09,23.83,25.58,27.32,29.14,30.96,32.79,34.61,36.43,37.75,39.07,40.39,41.71,43.03,43.03,44.2,46.96,48.24,48.33,48.6,48.7,48.8,49.9,50.5,51.4,52.1,53.3,54.1,55.15,55.15,57.14,57.2,57.91,58.93,59.98,61.02,
svn,Slovenia,Eastern Europe,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97,20.83,36.2,37.1,38.1,39.6,48.3,49.9,51.3,52.4,52.4,53,53,54.5,54.7,55.4
bih,Bosnia and Herzegovina,Eastern Europe,5,srb,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csk,Czechoslovakia,Eastern Europe,5,cze,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scg,Serbia and Montenegro,Eastern Europe,5,srb,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srb (kosovo),Kosovo,Eastern Europe,5,srb,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,Armenia,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,
aze,Azerbaijan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,
blr,Belarus,FSU,3,est,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,,,,,,
est,Estonia,FSU,2,cze,proxied-est base,1,,,,,,,,,,,,,,,,,,,,,68,69,69,69,69,69,69,69,69,69,69,69,71,71,72,74,74,74,80,80,81.58,81.67,81.7,
kaz,Kazakhstan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34,30.4,30.71,31.06,31.06,31.06,31.06,31.06,31.06,,,,,
kgz,Kyrgyzstan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.62,29.62,29.62,29.62,29.62,29.62,29.66,29.92,30.31,,,,,
ltu,Lithuania,FSU,3,est,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,
lva,Latvia,FSU,3,est,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,65,65,65,65,,,,,,
mda,Moldova,FSU,3,est,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,
tjk,Tajikistan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.15,30.53,31.05,31.65,32.24,32.78,33.25,33.66,34.03,,,,,
tkm,Turkmenistan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,,,,,
uzb,Uzbekistan,FSU,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.06,29.06,29.06,29.06,29.06,29.06,29.06,29.06,29.06,,,,,
geo,Georgia,FSU,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,
rus,Russia,FSU,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
ukr,Ukraine,FSU,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
ussr,Soviet Union,FSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
mdv,Maldives,Islands,3,hun,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.03,32.17,32.33,32.5,32.69,32.88,33.08,33.28,33.49,,,,,
mhl,Marshall Islands,Islands,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
mtq,Martinique,Islands,3,est,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,
asm,American Samoa,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
cok,Cook Islands,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
fro,Faeroe Islands,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
gum,Guam,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
niu,Niue,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
pyf,French Polynesia,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
spm,Saint Pierre and Miquelon,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
tkl,Tokelau,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
vir,United States Virgin Islands,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
wlf,Wallis and Futuna Islands,Islands,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
arg,Argentina,Latin America,3,chl,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,
blz,Belize,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,
bmu,Bermuda,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
bra,Brazil,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,
chl,Chile,Latin America,2,cze,proxied-est base,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,73.3,82,82.3,82.6,83.3,86.93,90.59,,
col,Colombia,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,21.65,22.8,23.1,,
cri,Costa Rica,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,
cub,Cuba,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,
dma,Dominica,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
dom,Dominican Republic,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
glp,Guadeloupe,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,,,,,
guf,French Guiana,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,
guy,Guyana,Latin America,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
mex,Mexico,Latin America,2,hun,proxied-est base,1,,,,,,,,,,,,,,,,,,,,,,,,21.8,21.96,22.11,22.27,22.43,22.59,22.74,22.9,25.2,27.7,29.7,31.5,35,36.1,38.31,40.21,42.15,44.77,46.5,47.46,50.19
pan,Panama,Latin America,3,chl,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
tto,Trinidad and Tobago,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,
ven,Venezuela,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,
vgb,British Virgin Islands,Latin America,3,mex,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,
abw,Aruba,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant,Netherlands Antilles,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atg,Antigua and Barbuda,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhs,Bahamas,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bol,Bolivia,Latin America,5,bra,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brb,Barbados,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuw,Curacao,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cym,Cayman Islands,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecu,Ecuador,Latin America,5,bra,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flk,Falkland Islands,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grd,Grenada,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gtm,Guatemala,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hnd,Honduras,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hti,Haiti,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jam,Jamaica,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
