edgar_sector,edgar_descr,scaling_sector,ceds_sector,type,units,Note: Current ceds_sectors are working sectors v1,,,,,ceds_sector
4F,Agricultural waste burning,4F,3F_Agricultural-residue-burning-on-fields,OpenBurn,kt,Open burning emissions for CMIP6 included elsewhere,,,,,
5A,Forest fires,5A,11B_Forest-fires,OpenBurn,kt,,,,,,
5C,,5C,11C_Other-natural,NaturalEM,kt,Don't include natural emissions in CMIP6 product,,,,,
5D,Peat fires and decay of drained peatland,5D,11C_Other-natural,NaturalEM,kt,,,,,,
5F2,Forest Fires-Post burn decay,,,NaturalEM,kt,,,,,,
6A,Solid waste disposal on land,6A,5A_Solid-waste-disposal,NC,kt,,,,,,
6B,Wastewater handling,6B,5D_Wastewater-handling,NC,kt,,,,,,
6C,Waste incineration,6C,5C_Waste-incineration,NC,kt,,,,,,
6D,Other waste handling,,5E_Other-waste-handling,NC,kt,,,,,,
7A,Fossil fuel fires,7A,7A_Fossil-fuel-fires,NC,kt,,,,,,
7B,Indirect N2O from non-agricultural NOx,,,EMFeedback,kt,Don't include feedback emissions,,,,,
7C,Indirect N2O from non-agricultural NH3,,,EMFeedback,kt,Don't include feedback emissions,,,,,
7D,Other sources,Other,2L_Other-process-emissions,NC,kt,,,,,,
,,,3I_Agriculture-other,NC,kt,,,,,,
,,,6B_Other-not-in-total,NC,kt,,,,,,
,,,11A_Volcanoes,NC,kt,,,,,,
