iso,units,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970
gbr,kt,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,374,NA,NA,462,NA,591,NA,702,714,NA,688,NA,NA,711,NA,1016,NA,NA,NA,1269,1419,1524,1117,1235,NA,1537,NA,2032,NA,NA,2285,NA,2744,NA,3119,3270,3644,3718,3511,3773,3888,3772,4006,4582,4845,4882,4597,4837,5050,5533,6059,6733,6850,6671,6087,6467,6661,6715,6483,6091,7873,8275,8725,8666,7937,7534,7122,7681,8127,8457,8031,7525,6817,7089,7546,7827,8799,8937,8748,9572,9104,8056,8818,9078,8834,9762,10347,10276,902,9685,10173,9679,8891,10425,9067,8864,9062,9488,9253,7536,8164,2658,4981,7560,7424,6362,2497,7410,6716,7711,6291,3834,3631,4202,6065,6527,7845,8629,6869,8108,8337,7512,7850,7302,6845,7221,7886,7910,9425,9651,9788,9824,10900,11354,12074,12670,13381,14512,13183,12785,16016,14984,13912,14825,17551,17740,15962,15396,16696,16653,17677
hun,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28,28,28,32,30,40,NA,NA,NA,38,37,59,58,63,72,87,NA,97,88,85,98,108,117,101,97,95,132,127,124,133,147,163,162,160,127,129,141,118,144,164,176,176,195,216,235,193,204,239,299,305,310,319,330,349,401,420,469,471,456,451,435,416,388,421,420,440,523,530,502,518,553,623,494,388,453,447,NA,NA,NA,71,98,124,116,93,189,300,285,368,257,160,66,93,140,186,306,358,335,409,427,448,418,417,296,44,160,301,384,420,465,534,631,734,857,883,768,837,1100,1121,1259,1320,1397,1399,1499,1584,1640,1669,1659,1762,1837
ita,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,29,24,21,17,20,22,20,18,20,17,24,29,29,28,19,16,19,12,17,28,25,24,18,16,12,12,12,13,14,12,13,8,10,9,7,8,12,19,24,16,31,75,89,143,135,112,113,208,353,303,380,427,385,378,467,471,314,240,88,61,158,236,304,482,513,489,507,671,537,510,461,518,529,633,762,801,864,1005,1062,1038,887,648,233,65,177,318,449,393,504,953,1102,1222,1256,1625,1873,2072,2060,2098,2683,3056,3556,3741,3498,5488,6289,7294,7826,7781,8332
lux,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,13,14,24,18,19,13,11,NA,14,NA,NA,15,17,NA,NA,NA,7,NA,17,NA,27,58,80,80,100,130,140,160,250,240,270,231,215,248,261,261,294,377,335,366,420,301,492,524,562,560,545,587,558,680,695,899,870,955,983,971,916,1080,1218,1198,1368,1460,1485,1300,1553,1683,1729,2252,2548,1827,1591,1951,1529,1267,617,693,970,1679,1407,2157,2363,2559,2732,2770,2906,2473,2053,1960,1888,1955,1872,1987,2513,1551,1838,1059,1343,1692,2268,1348,317,1365,1818,2624,2372,2499,3157,3076,2722,2800,3085,3316,3368,3285,3444,3786,3834,3597,3587,4191,4145,3963,3963,4308,4872,4814
nld,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,118,143,204,258,254,273,257,236,253,258,254,274,312,267,284,169,176,152,94,99,25,187,288,442,434,454,524,539,593,610,670,662,701,917,1139,1346,1456,1571,1708,1947,2364,2209,2588,2821,3461,3594
nor,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,4,4,3,2,1,1,2,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,6,6,9,2,3,2,2,26,64,87,97,123,141,154,145,119,103,112,127,130,168,181,174,191,147,123,111,145,124,51,135,146,202,234,226,245,273,278,246,355,452,565,523,623,720,757,724,749,894,1090,1139,1232,1431,1491,1251
pol,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,412,444,480,520,336,315,327,618,684,706,478,347,199,306,382,396,586,720,880,652,915,1081,1128,1169,1095,219,726,867,1134,1391,1533,1616,1836,2359,2663,3112,3506,3682,3864,4374,4563,4770,5311,5395,5643,5760,5855,6581,6676,6855,7112
rou,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,19,33,31,39,46,64,63,63,70,72,69,26,9,2,62,82,97,127,133,119,112,118,162,226,141,54,66,NA,186,NA,320,336,381,448,429,570,583,686,737,846,1014,1099,1511,1706,1924,2019,2198,2456,2992,3477,4210
rus,kt,110,106,109,112,109,116,122,124,125,123,128,137,121,134,130,135,123,130,138,154,160,167,160,153,160,149,146,144,145,146,144,145,134,130,123,NA,NA,132,127,132,135,159,153,149,140,158,157,184,178,188,187,194,174,159,167,175,181,191,181,182,189,179,188,190,185,187,215,195,198,190,228,207,215,238,231,251,259,213,277,271,298,320,251,279,300,300,305,289,325,330,359,359,400,380,379,428,443,400,418,433,449,471,479,482,510,528,531,613,667,741,928,1005,1073,1150,1333,1455,1624,1883,2244,2713,2937,2870,2601,2491,2975,2736,2722,2822,2827,2900,3047,3598,4203,4216,4137,3764,3804,2964,597,117,116,117,180,314,670,1309,2203,2961,3282,4021,4964,4871,6161,7110,10430,12490,14400,14487,14650,14520,14902,NA,NA,NA,NA,8803,9862,11223,13742,16389,19175,21909,25071,27415,29972,33310,35754,37040,39600,42972,46757,50893,55265,58691,62377,66184,70264,74812,78788,81634,85933
swe,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,109,110,116,125,121,122,133,117,98,127,138,143,119,142,145,150,146,146,188,159,151,177,183,185,170,200,187,241,227,230,254,263,292,300,299,339,346,328,351,352,345,341,343,406,430,399,423,431,465,442,457,457,441,456,490,486,453,463,463,494,538,532,498,526,528,538,507,529,539,604,616,568,445,604,634,699,742,652,777,758,857,779,509,484,320,274,301,533,459,495,455,438,524,496,418,282,346,558,613,632,693,714,691,787,749,770,828,887,785,719,725,803,860,837,905,1103,1057,1001,1247,1412,1543,1414,1501,1627,1895,1957,2017,2354,2451,2397,2567,2702,2768,2842
yug,kt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,16,24,15,3,19,23,29,31,35,38,10,31,33,21,44,50,116,113,122,NA,NA,NA,NA,12,8,171,183,202,226,262,288,281,368,531,647,735,779,900,1016,1042,1103,1060,1076,1177,1217,1256,1286,1288,1377
