"iso","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"scg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","511","62","22","108","565","907","850","139","598","456","485","635","1003","1208","1762","1485","0","0","0","0","0","0","0"
"fin","5.38108667042677","5.52081844958326","5.66055022873974","5.80028200789622","5.9400137870527","6.07974556620919","6.3274299680391","6.57511436986902","6.82279877169894","7.07048317352886","7.31816757535878","7.72716049382716","8.13615341229554","8.54514633076393","8.95413924923231","9.36313216770069","9.59330701259635","9.82348185749201","10.0536567023877","10.2838315472833","10.514006392179","10.0889515573103","9.66389672244156","9.23884188757285","8.81378705270414","8.38873221783543","8.18089239832049","7.97305257880554","7.76521275929059","7.55737293977565","7.3495331202607","8.07962649620856","8.80971987215642","9.53981324810428","10.2699066240521","11","9.4","7.8","6.2","4.6","3","3.6","4.2","4.8","5.4","6","9.8","13.6","17.4","21.2","25","27","29","31","33","35","40.8","46.6","52.4","58.2","64","74","84","94","104","114","118.6","123.2","127.8","132.4","137","297.6","458.2","618.8","779.4","940","984.8","1029.6","1074.4","1119.2","1164","1204.8","1245.6","1286.4","1327.2","1368","1498.2","1628.4","1758.6","1888.8","2019","1965","1944","1898","2034","1901","1978","2063","2173","2284","2283","2331","2452","2535","2597","2242","2457","2786","2920","2954","2983","2852","2828","3092","3037","3056","3158","2915","2943","2042","2564","2500","2130","2050","2475"
"fra","4155.17728896409","4263.07562825093","4370.97396753776","4478.87230682459","4586.77064611142","4694.66898539826","4885.92637713856","5077.18376887886","5268.44116061916","5459.69855235947","5650.95594409977","5966.77283950617","6282.58973491258","6598.40663031898","6914.22352572539","7230.04042113179","7407.77725136304","7585.51408159428","7763.25091182553","7940.98774205678","8118.72457228802","7790.50495707213","7462.28534185624","7134.06572664035","6805.84611142445","6477.62649620856","6317.13636648493","6156.64623676129","5996.15610703766","5835.66597731403","5675.1758475904","6238.94067807232","6802.70550855424","7366.47033903616","7930.23516951808","8494","8802.2","9110.4","9418.6","9726.8","10035","9185.8","8336.6","7487.4","6638.2","5789","5367.8","4946.6","4525.4","4104.2","3683","3181.8","2680.6","2179.4","1678.2","1177","2493.8","3810.6","5127.4","6444.2","7761","8400.8","9040.6","9680.4","10320.2","10960","11597","12234","12871","13508","14145","14470","14795","15120","15445","15770","16461.6","17153.2","17844.8","18536.4","19228","18966.6","18705.2","18443.8","18182.4","17921","18072.2","18223.4","18374.6","18525.8","18677","16961","14715","13500","14706","15068","13706","13153","14463","14725","14096","13408","12730","12335","12917","12760","12000","13316","13458","13433","13507","11885","13093","12972","13198","12705","13013","12426","11372","8104","10137","9698","9532","10276","10866"
"deu","4978.48354953939","5107.76085103716","5237.03815253494","5366.31545403271","5495.59275553049","5624.87005702826","5854.02316224854","6083.17626746882","6312.3293726891","6541.48247790938","6770.63558312966","7149.02839506173","7527.4212069938","7905.81401892586","8284.20683085793","8662.59964279","8875.55322429028","9088.50680579056","9301.46038729084","9514.41396879113","9727.36755029141","9334.1145453406","8940.8615403898","8547.60853543899","8154.35553048819","7761.10252553738","7568.81290342796","7376.52328131854","7184.23365920912","6991.94403709971","6799.65441499029","7475.12353199223","8150.59264899417","8826.06176599611","9501.53088299806","10177","10080.6","9984.2","9887.8","9791.4","9695","10325.2","10955.4","11585.6","12215.8","12846","13067.8","13289.6","13511.4","13733.2","13955","12816.76","11678.52","10540.28","9402.04","8263.8","8573.04","8882.28","9191.52","9500.76","9810","11447.8","13085.6","14723.4","16361.2","17999","19946","21893","23840","25787","27734","28052.8","28371.6","28690.4","29009.2","29328","30586.6","31845.2","33103.8","34362.4","35621","35002.8","34384.6","33766.4","33148.2","32530","32745.8","32961.6","33177.4","33393.2","33609","31612","27066","26352","29737","31143","28593","28116","31890","32113","29585","30608","28201","26705","29632","30038","27722","30940","30162","27934","30845","29184","29427","29481","29411","28424","29777","30562","28592","19715","28112","27563","26493","26678","27379"
"ddr",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","491.6","983.2","1474.8","1966.4","2458","2430","2147","2207","2355","2578","2738","2755","2786","2722","2128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hun","16.945155393053","17.5118829981718","18.0786106032907","18.6453382084095","19.2120658135283","19.7787934186472","20.9915904936015","22.2043875685558","23.4171846435101","24.6299817184644","25.8427787934187","25.4460694698355","25.0493601462523","24.6526508226691","24.2559414990859","23.8592321755027","24.7773308957952","25.6954296160878","26.6135283363803","27.5316270566728","28.4497257769653","27.1575868372943","25.8654478976234","24.5733089579525","23.2811700182815","21.9890310786106","30.8979890310786","39.8069469835466","48.7159049360146","57.6248628884826","66.5338208409506","71.8270566727605","77.1202925045704","82.4135283363803","87.7067641681901","93","125.8","158.6","191.4","224.2","257","242.8","228.6","214.4","200.2","186","234.2","282.4","330.6","378.8","427","350.4","273.8","197.2","120.6","44","128.2","212.4","296.6","380.8","465","548.6","632.2","715.8","799.4","883","958.2","1033.4","1108.6","1183.8","1259","1324","1389","1454","1519","1584","1634.2","1684.4","1734.6","1784.8","1835","1913.8","1992.6","2071.4","2150.2","2229","2226","2223","2220","2217","2214","2212","2198","2047","2098","2100","2061","2109","2093","1957","1711","1311","1176","1407","1595","1515","1496","1140","1259","1310","1340","1226","1335","1333","1351","1338","1340","1393","1289","1050","1325","1317","1229","628","801"
"ind","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.4","126.8","190.2","253.6","317","434","551","668","785","902","961.4","1020.8","1080.2","1139.6","1199","1257.2","1315.4","1373.6","1431.8","1490","1600.8","1711.6","1822.4","1933.2","2044","1920.8","1797.6","1674.4","1551.2","1428","1484","1540","1596","1652","1708","1751.4","1794.8","1838.2","1881.6","1925","2395","2865","3335","3805","4275","4844.8","5414.6","5984.4","6554.2","7124","7122.8","7121.6","7120.4","7119.2","7118","7406","7694","7982","8270","8558","8542.4","8526.8","8511.2","8495.6","8480","9465","9613","9087","9382","9701","10460","10808","11602","11930","12000","14176","15126","15674","17808","19025","20453","21096","20194","20139","21321","21875","24315","26550","25117","27125","28256","36488","37313","38233","39560","43624","47987","51359","55166"
"irn",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","400","600","800","1000","960","920","880","840","800","500","675","838","1208","1122","850","976","1012","1100","1267","1952","2053","1961","1883","1532","1852","2150","2117","2112","2202","2183","2182","2231","2096","2305","2041","2118","2176","2433","2540","2242","2143","2007","2782"
"ita","235.789434104155","241.912226609012","248.035019113869","254.157811618725","260.280604123582","266.403396628439","277.25647678135","288.109556934261","298.962637087172","309.815717240083","320.668797392994","338.59012345679","356.511449520587","374.432775584383","392.354101648179","410.275427711976","420.361270915586","430.447114119195","440.532957322805","450.618800526415","460.704643730024","442.07951369305","423.454383656076","404.829253619101","386.204123582127","367.578993545153","358.471830544589","349.364667544025","340.257504543461","331.150341542897","322.043178542332","354.034542833866","386.025907125399","418.017271416933","450.008635708466","482","493","504","515","526","537","556.2","575.4","594.6","613.8","633","718.8","804.6","890.4","976.2","1062","862.6","663.2","463.8","264.4","65","152.8","240.6","328.4","416.2","504","728.2","952.4","1176.6","1400.8","1625","1836.6","2048.2","2259.8","2471.4","2683","3244","3805","4366","4927","5488","6056.8","6625.6","7194.4","7763.2","8332","8935.6","9539.2","10142.8","10746.4","11350","11509.8","11669.6","11829.4","11989.2","12149","12260","11537","10313","11631","12063","11837","11335","11349","11761","11852","10845","10451","11187","11159","11663","10346","11329","10771","10621","11220","10650","9775","10148","10604","11423","11497","11110","10377","5692","8555","9838","9424","6933","6371"
"jpn","0","0","0","0","0","0","6","12","18","24","30","35","40","45","50","55","58.4","61.8","65.2","68.6","72","121.8","171.6","221.4","271.2","321","362.8","404.6","446.4","488.2","530","563.4","596.8","630.2","663.6","697","795.2","893.4","991.6","1089.8","1188","1343.4","1498.8","1654.2","1809.6","1965","2303.6","2642.2","2980.8","3319.4","3658","3123.2","2588.4","2053.6","1518.8","984","1247","1510","1773","2036","2299","2924.4","3549.8","4175.2","4800.6","5426","6809","8192","9575","10958","12341","15504.8","18668.6","21832.4","24996.2","28160","36470.8","44781.6","53092.4","61403.2","69714","73633.4","77552.8","81472.2","85391.6","89311","88857","88403","87949","87495","87041","80048","77658","72936","80403","80569","74651","73418","79295","80196","80229","79985","73144","73738","73776","74905","74597","78519","74981","74520","81071","78836","80979","82091","82974","83058","84270","86771","86171","66943","82283","81028","81405","83849","83872"
"kaz",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4659","3544","2435","2592","2536","3089","2594","3468","4010","3906","4008","4123","4312","3624","3393","3240","2761","2409","2640","3190","2831","2756","3185"
"lux","1155.95525474713","1185.97218148775","1215.98910822836","1246.00603496898","1276.02296170959","1306.03988845021","1359.24700131604","1412.45411418186","1465.66122704769","1518.86833991352","1572.07545277934","1659.93456790123","1747.79368302312","1835.65279814501","1923.5119132669","2011.37102838879","2060.81677006956","2110.26251175033","2159.7082534311","2209.15399511186","2258.59973679263","2167.29022999311","2075.98072319358","1984.67121639406","1893.36170959454","1802.05220279501","1757.40443065739","1712.75665851977","1668.10888638215","1623.46111424453","1578.81334210691","1735.65067368553","1892.48800526415","2049.32533684276","2206.16266842138","2363","2385","2407","2429","2451","2473","2352.8","2232.6","2112.4","1992.2","1872","1709.4","1546.8","1384.2","1221.6","1059","910.6","762.2","613.8","465.4","317","753.4","1189.8","1626.2","2062.6","2499","2616.2","2733.4","2850.6","2967.8","3085","3225.2","3365.4","3505.6","3645.8","3786","3857.8","3929.6","4001.4","4073.2","4145","4278.8","4412.6","4546.4","4680.2","4814","4629","4444","4259","4074","3889","3824.8","3760.6","3696.4","3632.2","3568","2889","2587","2316","2768","2754","2650","2305","2519","2684","2645","2463","2255","2412","1927","1028","829","438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mys",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","24","36","48","60","70","90","110","110","120","120","130","130","140","140","150","150","160","160","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mex","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.21012658227848","10.420253164557","15.6303797468354","20.8405063291139","26.0506329113924","30.6405063291139","35.2303797468354","39.820253164557","44.4101265822785","49","50.8","52.6","54.4","56.2","58","59","60","61","62","63","68.8","74.6","80.4","86.2","92","115.6","139.2","162.8","186.4","210","213.4","216.8","220.2","223.6","227","244","261","278","295","312","386.2","460.4","534.6","608.8","683","743.4","803.8","864.2","924.6","985","1258.6","1532.2","1805.8","2079.4","2353","2498.8","2644.6","2790.4","2936.2","3082","3193.4","3304.8","3416.2","3527.6","3639","3767","3598","3537","3926","3595","3738","3712","3678","3230","3665","2962","3404","3423","3501","4142","4229","4450","4532","4822","4856","4373","3996","4183","4278","4047","3790","4078","4450","3919","4707","4609","4611","4911","5116"
"mar",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","4.4","6.6","8.8","11","12","12","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0"
