"iso","sector","fuel","units","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"bra","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.205","0.2116","0.2182","0.2248","0.2314","0.238","0.2774","0.3168","0.3562","0.3956","0.435","0.6014","0.7678","0.9342","1.1006","1.267","1.3692","1.4714","1.5736","1.6758","1.778","1.6266","1.4752","1.3238","1.1724","1.021","1.0948","1.1686","1.2424","1.3162","1.39","1.4284","1.4668","1.5052","1.5436","1.582","1.634","1.686","1.738","1.79","1.842","1.768","1.694","1.62","1.546","1.472","1.452","1.432","1.412","1.392","1.372","1.5488","1.7256","1.9024","2.0792","2.256","2.5288","2.8016","3.0744","3.3472","3.62","3.6746","3.7292","3.7838","3.8384","3.893","3.9458","3.9986","4.0514","4.1042","4.157","4.072","3.987","3.902","3.817","3.732","3.7214","3.7108","3.7002","3.6896","3.679","3.7722","3.8654","3.9586","4.0518","4.145","4.145","4.145","4.145","4.145"
"can","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0.1776","0.2052","0.2328","0.2604","0.288","0.3636","0.4392","0.5148","0.5904","0.666","1.2188","1.7716","2.3244","2.8772","3.43","3.659","3.888","4.117","4.346","4.575","4.4432","4.3114","4.1796","4.0478","3.916","3.754","3.592","3.43","3.268","3.106","2.7004","2.2948","1.8892","1.4836","1.078","1.0258","0.9736","0.9214","0.8692","0.817","0.734","0.651","0.568","0.485","0.402","0.4404","0.4788","0.5172","0.5556","0.594","0.6164","0.6388","0.6612","0.6836","0.706","0.7632","0.8204","0.8776","0.9348","0.992","0.972","0.952","0.932","0.912","0.892","0.958","1.024","1.09","1.156","1.222","1.255","1.288","1.321","1.354","1.387","1.414","1.441","1.468","1.495","1.522","1.5272","1.5324","1.5376","1.5428","1.548","1.5424","1.5368","1.5312","1.5256","1.52","1.4796","1.4392","1.3988","1.3584","1.318","1.2624","1.2068","1.1512","1.0956","1.04","1.007","0.974","0.941","0.908","0.875","0.8762","0.8774","0.8786","0.8798","0.881","0.8832","0.8854","0.8876","0.8898","0.892","0.8748","0.8576","0.8404","0.8232","0.806","0.806","0.806","0.806","0.806"
"che","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.026","0.049","0.072","0.095","0.118","0.141","0.164","0.187","0.21","0.233","0.235","0.237","0.239","0.241","0.243","0.2338","0.2246","0.2154","0.2062","0.197","0.191","0.185","0.179","0.173","0.167","0.1398","0.1126","0.0854","0.0582","0.031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"chl","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.048","0.0576","0.0672","0.0768","0.0864","0.096","0.2286","0.3612","0.4938","0.6264","0.759","0.7428","0.7266","0.7104","0.6942","0.678","0.6438","0.6096","0.5754","0.5412","0.507","0.4668","0.4266","0.3864","0.3462","0.306","0.296","0.286","0.276","0.266","0.256","0.2428","0.2296","0.2164","0.2032","0.19","0.188","0.186","0.184","0.182","0.18","0.1766","0.1732","0.1698","0.1664","0.163","0.1676","0.1722","0.1768","0.1814","0.186","0.203","0.22","0.237","0.254","0.271","0.2708","0.2706","0.2704","0.2702","0.27","0.2692","0.2684","0.2676","0.2668","0.266","0.2514","0.2368","0.2222","0.2076","0.193","0.193","0.193","0.193","0.193"
"chn","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6","3.2374","2.8748","2.5122","2.1496","1.787","1.6938","1.6006","1.5074","1.4142","1.321","1.569","1.817","2.065","2.313","2.561","2.9298","3.2986","3.6674","4.0362","4.405","5.0304","5.6558","6.2812","6.9066","7.532","6.317","5.102","3.887","2.672","1.457","1.3456","1.2342","1.1228","1.0114","0.9","2.3994","3.8988","5.3982","6.8976","8.397","27.3102","46.2234","65.1366","84.0498","102.963","85.6632","68.3634","51.0636","33.7638","16.464","17.8558","19.2476","20.6394","22.0312","23.423","28.1324","32.8418","37.5512","42.2606","46.97","51.3416","55.7132","60.0848","64.4564","68.828","68.1382","67.4484","66.7586","66.0688","65.379","80.3592","95.3394","110.3196","125.2998","140.28","181.2342","222.1884","263.1426","304.0968","345.051","353.4566","361.8622","370.2678","378.6734","387.079","459.0796","531.0802","603.0808","675.0814","747.082","807.1334","867.1848","927.2362","987.2876","1047.339","1047.339","1047.339","1047.339","1047.339"
"col","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.063","0.1854","0.3078","0.4302","0.5526","0.675","0.721","0.767","0.813","0.859","0.905","0.8586","0.8122","0.7658","0.7194","0.673","0.6182","0.5634","0.5086","0.4538","0.399","0.3688","0.3386","0.3084","0.2782","0.248","0.2552","0.2624","0.2696","0.2768","0.284","0.2842","0.2844","0.2846","0.2848","0.285","0.2866","0.2882","0.2898","0.2914","0.293","0.286","0.279","0.272","0.265","0.258","0.2508","0.2436","0.2364","0.2292","0.222","0.2166","0.2112","0.2058","0.2004","0.195","0.3044","0.4138","0.5232","0.6326","0.742","0.742","0.742","0.742","0.742"
"csk","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.514","1.5476","1.5812","1.6148","1.6484","1.682","1.6376","1.5932","1.5488","1.5044","1.46","1.2876","1.1152","0.9428","0.7704","0.598","0.6592","0.7204","0.7816","0.8428","0.904","0.7782","0.6524","0.5266","0.4008","0.275","0.494","0.713","0.932","1.151","1.37","1.457","1.544","1.631","1.718","1.805","1.8856","1.9662","2.0468","2.1274","2.208","2.2586","2.3092","2.3598","2.4104","2.461","2.5504","2.6398","2.7292","2.8186","2.908","2.9486","2.9892","3.0298","3.0704","3.111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"cze","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.376","1.2904","1.2048","1.1192","1.0336","0.948","0.939","0.93","0.921","0.912","0.903","0.8572","0.8114","0.7656","0.7198","0.674","0.674","0.674","0.674","0.674"
"deu","1A1bc_Other-transformation","process","kt","3.504","4.0702","4.6364","5.2026","5.7688","6.335","6.513","6.691","6.869","7.047","7.225","8.2326","9.2402","10.2478","11.2554","12.263","12.6728","13.0826","13.4924","13.9022","14.312","14.8434","15.3748","15.9062","16.4376","16.969","17.6386","18.3082","18.9778","19.6474","20.317","21.3478","22.3786","23.4094","24.4402","25.471","26.4726","27.4742","28.4758","29.4774","30.479","30.9106","31.3422","31.7738","32.2054","32.637","35.2792","37.9214","40.5636","43.2058","45.848","46.0826","46.3172","46.5518","46.7864","47.021","47.704","48.387","49.07","49.753","50.436","46.19","41.944","37.698","33.452","29.206","26.2592","23.3124","20.3656","17.4188","14.472","14.5136","14.5552","14.5968","14.6384","14.68","13.7138","12.7476","11.7814","10.8152","9.849","9.774","9.699","9.624","9.549","9.474","9.1734","8.8728","8.5722","8.2716","7.971","7.9668","7.9626","7.9584","7.9542","7.95","7.9458","7.9416","7.9374","7.9332","7.929","8.6784","9.4278","10.1772","10.9266","11.676","11.6648","11.6536","11.6424","11.6312","11.62","11.5638","11.5076","11.4514","11.3952","11.339","11.3674","11.3958","11.4242","11.4526","11.481","11.1102","10.7394","10.3686","9.9978","9.627","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"dnk","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0.1574","0.3088","0.4602","0.6116","0.763","0.7742","0.7854","0.7966","0.8078","0.819","0.7542","0.6894","0.6246","0.5598","0.495","0.4578","0.4206","0.3834","0.3462","0.309","0.2614","0.2138","0.1662","0.1186","0.071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"dza","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.026","0.0248","0.0236","0.0224","0.0212","0.02","0.0234","0.0268","0.0302","0.0336","0.037","0.1232","0.2094","0.2956","0.3818","0.468","0.4504","0.4328","0.4152","0.3976","0.38","0.3518","0.3236","0.2954","0.2672","0.239","0.2434","0.2478","0.2522","0.2566","0.261","0.2708","0.2806","0.2904","0.3002","0.31","0","0","0","0","0","0","0","0","0"
"egy","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.061","0.12","0.179","0.238","0.297","0.356","0.3436","0.3312","0.3188","0.3064","0.294","0.3044","0.3148","0.3252","0.3356","0.346","0.3464","0.3468","0.3472","0.3476","0.348","0.368","0.388","0.408","0.428","0.448","0.4562","0.4644","0.4726","0.4808","0.489","0.5028","0.5166","0.5304","0.5442","0.558","0.5784","0.5988","0.6192","0.6396","0.66","0.6594","0.6588","0.6582","0.6576","0.657","0.6436","0.6302","0.6168","0.6034","0.59","0.59","0.59","0.59","0.59"
"esp","1A1bc_Other-transformation","process","kt","0","0","0","0","0","0","0","0","0","0","0.287","0.3538","0.4206","0.4874","0.5542","0.621","0.6194","0.6178","0.6162","0.6146","0.613","0.5618","0.5106","0.4594","0.4082","0.357","0.4272","0.4974","0.5676","0.6378","0.708","0.8142","0.9204","1.0266","1.1328","1.239","1.2766","1.3142","1.3518","1.3894","1.427","1.4646","1.5022","1.5398","1.5774","1.615","1.6686","1.7222","1.7758","1.8294","1.883","1.8922","1.9014","1.9106","1.9198","1.929","1.8302","1.7314","1.6326","1.5338","1.435","1.4002","1.3654","1.3306","1.2958","1.261","1.112","0.963","0.814","0.665","0.516","0.5652","0.6144","0.6636","0.7128","0.762","0.7348","0.7076","0.6804","0.6532","0.626","0.551","0.476","0.401","0.326","0.251","0.267","0.283","0.299","0.315","0.331","0.3104","0.2898","0.2692","0.2486","0.228","0.2642","0.3004","0.3366","0.3728","0.409","0.4364","0.4638","0.4912","0.5186","0.546","0.612","0.678","0.744","0.81","0.876","0.8844","0.8928","0.9012","0.9096","0.918","0.9794","1.0408","1.1022","1.1636","1.225","1.2368","1.2486","1.2604","1.2722","1.284","1.2626","1.2412","1.2198","1.1984","1.177","1.1458","1.1146","1.0834","1.0522","1.021","1.0032","0.9854","0.9676","0.9498","0.932","0.8846","0.8372","0.7898","0.7424","0.695","0.7076","0.7202","0.7328","0.7454","0.758","0.7562","0.7544","0.7526","0.7508","0.749","0.7094","0.6698","0.6302","0.5906","0.551","0.551","0.551","0.551","0.551"
