fuel,sector,units,iso,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
process,1B2_Fugitive-petr,kt,irq,7.58,7.58,7.58,7.58,7.58,11.92,13.00,13.00,16.25,16.25,16.25,16.25,17.33,17.33,28.16,28.16,28.16,28.16,32.50,46.58,48.75,50.91,55.25,83.41,95.32,101.82,100.74,95.32,105.07,110.49,99.66,77.99,96.41,106.16,116.99,115.91,110.49,116.99,126.74,121.32,135.40,127.82,148.40,119.16,118.07,99.12,114.58,141.60,147.02,199.61,105.06,147.95,68.77,126.01,47.10,25.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
process,1B2_Fugitive-petr,kt,sgp,4.79,6.39,7.98,11.18,12.78,4.79,7.98,15.97,15.97,17.57,27.15,28.74,47.91,67.07,92.62,89.43,89.43,89.43,92.62,92.62,102.20,111.78,108.59,103.80,103.80,130.95,140.53,124.56,138.93,156.50,174.06,178.85,177.26,202.81,209.20,206.00,220.37,218.78,204.41,174.06,164.48,164.48,153.30,175.66,207.60,239.86,198.47,238.64,191.08,207.17,184.47,234.54,196.00,144.45,152.77,115.49,96.10,85.03,62.15,55.30,0.00,14.32,0.25,11.70
process,1B2_Fugitive-petr,kt,ven,93.03,71.83,50.05,81.84,70.07,75.37,76.54,81.84,82.43,84.79,87.14,87.14,99.51,99.51,99.51,97.15,97.15,97.15,92.44,92.44,86.55,80.66,81.25,84.20,84.20,88.32,87.14,86.55,98.33,95.38,100.09,105.39,103.04,88.91,87.73,93.62,95.38,98.33,98.92,97.74,100.68,98.92,87.14,80.08,94.80,107.05,137.52,58.15,73.19,88.34,235.28,207.20,191.68,246.22,222.84,266.19,197.96,219.88,111.32,37.80,45.70,166.32,184.10,163.95
process,1B2_Fugitive-petr,kt,omn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,34.58,47.10,47.74,42.47,41.29,42.83,42.47,47.55,53.00,52.91,45.29,34.85,11.62,11.89,1.09,15.88,8.44,3.36,3.63,0.73,6.17,5.17,4.17,2.90,2.81,4.17,0.00,0.00,0.00,7.71,4.27,11.62,10.62,9.80,14.43,15.34,20.24,9.62,23.11,16.51,14.13,8.34,14.24,9.64,43.84,60.94,66.74,35.84,23.03,52.52,63.42,48.82,45.11,31.81,18.60,10.00
process,1B2_Fugitive-petr,kt,tto,39.41,41.38,43.18,45.15,46.46,45.40,52.03,62.44,64.57,55.06,45.72,40.07,44.17,53.26,60.39,69.40,73.50,72.85,69.49,169.37,125.29,119.31,125.12,51.87,60.14,147.49,144.30,150.20,154.13,152.82,120.95,120.13,113.98,104.48,113.24,113.82,109.72,105.05,104.15,106.11,34.91,42.28,26.14,19.58,27.45,33.10,18.59,23.81,7.72,28.49,17.81,44.63,6.21,6.80,28.61,23.66,21.52,26.39,29.39,13.42,0.93,11.73,16.83,15.83
process,1B2b_Fugitive-NG-prod,kt,irn,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82,73.65,73.65,73.65,73.65,0,0,0,0,0,73.65,73.65,73.65,73.65,73.65,73.65,73.65,73.65,73.65,73.65,98.2,122.75,122.75,122.75,122.75,122.75,122.75,141.27,159.8,159.8,159.8,159.8,159.8,99.8,158.1,100.9,128.7,119.8,173.7,211,145.1,152.6,121.8,132.7,132.9,159.1,167.8,148.3,109.2,100.3,66.1
process,1B2b_Fugitive-NG-prod,kt,aze,0,5.78,5.83,5.89,5.95,6.01,6.07,6.14,6.2,6.26,6.32,6.39,6.45,6.52,6.58,6.65,6.72,6.78,6.85,6.92,6.99,7.06,7.13,7.21,7.28,7.04,6.69,6.59,6.34,5.84,5.23,4.68,3.93,3.6,3.62,3.13,2.9,2.63,2.73,2.5,2.37,2.13,2.05,1.93,2.29,2.2,2.6,4.16,6.27,6.27,6.4,6.28,6.62,6.87,7.23,7.39,7.19,6.98,7.38,9.41,10.17,12.51,13.42,13.98
process,1B2b_Fugitive-NG-prod,kt,kaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,16.66,17.78,19.95,23.31,22.64,24.76,28.29,28.39,22.8,14.91,19.14,20.53,24.82,23.61,28.67,32.26,31.43,36.95,42,56.52,63.06,60.7,71.2,17.8,25.7,8.7,17.9,0,11.6,0,0,5.7,8.1,12.1,14.9,2.2,31.6,23.7,1.3,7.8
process,1B2b_Fugitive-NG-prod,kt,rus,31.53,26.34,26.86,34.19,41.53,48.86,56.18,63.51,70.83,78.02,85.05,89.35,96.6,108.55,122.7,138.35,150.68,163.57,180.58,194.68,209.53,227.03,244.33,268.97,225.08,245.04,274.42,307.4,331.43,362.01,367.96,359.49,336.46,321.95,303.72,301.53,277.82,278.97,272.27,260.39,251.11,248.75,250.53,246.88,240.8,231.8,280.8,281.4,252,293.4,215.9,224.2,249.1,306,465.5,369.4,359.7,152.1,314.5,302.4,298.1,298.4,392.5,255.9
process,1B2b_Fugitive-NG-prod,kt,tkm,0,0,0,0,0,0.11,1.92,7.34,13.35,23.33,32.88,47.17,56.37,77.2,97.32,115.28,120.64,126,131.36,136.72,142.08,147.44,152.8,158.16,163.52,166.49,179.22,185.69,195.23,187.58,185.77,119.71,136.62,73.07,64.17,67.98,32.5,24.27,40.37,80.67,85.29,86.05,91.95,87.47,91.11,87.7,55.1,95.7,80.1,94.4,85.1,156.8,138.7,173.3,174.3,143.2,122.4,130.2,143.8,158.2,146.1,143.4,125.9,126.4
process,1B2b_Fugitive-NG-prod,kt,uzb,0,33.4,66.79,67.47,68.15,68.84,69.53,70.24,70.94,71.66,72.39,73.12,73.85,74.6,75.35,76.12,76.88,77.66,78.45,79.24,80.04,80.85,81.66,82.49,83.32,92.98,99.22,102.83,109.38,106.77,113.07,112.17,115.53,118.04,116.86,116.03,115.66,122.51,120.59,118.63,116.11,115.11,111.99,109.55,107.21,103.2,111,94.5,127.4,132,191.2,126.2,143,181.6,194.2,253.4,260.8,251.9,262.9,246.9,232.5,188.6,151.2,160
