inv,em,iso,inv_sector,ceds_sector,Notes
E.NH3_REAS_inventory,NH3,pak,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,jpn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,idn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,bgd,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,vnm,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,mng,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,tha,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,mmr,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,phl,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,npl,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,afg,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,twn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,mys,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,khm,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,lao,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,prk,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,btn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,lka,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,uzb,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,kaz,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,brn,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,tjk,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,kgz,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,tkm,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,sgp,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,mdv,ncomb-agriculture-manure_management,3B_Manure-management,
E.NH3_REAS_inventory,NH3,chn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,ind,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,idn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,bgd,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,pak,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,phl,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,vnm,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,tha,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,mmr,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,jpn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,uzb,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,npl,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,afg,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,mys,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,prk,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,lka,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,kaz,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,khm,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,twn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,tjk,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,lao,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,kgz,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,tkm,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,mng,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,sgp,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,btn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,mdv,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_REAS_inventory,NH3,brn,ncomb-others-waste_water,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,prt,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,cze,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,est,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,fin,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,mlt,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,svn,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,cyp,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,che,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,bgr,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,swe,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,ukr,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,hun,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,lva,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,tur,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,bel,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,hrv,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,mda,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,pol,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,blr,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,gbr,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,srb,M_WasteWater,5D_Wastewater-handling,
E.NH3_EMEP_NFR09_inventory,NH3,rou,M_WasteWater,5D_Wastewater-handling,
E.NMVOC_REAS_inventory,NMVOC,ind,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,kaz,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,kgz,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,mmr,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,mng,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,prk,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,tkm,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,twn,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,uzb,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,vnm,ncomb-solvent_use-printing,2D3_Chemical-products-manufacture-processing,
E.NMVOC_REAS_inventory,NMVOC,sgp,ncomb-solvent_use-degreasing,2D_Degreasing-Cleaning,
E.NMVOC_REAS_inventory,NMVOC,brn,ncomb-solvent_use-degreasing,2D_Degreasing-Cleaning,
E.NMVOC_REAS_inventory,NMVOC,idn,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.NMVOC_REAS_inventory,NMVOC,phl,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.NMVOC_REAS_inventory,NMVOC,lka,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.NMVOC_REAS_inventory,NMVOC,mng,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.NMVOC_REAS_inventory,NMVOC,idn,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,ind,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,kaz,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,mdv,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,mmr,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,pak,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,tha,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,tkm,ncomb-paint_use-architectural,2D_Paint-application,
E.NMVOC_REAS_inventory,NMVOC,vnm,ncomb-paint_use-architectural,2D_Paint-application,
E.CO_REAS_inventory,CO,twn,ncomb-industry-chemical_ind,2B_Chemical-industry,
E.CO_REAS_inventory,CO,idn,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.CO_REAS_inventory,CO,sgp,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.NOx_REAS_inventory,NOx,twn,ncomb-solvent_use-printing,2B_Chemical-industry,
E.NOx_REAS_inventory,NOx,mng,ncomb-soil-soil,3D_Soil-emissions,
E.NOx_REAS_inventory,NOx,btn,ncomb-soil-soil,3D_Soil-emissions,
E.SO2_REAS_inventory,SO2,tha,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.SO2_REAS_inventory,SO2,mys,ncomb-industry-oil_refinery,1A1bc_Other-transformation,
E.SO2_REAS_inventory,SO2,bgd,ncomb-industry-chemical_ind,2B_Chemical-industry,
E.CO2_UNFCCC_update_inventory,CO2,aus,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,aut,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,bel,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,bgr,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,blr,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,che,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,cyp,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,cze,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,deu,1.B.2.b.iii,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,dnk,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,esp,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,est,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,fin,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,fra,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,gbr,1.B.2.b.iii,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,grc,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,hrv,1.B.2.b.ii,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,hun,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,irl,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,isl,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,ita,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,jpn,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,ltu,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,lva,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,mlt,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,nld,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,nor,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,nzl,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,pol,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,prt,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,rou,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,rus,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,svk,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,svn,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,swe,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,tur,1.B.2.c.i.2,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,ukr,1.B.2.b.i,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,usa,1.B.2.b,1B2b_Fugitive-NG-prod,
E.CO2_UNFCCC_update_inventory,CO2,aus,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,aut,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,bel,1.B.2.c,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,bgr,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,blr,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,che,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,cyp,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,cze,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,deu,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,dnk,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,esp,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,est,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,fin,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,fra,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,gbr,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,grc,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,hrv,1.B.2.a.ii,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,hun,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,irl,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,isl,1.B.2.c.ii.1,1B2_Fugitive-petr,
