sector_fuel,units,year,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
AirTransport_Gasoline           ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
AirTransport_Diesel             ,kt,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Gas               ,kt,1990,0,21.28,124.41,0,33.97,3578.46,0.08,0,0,0.03,0,0,0,3.33,107.99,1,0
RoadTransport_Petroleum         ,kt,1990,359,697,2471,1559,476,0,41,382,121,156,1003,0,18,0,0,0,339
RoadTransport_Gasoline          ,kt,1990,300369,24948,124476,32799,14768,50000,9875,18739,3545,13859,2762,22838,18415,19579,4322,7015,19689
RoadTransport_Diesel            ,kt,1990,68361,5388,93646,25360,4385,16300,7065,5432,17170,17450,6439,15615,13697,7863,4094,15319,7138
RoadTransport_BioLiquid         ,kt,1990,0,0,0.08,0,0,0,0,0,0,0,0,0,0,197.59,0,10382.25,0
RailTransport_Coal              ,kt,1990,0,0,67,0,1,9423,299,20389,5240,0,0,0,293,2,0,11,0
RailTransport_Gas               ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Petroleum         ,kt,1990,0,0,62,0,0,2000,1,32,22,110,5,0,0,19,0,0,0
RailTransport_Gasoline          ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Diesel            ,kt,1990,10268,1989,3030,300,547,11600,823,2047,1457,347,275,17,206,59,0,501,647
RailTransport_Biomass           ,kt,1990,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0
OtherTransport_Coal             ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Gas              ,kt,1990,9193.04,1706.31,57.12,0,5.92,0,0,30.85,0,0.73,0,0,194.86,7.67,0,0,0
OtherTransport_Petroleum        ,kt,1990,0,0,284,0,74,700,0,34,17,0,0,0,0,69,0,0,0
OtherTransport_Gasoline         ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Diesel           ,kt,1990,2532,13,32,0,515,4600,42,0,12,0,0,0,0,640,0,0,0
ShipTransport_Coal              ,kt,1990,0,0,1,0,168,0,9,0,0,0,0,0,0,0,0,0,0
ShipTransport_Gas               ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Petroleum         ,kt,1990,342,667,1143,2668,440,1800,387,558,300,91,1168,0,5,235,10,798,0
ShipTransport_Gasoline          ,kt,1990,3290,0,460,0,0,0,61,0,0,25,0,0,19,64,0,0,0
ShipTransport_Diesel            ,kt,1990,0,809,5566,1463,215,7500,69,2138,260,1405,449,0,103,483,0,309,0
InterBunkers_Coal               ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Gas                ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Petroleum          ,kt,1990,22337,706,27693,5031,733,4600,341,2483,108,11759,1362,9132,4392,2965,436,413,542
InterBunkers_Gasoline           ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Diesel             ,kt,1990,7012,222,8181,194,253,0,151,408,43,1015,264,312,1023,717,272,141,115
CommBuildings_Coal              ,kt,1990,3794,7,17872.24,544.59,336.42,101427,11958.06,12275.04,7971,0,46,0,1697.08,10.04,0,34.74,0
CommBuildings_Gas               ,kt,1990,36541.67,4963.3,11217.69,1395.42,497.92,17892.31,1842,74.04,0,204.13,81.01,0,13.13,275.1,882.35,1.49,0
CommBuildings_Petroleum         ,kt,1990,7338,707,4036,10126,207,3000,262,1916,0,229,4501,2726,10,359,90,678,1257
CommBuildings_Gasoline          ,kt,1990,2472,0,7,0,22,0,0,0,0,0,0,0,14,97,0,0,0
CommBuildings_Diesel            ,kt,1990,11253,3276,22725,9988,162,0,228,2491,0,311,2221,404,335,488,341,117,31
CommBuildings_Biomass           ,kt,1990,2709.73,0,70.17,0,1.2,0,413.6,0,0,187,0,0,1486.53,131.49,0,428.73,0
Residential_Coal                ,kt,1990,2306,93,43697.25,1013.63,201.55,0,39265.58,168424.22,15686,585.03,18779,0,2453.5,312.47,0,80.01,0
Residential_Gas                 ,kt,1990,61183.13,6774.5,42722.62,3153.03,1171.64,30416.92,5040.9,1147.53,24.69,1036.8,277.1,1556.88,753.29,267.32,2151.87,2.49,483.2
Residential_Petroleum           ,kt,1990,6088,796,14682,13014,307,6200,867,2824,10537,10621,1881,11824,8925,5629,1392,4593,5849
Residential_Gasoline            ,kt,1990,0,0,230,0,0,0,0,0,0,0,0,0,15,190,0,0,0
Residential_Diesel              ,kt,1990,19270,3731,48052,0,54,0,837,14,927,311,0,1284,64,168,0,0,0
Residential_Biomass             ,kt,1990,33993.2,4486.33,67266.7,340.13,5268.87,0,6858.9,616681.07,453616.35,278773.97,0,54.15,402028.85,54645.69,501.01,23383.18,16006.67
UrbanBurn_OpenWaste             ,kt,1990,1402.96,159.32,1425.77,587.9,84.41,1487.44,298.41,8018.23,3540.76,2615.05,236.51,647.48,4580,1138.47,202.72,805.87,386.69
UrbanBurn_OpenBiomass           ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenWaste             ,kt,1990,1203.92,131.63,1789.12,0,0,1267.4,730.09,0,0,0,0,1.13,0,0.13,0,0,0
RuralBurn_OpenBiomass           ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenWaste           ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenBiomass         ,kt,1990,0,0,1750,0,269390,10,0,100310,8560,38200,0,10,2337335.4,260070,9020,547500,0
ForestBurn_OpenWaste            ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestBurn_OpenBiomass          ,kt,1990,102660,71490,75500,560,20610,145020,2170,74745,37440,231860,80,4810,443975.6,311700,7370,359270,49470
AgResidueBurn_OpenWaste         ,kt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgResidueBurn_OpenBiomass       ,kt,1990,4380,17750,15540,1850,30000,23650,6260,113759.9,83650.2,49320,1730,4240,73360,17357.5,8080,20370,3440
