sector_fuel,units,year,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
RailTransport_Coal              ,Gg,1996,0,0,0,0,0,0.01,0.01,2.22,0.03,0,0,0,0.01,0,0,0,0
RailTransport_Gas               ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Petroleum         ,Gg,1996,0,0,0.06,0,0,0.17,0.01,0.24,0.02,0.03,0.01,0,0.01,0,0,0,0
RailTransport_Gasoline          ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RailTransport_Diesel            ,Gg,1996,16.64,2.78,4.57,0.41,0.77,7.45,1.32,5.45,1.61,0.76,0.46,0,0.47,0.06,0,0.62,0.9
RailTransport_Biomass           ,Gg,1996,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Coal             ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Gas              ,Gg,1996,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Petroleum        ,Gg,1996,0,0,0.03,0,0.03,0.04,0,0.03,0,0,0.02,0,0.01,0,0,0,0
OtherTransport_Gasoline         ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransport_Diesel           ,Gg,1996,0.44,0.02,0.01,0,1.01,0.46,0.02,0,0.01,0,0.19,0,0,0.44,0,0,0
ShipTransport_Coal              ,Gg,1996,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Gas               ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Petroleum         ,Gg,1996,0.06,0.16,0.44,1.02,0.11,0.07,0.03,0.21,0.08,0.2,1,0,0.01,0.02,0.03,0.34,0
ShipTransport_Gasoline          ,Gg,1996,0.13,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShipTransport_Diesel            ,Gg,1996,0,0.27,1.78,0.51,0.09,0.36,0.03,1.06,0.06,0.57,0.18,0,0.08,0.27,0,0.12,0
InterBunkers_Coal               ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Gas                ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Petroleum          ,Gg,1996,6.75,0.25,9.83,1.19,0.32,0.06,0.13,1.37,0.03,4.44,1.43,4.36,2.26,1.07,0.12,0.35,0.01
InterBunkers_Gasoline           ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterBunkers_Diesel             ,Gg,1996,2.26,0.06,3.04,0.04,0.07,0.01,0.03,0.31,0.01,0.55,0.31,0.1,0.43,0.25,0.07,0.09,0.17
CommBuildings_Coal              ,Gg,1996,11.2,0,1.54,0.05,0.64,0.68,4.01,16.86,12.79,0,0,0,4.25,0,0,0,0
CommBuildings_Gas               ,Gg,1996,0.04,0.01,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
CommBuildings_Petroleum         ,Gg,1996,0.09,0.02,0.05,0.74,0,0,0.01,0.16,0,0.02,0.68,0.09,0,0.01,0,0.01,0.01
CommBuildings_Gasoline          ,Gg,1996,0.05,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0
CommBuildings_Diesel            ,Gg,1996,0.31,0.09,0.71,0.3,0,0,0.02,10.64,0,0.94,0.11,0.03,0.48,0.38,0.05,0.08,0.04
CommBuildings_Biomass           ,Gg,1996,23.46,0,1.26,0,0.09,2.74,7.67,0,0,1.01,0,0,4.62,0.44,0,0.77,0
Residential_Coal                ,Gg,1996,12.18,0.42,29.31,0,0.2,21.63,26.78,193.75,22.53,1.05,0.27,0.03,6.17,0.66,0,0,0
Residential_Gas                 ,Gg,1996,0.07,0.01,0.06,0,0,0.05,0.01,0,0,0,0,0.01,0,0,0,0,0
Residential_Petroleum           ,Gg,1996,0.49,0.04,0.88,1.16,0.02,0.14,0.08,0.45,1.1,1.04,0.11,1.19,0.66,0.39,0.07,0.29,0.35
Residential_Gasoline            ,Gg,1996,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0
Residential_Diesel              ,Gg,1996,0.6,0.09,1.47,0,0,0.05,0.03,0.26,2.57,0.43,0.02,0.07,0.17,0.05,0,0,0
Residential_Biomass             ,Gg,1996,310.15,38.03,189.52,0.01,11.5,79.19,169.6,1603.42,1093.7,706.94,0,0.06,936.07,121.44,1.58,35.74,39.15
UrbanBurn_OpenWaste             ,Gg,1996,2.07,0.24,2.11,0.87,0.13,2.2,0.44,11.87,5.24,3.87,0.35,0.96,6.78,1.69,0.3,1.19,0.57
UrbanBurn_OpenBiomass           ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenWaste             ,Gg,1996,4.12,0.45,6.12,0,0,4.33,2.5,0,0,0,0,0,0,0,0,0,0
RuralBurn_OpenBiomass           ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenWaste           ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SavannaBurn_OpenBiomass         ,Gg,1996,0,0,5.95,0,915.93,0.03,0,341.05,29.1,129.88,0,0.03,7946.94,884.24,30.67,1861.5,0
ForestBurn_OpenWaste            ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestBurn_OpenBiomass          ,Gg,1996,821.28,571.92,604,2.91,107.17,1160.16,17.36,435.46,194.69,1205.67,0.42,25.32,2308.67,1620.84,38.32,1868.2,257.24
AgResidueBurn_OpenWaste         ,Gg,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgResidueBurn_OpenBiomass       ,Gg,1996,14.45,58.58,51.28,6.11,99,78.05,20.66,375.41,276.05,162.76,5.71,13.99,242.09,57.28,26.66,67.22,11.35
