iso,emission,fuel,changed_sector,source_sector
arm,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ltu,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,OC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
