iso,emission,fuel,changed_sector,source_sector
ltu,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,heavy_oil,1A4b_Residential,1A2g_Ind-Comb-other
arm,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
aze,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
blr,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
est,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
geo,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
kaz,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
kgz,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ltu,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
lva,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
mda,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
rus,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
tjk,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
tkm,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ukr,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
ussr,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
uzb,BC,light_oil,1A4b_Residential,1A2g_Ind-Comb-other
