emf_name,country_name,iso,emf_number
17 Middle East,Oman                                           ,omn,17
17 Middle East,Lebanon,lbn,17
17 Middle East,Kuwait                                             ,kwt,17
17 Middle East,Jordan                                 ,jor,17
17 Middle East,Palestine,pse,17
17 Middle East,Israel                                             ,isr,17
17 Middle East,Iraq                                            ,irq,17
17 Middle East,"Iran, Islamic Republic of",irn,17
17 Middle East,Bahrain                                            ,bhr,17
17 Middle East,United Arab Emirates                    ,are,17
16 Russia+,Russian Federation                      ,rus,16
16 Russia+,Georgia                                 ,geo,16
16 Russia+,Azerbaijan,aze,16
16 Russia+,Armenia                                         ,arm,16
15 Asia-Stan,Uzbekistan                                      ,uzb,15
15 Asia-Stan,Turkmenistan                            ,tkm,15
15 Asia-Stan,Tajikistan                                      ,tjk,15
15 Asia-Stan,Kyrgyzstan,kgz,15
15 Asia-Stan,Kazakstan                                      ,kaz,15
14 Ukraine+,Ukraine                                 ,ukr,14
14 Ukraine+,"Moldova, Republic of",mda,14
14 Ukraine+,Belarus                                         ,blr,14
13 Turkey,Turkey                                          ,tur,13
12 Central Europe,Slovenia                                        ,svn,12
12 Central Europe,Slovakia,svk,12
12 Central Europe,Romania                                 ,rou,12
12 Central Europe,Poland                                          ,pol,12
12 Central Europe,Malta                                           ,mlt,12
12 Central Europe,"Macedonia, the former Yugoslav Republic of",mkd,12
12 Central Europe,Latvia                                          ,lva,12
12 Central Europe,Lithuania                                       ,ltu,12
12 Central Europe,Hungary                                         ,hun,12
12 Central Europe,Croatia                                         ,hrv,12
12 Central Europe,Estonia                                         ,est,12
12 Central Europe,Czech Republic                          ,cze,12
12 Central Europe,Cyprus                                          ,cyp,12
12 Central Europe,Bosnia and Herzegovina                          ,bih,12
12 Central Europe,Bulgaria                                        ,bgr,12
12 Central Europe,Albania                                         ,alb,12
12 Central Europe,Serbia,srb,12
12 Central Europe,Kosovo,srb (kosovo),12
12 Central Europe,Montenegro,mne,12
11 Western Europe,Sweden                                           ,swe,11
11 Western Europe,Portugal,prt,11
11 Western Europe,Norway                                           ,nor,11
11 Western Europe,Netherlands                                  ,nld,11
11 Western Europe,Luxembourg                                   ,lux,11
11 Western Europe,Liechtenstein                               ,lie,11
11 Western Europe,Italy,ita,11
11 Western Europe,Iceland                                         ,isl,11
11 Western Europe,Ireland                                 ,irl,11
11 Western Europe,Greece,grc,11
11 Western Europe,Gibraltar                               ,gib,11
11 Western Europe,United Kingdom,gbr,11
11 Western Europe,Faroe Islands,fro,11
11 Western Europe,France,fra,11
11 Western Europe,Finland                                         ,fin,11
11 Western Europe,Spain                                            ,esp,11
11 Western Europe,Denmark                                          ,dnk,11
11 Western Europe,Greenland,grl,11
11 Western Europe,Germany                                 ,deu,11
11 Western Europe,Switzerland,che,11
11 Western Europe,Belgium                                          ,bel,11
11 Western Europe,Austria                                         ,aut,11
11 Western Europe,Andorra                                     ,,11
11 Western Europe,Holy See (Vatican City State),,11
11 Western Europe,Monaco                                      ,,11
11 Western Europe,San Marino                                      ,,11
11 Western Europe,Svalbard and Jan Mayen                                      ,,11
10 South Africa,South Africa                                    ,zaf,10
1 Canada,Canada                                  ,can,1
