Table A-94:  Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007a,2008,2009,2010,2011,2012,2013,2014,2015,2016
  General Aviation Aircraft ,"4,034","3,265","3,465","3,370","3,898","3,361","4,057","3,806","4,496","3,882","3,163","3,975","4,119","3,323","3,815","3,583","2,590","2,043","2,682","1,787","2,322","1,895","1,659","2,033","1,786","2,361","3,184"
  Military Aircraft,"3,583","3,556","2,910","2,844","2,585","2,495","2,384","2,174","2,221","2,132","2,167","2,359","2,110","2,123","2,185","1,860","1,679","1,656","1,667","1,434","1,283","1,074","1,114","1,024","1,300","1,267","1,170"
Aviation Gasolinef,374,347,342,319,317,329,311,330,295,326,302,291,281,251,260,294,278,263,235,221,225,225,209,186,181,176,170
  General Aviation Aircraft,374,347,342,319,317,329,311,330,295,326,302,291,281,251,260,294,278,263,235,221,225,225,209,186,181,176,170
"Residual Fuel Oilf, g","2,006","1,499","2,673","2,455","2,392","2,587","2,104",912,527,"1,174","2,963","1,066","1,522",662,"1,245","1,713","2,046","2,579","1,812","1,241","1,818","1,723","1,410","1,345",517,378,"1,152"
  Ships and Boats,"2,006","1,499","2,673","2,455","2,392","2,587","2,104",912,527,"1,174","2,963","1,066","1,522",662,"1,245","1,713","2,046","2,579","1,812","1,241","1,818","1,723","1,410","1,345",517,378,"1,152"
Natural Gasf (trillion cubic feet),0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.7
  Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
  Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
  Medium- and Heavy-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
  Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
  Pipelines,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7
LPGf,259,239,219,229,383,200,177,161,200,162,135,156,163,204,218,322,317,253,463,328,344,403,438,522,555,466,475
  Passenger Cars,1,1,1,1,2,0.9,1,1,1,1,0.6,1,1,1,2,2,3,3,5,5,2,1,1,2,10,48,84
  Light-Duty Trucks,35,32,30,31,52,27,24,22,27,22,18,21,22,28,38,63,81,60,84,82,81,77,44,58,119,68,45
  Medium- and Heavy-Duty Trucks,206,190,174,182,304,159,141,128,159,129,107,124,130,162,156,235,193,148,276,185,203,278,339,393,362,300,299
  Buses,17,16,14,15,25,13,12,10,13,11,9,10,11,13,22,23,40,42,97,55,58,47,54,69,65,51,46
"Electricityf, h","4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,712","7,672","7,320","7,625","7,758","7,637","7,497"
  Rail,"4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,712","7,672","7,320","7,625","7,758","7,637","7,497"
+Does not exceed 0.05 trillion cubic feet,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methodology for Table VM-1, which impacts estimates for the 2007 to 2016 time period. These methodological changes include how on-road vehicles are classified, moving from a system based on body-type to one that is based on wheelbase. This resulted in large changes in fuel consumption data by vehicle class between 2006 and 2007. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Figures do not include ethanol blended in motor gasoline or biodiesel blended into distillate fuel oil. Net carbon fluxes associated with ethanol are accounted for in the Land Use, Land-Use Change and Forestry chapter. This table is calculated with the heat content for gasoline without ethanol (from Table A.2 in the EIA Annual Energy Review) rather than the annually variable quantity-weighted heat content for gasoline with ethanol, which varies by year. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table MF-21, MF-27, and VM-1 (FHWA 1996 through 2017). Data from Table VM-1 is used to estimate the share of consumption between each on-road vehicle class. These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2017). TEDB data for 2016 has not been published yet, therefore 2015 data are used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
d Fluctuations in recreational boat gasoline estimates reflect the use of this category to reconcile bottom-up values with EIA total gasoline estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Class II and Class III diesel consumption data for 2014 to 2016 is not available, therefore 2013 data are used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Estimated based on EIA transportation sector energy estimates by fuel type, with bottom-up activity data used for apportionment to modes. Transportation sector natural gas and LPG consumption are based on data from EIA (2017a). In previous Inventory years, data from DOE TEDB was used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in this year’s Inventory and apply to the 1990 through 2016 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,
g Fluctuations in reported fuel consumption may reflect data collection problems. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Million kilowatt-hours,,,,,,,,,,,,,,,,,,,,,,,,,,,
