Table A-100:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (10^6 Miles) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
   SI PHEV - Electricity,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,6.4,36.8,71.3,117.7,210.8,282.1
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.3,0.2,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Light-Duty Trucks,77.3,80.7,73.8,97.3,95.1,93.2,101.8,110.7,124.8,134,180.9,225,274.4,302.9,271.8,333.1,491.3,555.3,458.1,510.6,462.8,1234.3,1366.3,2099.4,2142.1,2245.9,3442.7
   Ethanol-Flex Fuel ICE,+ ,+ ,+ ,0.1,0.1,0.3,1.2,2.3,3.2,7.6,23.4,28,33.9,38.1,45.4,54.5,62.8,77,89.6,102.7,130.9,144.1,191.8,227.2,222.3,232.2,229
   CNG ICE,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.7,1.6,3.1,5.6,9.1,12.2,14.3,15.9,14.5,15,13.2,10.2,9.7,8.5,9.1,9.4,9.2,8.1,7,4.8
   CNG Bi-fuel,+ ,+ ,+ ,+ ,0.1,0.4,1.9,5.9,13.1,26.5,47.2,76.6,103.4,121,84.4,72.8,68.6,60.9,26,21.7,20.3,19.4,15.7,17.1,20.6,21.7,27.2
   LPG ICE,22.4,23.3,21.2,28,27.3,26.5,28.2,29,30.4,27.2,27.6,27.7,28.5,29.3,23.7,32.6,28.6,22.8,11.2,12.9,10.3,10.2,6.3,6.7,7.8,8,7.1
   LPG Bi-fuel,55,57.3,52.1,68.9,67.1,65.1,69.2,71.3,74.6,66.9,67.7,68.3,70.3,72.4,71.4,67.6,55,32.2,25.1,29.2,25.3,13.2,5.2,6.3,23.2,9.3,4.2
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,+ ,+ ,+ ,+ ,+ ,+ ,+ 
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,4.1,8.1,13.5,11.2,24,85.3,253.9,341.1,287.9,326.6,260.2,1033.2,1133.8,1815.1,1825,1934.7,2679.5
   Electric Vehicle,+ ,+ ,0.4,0.3,0.5,0.8,1,1.4,1.8,2.5,5.3,7,12.5,16.5,6.8,5.6,7.1,7.9,7.7,7.5,7.2,4.8,3.8,17.4,35,32.7,459.9
   SI PHEV - Electricity,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,30.7
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.3,0.3,0.3
Medium Duty Trucks,273.4,273.6,239.1,304.1,285.5,267.5,275.2,275.1,280,246.2,260.6,277.6,300.9,309.2,229.2,317.3,523.9,626.9,567.6,597.4,448.3,1406.3,1466,2325.4,2351.4,2501.6,3530.2
   CNG ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.5,0.9,1.4,1.9,2.3,2.3,3.3,2.3,4.9,6.8,6.1,5.9,8.1,9.5,10,11.2,12.6,13.1
   CNG Bi-fuel,+ ,+ ,+ ,+ ,+ ,0.1,0.4,1.1,2.4,4.7,8.3,13.6,18.5,21.7,11.6,12.4,10.6,9.6,8.4,7,6.7,6.5,7.3,7.6,10.2,11,13.7
   LPG ICE,230.7,230.9,201.8,256.6,240.9,225.6,231.9,231.1,234.1,203.4,206,209.2,216.3,223.4,141.6,132.3,69.8,52.1,39.5,35.3,31.1,29,27.4,25.2,24.4,19.3,17.9
   LPG Bi-fuel,42.7,42.7,37.3,47.5,44.6,41.7,42.9,42.8,43.3,37.6,38.1,38.8,40.2,41.6,33.8,35.7,19.2,8.4,13.5,6.8,8.4,7.5,10,10.7,13.6,10.2,9.8
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+ ,0.1,0.2
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,7.3,14.5,24,20.2,39.8,133.7,422,552,499.4,542.3,396.2,1355.2,1411.8,2271.9,2291.8,2448.4,3475.5
Heavy-Duty Trucks,108.3,108.4,94.7,120.4,113.1,105.9,108.9,108.6,110.2,96.1,117.4,139.2,165.7,147.7,159.7,132.4,174.3,407.1,1016.1,1364.7,1159.7,1215.9,1009.9,3353.2,3382.6,5390.7,5388.1
   Neat Ethanol ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1.1,1.3,1.6,1.8,2.2,2.6,3,3.7,5.9,9.4,13,15.6,21,25.5
   CNG ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.3,0.5,0.9,1.5,2,2.4,1.9,1.9,2.7,2.9,2.7,3.4,3.6,3.6,4.1,5,5.5,7.7,9.4
   LPG ICE,101.7,101.8,89,113.2,106.3,99.5,102.3,102,103.3,89.8,90.9,92.3,95.3,98.4,88.7,72.6,63.8,54.8,46.8,41.4,34.1,35.9,23.3,23,18.6,17.5,14.9
   LPG Bi-fuel,6.5,6.5,5.7,7.3,6.8,6.4,6.6,6.6,6.6,5.8,5.8,5.9,6.2,6.4,5.1,4.3,3.8,3.7,3.7,4.3,4.5,6.6,5.1,5.4,2.3,2.2,2
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.2,0.5,0.8,0.9,0.9,1.2,1.3,1.5,+ ,+ ,+ ,+ ,+ ,+ 
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,19.7,39.4,62.2,39.3,62.2,51.2,101.2,342.6,959.1,1311.4,1112.3,1164,968,3306.7,3340.6,5342.5,5336.3
Buses,20.6,24,27.5,37.8,39.1,39.8,44.9,48.3,65.4,94.4,146.9,221.7,293.3,344.3,489.8,518.5,624.7,623.3,654.5,684.5,695.4,745.6,720.2,778.9,792,925.9,986.4
   Neat Methanol ICE,6.5,9.6,12.7,15.7,15.8,10.6,1.7,1.7,2.2,2.2,+ ,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
   Neat Ethanol ICE,+ ,+ ,0.4,0.4,0.7,4.9,13.3,5.6,0.3,0.3,0.1,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,2.7,3.7,4
   CNG ICE,+ ,+ ,+ ,+ ,0.2,1.1,4.6,13.8,29.9,58.3,104.1,170.3,231.7,271.8,392.8,413.5,481.7,509.8,546.2,581.7,605.4,637.1,628.3,650.1,650.3,731,792.1
   LPG ICE,13.6,13.6,11.9,15.1,14.1,13.2,13.5,13.5,13.6,11.8,12,12.2,12.6,13,14.6,9.7,11,10.2,11.1,7.5,6.7,4,3.9,4.1,4.5,3.3,2.8
   LNG,0.4,0.8,1.9,6.1,7.5,8.9,10.4,11.9,17.1,18.6,23.2,28.5,30.1,33.7,58.9,61.4,66.8,40.2,39.8,36,36.8,39.5,41.1,29.4,38.2,37.6,37.4
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.8,1.6,2.6,2,4.1,13.2,38.9,53.3,46.6,51.7,38.1,56.2,41.3,90,90.9,144.4,143.7
   Electric,+ ,+ ,0.6,0.5,0.7,1.1,1.4,1.9,2.4,3.2,6.8,9.1,16.3,23.8,19.3,20.6,26.1,9.6,10.6,7.6,8.3,8.4,5.1,4.9,5.1,5,5.5
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.9,0.9
Total VMT,483.6,500.8,464.5,602.9,594.7,562.4,583.7,595.2,630.5,629.6,783.9,965,1171.5,1261.6,1340.5,1496.4,2044.7,2465,2956.8,3453.2,3110.8,5161.9,5560.5,10677.8,12159.2,15548.2,19615
+ Does not exceed 0.05 million vehicle miles traveled,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Throughout the rest of this Inventory, medium-duty trucks are grouped with heavy-duty trucks; they are reported separately here because these two categories may run on a slightly different range of fuel types.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2015, EIA changed its methods for estimating AFV fuel consumption. These methodological changes included how vehicle counts are estimated, moving from estimates based on modeling to one that is based on survey data. EIA now publishes data about fuel use and number of vehicles for only four types of AFV fleets: federal government, state government, transit agencies, and fuel providers. These changes were first incorporated in the 2014 Inventory and apply to the 1990 to 2016 time period. This resulted in large reductions in AFV VMT, thus leading to a shift in VMT to conventional on-road vehicle classes. In 2016, estimates of alternative fuel vehicle mileage for the last ten years were revised to reflect updates made to EIA data on alternative fuel use and vehicle counts. These changes were first incorporated in this year’s Inventory and apply to the 2005 to 2016 time period. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Derived from Browning (2017), EIA (2017e), and EDTA (2017). ",,,,,,,,,,,,,,,,,,,,,,,,,,,
