COUNTRY,FLOW,Hard coal,Brown coal,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Peat,Crude/NGL/feedstocks/non-crude,Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Biogasoline,Biodiesels,Other liquid biofuels,Charcoal
Belarus,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Republic of China,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV of blast furnaces,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV in main activity producers,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV in industry,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,NCV for other uses,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Barrels per tonne,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Average net calorific value,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,NCV of production,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,NCV of other sources,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,NCV of imports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,NCV of exports,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,NCV of coke ovens,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
