COUNTRY,FLOW,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Peat,Crude/NGL/feedstocks/non-crude (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Biogasoline,Biodiesels,Other liquid biofuels,Charcoal
Canada,NCV in industry,x,x,26381,x,25514,x,14464,x,28830,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Canada,NCV for other uses,x,x,26381,28329,25514,17799,14464,x,28830,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43176,48095,44799,x,x,48100,x,47300,44800,44800,x,44600,43800,43300,40200,45000,x,x,x,x,32000,40000,x,x,x,30800
Chile,NCV of production,x,x,x,x,20736,x,x,x,28619,x,41338,x,x,x,43605,48095,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV of imports,x,x,x,28619,24283,x,x,x,27264,x,x,x,x,x,43166,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV of exports,x,x,x,x,x,x,x,x,29121,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV of coke ovens,x,x,x,29254,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV of blast furnaces,x,x,x,x,x,x,x,x,29254,x,41338,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in main activity producer electricity plants,x,x,x,x,22402,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in autoproducer electricity plants,x,x,x,x,28000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in main activity CHP plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in autoproducer CHP plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in main activity heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV in industry,x,x,x,x,26508,x,x,x,29374,x,41338,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Chile,NCV for other uses,x,x,x,28619,25841,x,x,x,28619,x,41338,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41980,x,39500,39500,41868,49500,x,46000,44000,44000,x,43000,43000,42600,40000,44000,43600,42000,39000,40000,32000,40000,x,37100,x,x
Czech Republic,NCV of production,x,x,x,28420,24404,x,13014,x,27967,x,37336,23873,x,x,41860,x,39500,39500,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV of imports,x,x,32000,24996,24800,x,14000,x,27734,x,37336,x,x,x,41980,x,x,39500,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV of exports,x,x,32000,27259,29364,x,13049,x,27835,x,37336,23900,x,x,42000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV of coke ovens,x,x,x,28818,x,x,x,x,27911,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV of blast furnaces,x,x,x,x,x,x,x,x,27911,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in main activity producer electricity plants,x,x,x,x,23500,x,11954,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in autoproducer electricity plants,x,x,x,x,x,x,12400,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in main activity CHP plants,x,x,x,x,23524,x,12500,x,x,x,38100,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in autoproducer CHP plants,x,x,x,x,x,x,12099,x,x,x,39667,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in main activity heat plants,x,x,x,x,23500,x,15000,x,27000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in autoproducer heat plants,x,x,x,x,22279,x,12500,x,30000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV in industry,x,x,32000,x,22276,x,12268,x,28109,x,37336,23172,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Czech Republic,NCV for other uses,x,x,32000,28818,21061,x,13680,x,25839,x,37336,22919,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43000,x,42700,x,x,49500,x,46000,44000,44000,x,43000,43000,42600,40000,44000,43600,42000,39000,x,32000,40000,x,37600,x,x
Denmark,NCV of production,x,x,x,x,x,x,x,x,x,x,x,x,x,x,43000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV of imports,x,x,x,x,24548,x,x,x,29300,x,x,x,x,x,43000,x,42700,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV of exports,x,x,x,x,24401,x,x,x,x,x,x,x,x,x,43000,x,42700,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV of coke ovens,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV of blast furnaces,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in main activity producer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in main activity CHP plants,x,x,x,x,24414,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in autoproducer CHP plants,x,x,x,x,24800,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in main activity heat plants,x,x,x,x,25000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV in industry,x,x,x,x,26500,x,x,x,29300,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Denmark,NCV for other uses,x,x,x,x,24552,x,x,x,29300,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,39218,x,x,46000,44000,44000,x,43000,x,42600,40000,x,x,42000,39000,x,x,x,x,x,x,x
Estonia,NCV of production,x,x,x,x,x,x,8870,x,28500,x,x,16000,9405,x,x,x,x,x,39218,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV of imports,x,x,x,x,27156,x,8032,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV of exports,x,x,x,x,x,x,8728,x,28500,x,x,16000,12000,x,x,x,x,x,39220,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV of coke ovens,x,x,x,x,x,x,11330,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV of blast furnaces,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in main activity producer electricity plants,x,x,x,x,x,x,9064,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in main activity CHP plants,x,x,x,x,x,x,8715,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in autoproducer CHP plants,x,x,x,x,x,x,8286,x,x,x,x,x,7214,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in main activity heat plants,x,x,x,x,28333,x,8667,x,x,x,x,x,11000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in autoproducer heat plants,x,x,x,x,33000,x,x,x,x,x,x,x,10091,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV in industry,x,x,x,x,27156,x,11640,x,x,x,x,x,9260,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Estonia,NCV for other uses,x,x,x,x,27156,x,8568,x,29308,x,x,16000,9260,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,42390,45217,42496,25121,41868,49500,x,46000,44000,44000,x,43000,43000,42600,40000,44000,43600,42000,39000,40000,32000,40000,x,x,x,x
Finland,NCV of production,x,x,x,x,x,x,x,x,29300,x,37000,x,10190,x,x,x,42496,25121,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV of imports,x,x,x,29300,25500,x,x,x,29300,x,x,x,10200,x,42390,45217,x,25121,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV of exports,x,x,x,x,x,x,x,x,x,x,x,x,10190,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV of coke ovens,x,x,x,29300,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV of blast furnaces,x,x,x,x,x,x,x,x,29300,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in main activity producer electricity plants,x,x,x,x,25514,x,x,x,x,x,x,x,10198,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,47000,x,11000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in main activity CHP plants,x,x,x,x,25504,x,x,x,x,x,x,x,10200,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in autoproducer CHP plants,x,x,x,x,25889,x,x,x,x,x,x,x,10205,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in main activity heat plants,x,x,x,x,25463,x,x,x,x,x,x,x,9460,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,11333,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV in industry,x,x,x,x,25500,x,x,x,29300,x,37000,x,10190,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Finland,NCV for other uses,x,x,x,29300,25500,x,x,x,29300,x,37000,x,10190,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41855,42000,41855,25120,x,49500,49500,46000,44000,44000,x,43000,43000,42600,40000,44000,43600,42000,39000,40000,32000,40000,26807,37867,x,x
France,NCV of production,x,x,x,x,26000,x,x,32000,28000,x,38519,x,x,x,41855,42000,41855,25120,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV of imports,x,x,x,30500,26000,x,17000,32000,28000,x,x,x,x,x,41855,x,x,25120,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV of exports,x,x,x,30500,26000,x,x,x,28000,x,x,x,x,x,x,x,x,25120,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV of coke ovens,x,x,x,30500,x,x,x,x,28000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV of blast furnaces,x,x,x,x,26000,x,x,x,28000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in main activity producer electricity plants,x,x,x,x,26000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in autoproducer electricity plants,x,x,x,x,26019,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in main activity CHP plants,x,x,x,x,25817,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in autoproducer CHP plants,x,x,x,x,25933,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in main activity heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV in industry,x,x,x,x,26000,x,17000,x,28000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
France,NCV for other uses,x,x,x,30500,26000,x,17000,32000,28000,x,38519,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,42949,x,42496,25121,41868,49500,x,46000,44000,44000,x,43000,43000,42600,40000,44000,43600,42000,39000,40000,32000,40000,26800,37360,37600,x
Germany,NCV of production,x,x,29700,29000,23580,x,9043,31400,28650,x,x,21433,8375,x,42949,x,42496,25121,41868,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV of imports,x,x,29700,30170,25820,x,8500,31400,28650,x,x,19127,x,x,42949,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV of exports,x,x,30500,x,30000,x,10489,31400,28650,x,x,21764,8375,x,42949,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV of coke ovens,x,x,x,29100,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV of blast furnaces,x,x,x,x,25100,x,x,x,28650,x,x,29900,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in main activity producer electricity plants,x,x,29680,29000,25124,x,9096,x,x,x,x,31594,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in autoproducer electricity plants,x,x,29680,29000,25100,x,9105,x,x,x,x,21027,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in main activity CHP plants,x,x,x,29000,25125,x,9105,x,x,x,x,26290,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in autoproducer CHP plants,x,x,x,29000,25100,x,x,x,x,x,x,21032,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in main activity heat plants,x,x,x,x,x,x,x,x,x,x,x,21025,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV in industry,x,x,29710,x,25300,x,10262,x,28650,x,x,21800,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Germany,NCV for other uses,x,x,29710,29100,25100,x,10260,31400,28650,x,x,19667,8375,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41228,41555,41318,41318,x,49500,x,46000,44000,x,43000,43000,43000,42600,40000,44000,x,42000,39000,x,32000,40000,x,x,x,x
Greece,NCV of production,x,x,x,x,x,x,5151,x,x,x,x,14573,x,x,38158,41555,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV of imports,x,x,x,x,25618,x,x,x,29302,x,x,x,x,x,41540,x,41318,41318,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV of exports,x,x,x,x,25618,x,x,x,x,x,x,14573,x,x,41860,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV of coke ovens,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV of blast furnaces,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in main activity producer electricity plants,x,x,x,x,x,x,5240,x,x,x,x,13889,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in main activity CHP plants,x,x,x,x,x,x,5244,x,x,x,x,19000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in autoproducer CHP plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in main activity heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV in industry,x,x,x,x,25618,x,9455,x,29302,x,x,14573,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Greece,NCV for other uses,x,x,x,x,25618,x,5200,x,29302,x,x,14573,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,Average net calorific value,x,x,x,x,x,x,x,x,x,x,x,x,x,x,42000,44000,43200,41800,40000,49500,x,46000,44000,44000,x,43000,x,42600,40000,44000,43600,42000,39000,40000,32000,40000,26800,x,x,x
Hungary,NCV of production,x,x,x,x,x,x,7648,16065,29340,x,38100,x,x,x,41100,43000,43200,41800,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV of imports,x,x,x,31429,24851,18038,x,x,29720,x,x,20000,x,x,42100,47000,41800,41800,40000,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV of exports,x,x,x,x,23820,18000,8807,x,29267,x,38100,x,x,x,42100,43000,x,41800,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV of coke ovens,x,x,x,31429,x,x,x,x,29267,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV of blast furnaces,x,x,x,x,x,x,x,x,29199,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV in main activity producer electricity plants,x,x,x,x,25412,15961,7585,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hungary,NCV in autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
