FLOW,PRODUCT,balance_correction
AUTOHEAT,Biogasoline (kt),-1
AUTOHEAT,Biodiesels (kt),-1
AUTOHEAT,Other liquid biofuels (kt),-1
AUTOHEAT,0,-1
AUTOHEAT,Charcoal (kt),-1
AUTOHEAT,Natural gas (TJ-gross),-1
AUTOHEAT,Anthracite (kt),-1
AUTOHEAT,Crude/NGL/feedstocks (if no detail) (kt),-1
AUTOHEAT,Crude oil (kt),-1
AUTOHEAT,Natural gas liquids (kt),-1
AUTOHEAT,Refinery feedstocks (kt),-1
AUTOHEAT,Additives/blending components (kt),-1
AUTOHEAT,Other hydrocarbons (kt),-1
AUTOHEAT,Refinery gas (kt),-1
AUTOHEAT,Ethane (kt),-1
AUTOHEAT,Liquefied petroleum gases (LPG) (kt),-1
AUTOHEAT,Motor gasoline (kt),-1
AUTOHEAT,Coking coal (kt),-1
AUTOHEAT,Aviation gasoline (kt),-1
AUTOHEAT,Gasoline type jet fuel (kt),-1
AUTOHEAT,Kerosene type jet fuel (kt),-1
AUTOHEAT,Other kerosene (kt),-1
AUTOHEAT,Gas/diesel oil (kt),-1
AUTOHEAT,Fuel oil (kt),-1
AUTOHEAT,Naphtha (kt),-1
AUTOHEAT,White spirit & SBP (kt),-1
AUTOHEAT,Lubricants (kt),-1
AUTOHEAT,Bitumen (kt),-1
AUTOHEAT,Other bituminous coal (kt),-1
AUTOHEAT,Paraffin waxes (kt),-1
AUTOHEAT,Petroleum coke (kt),-1
AUTOHEAT,Non-specified oil products (kt),-1
AUTOHEAT,Heat output from non-specified combustible fuels,-1
AUTOHEAT,Nuclear,-1
AUTOHEAT,Hydro,-1
AUTOHEAT,Geothermal (direct use in TJ-net),-1
AUTOHEAT,Solar photovoltaics,-1
AUTOHEAT,Solar thermal (direct use in TJ-net),-1
AUTOHEAT,"Tide, wave and ocean",-1
AUTOHEAT,Sub-bituminous coal (kt),-1
AUTOHEAT,Wind,-1
AUTOHEAT,Other sources,-1
AUTOHEAT,Electricity (GWh),-1
AUTOHEAT,Heat (TJ),1
AUTOHEAT,-,-1
AUTOHEAT,Lignite (kt),-1
AUTOHEAT,Peat (kt),-1
AUTOHEAT,Patent fuel (kt),-1
DISTLOSS,Hard coal (if no detail) (kt),-1
DISTLOSS,Coke oven coke (kt),-1
DISTLOSS,Gas coke (kt),-1
DISTLOSS,Coal tar (kt),-1
DISTLOSS,BKB/peat briquettes (kt),-1
DISTLOSS,Gas works gas (TJ-gross),-1
DISTLOSS,Coke oven gas (TJ-gross),-1
DISTLOSS,Blast furnace gas (TJ-gross),-1
DISTLOSS,-,-1
DISTLOSS,Elec/heat output from non-specified manufactured gases,-1
DISTLOSS,Industrial waste (TJ-net),-1
DISTLOSS,Brown coal (if no detail) (kt),-1
DISTLOSS,Municipal waste (renewable) (TJ-net),-1
DISTLOSS,Municipal waste (non-renewable) (TJ-net),-1
DISTLOSS,Primary solid biofuels (TJ-net),-1
DISTLOSS,Biogases (TJ-net),-1
DISTLOSS,Biogasoline (kt),-1
DISTLOSS,Biodiesels (kt),-1
DISTLOSS,Other liquid biofuels (kt),-1
DISTLOSS,0,-1
DISTLOSS,Charcoal (kt),-1
DISTLOSS,Natural gas (TJ-gross),-1
DISTLOSS,Anthracite (kt),-1
DISTLOSS,Crude/NGL/feedstocks (if no detail) (kt),-1
DISTLOSS,Crude oil (kt),-1
DISTLOSS,Natural gas liquids (kt),-1
DISTLOSS,Refinery feedstocks (kt),-1
DISTLOSS,Additives/blending components (kt),-1
DISTLOSS,Other hydrocarbons (kt),-1
DISTLOSS,Refinery gas (kt),-1
DISTLOSS,Ethane (kt),-1
DISTLOSS,Liquefied petroleum gases (LPG) (kt),-1
DISTLOSS,Motor gasoline (kt),-1
DISTLOSS,Coking coal (kt),-1
DISTLOSS,Aviation gasoline (kt),-1
DISTLOSS,Gasoline type jet fuel (kt),-1
DISTLOSS,Kerosene type jet fuel (kt),-1
DISTLOSS,Other kerosene (kt),-1
DISTLOSS,Gas/diesel oil (kt),-1
DISTLOSS,Fuel oil (kt),-1
DISTLOSS,Naphtha (kt),-1
DISTLOSS,White spirit & SBP (kt),-1
DISTLOSS,Lubricants (kt),-1
DISTLOSS,Bitumen (kt),-1
DISTLOSS,Other bituminous coal (kt),-1
DISTLOSS,Paraffin waxes (kt),-1
DISTLOSS,Petroleum coke (kt),-1
DISTLOSS,Non-specified oil products (kt),-1
DISTLOSS,Heat output from non-specified combustible fuels,-1
DISTLOSS,Nuclear,-1
DISTLOSS,Hydro,-1
DISTLOSS,Geothermal (direct use in TJ-net),-1
DISTLOSS,Solar photovoltaics,-1
DISTLOSS,Solar thermal (direct use in TJ-net),-1
DISTLOSS,"Tide, wave and ocean",-1
DISTLOSS,Sub-bituminous coal (kt),-1
DISTLOSS,Wind,-1
DISTLOSS,Other sources,-1
DISTLOSS,Electricity (GWh),-1
DISTLOSS,Heat (TJ),-1
DISTLOSS,-,-1
DISTLOSS,Lignite (kt),-1
DISTLOSS,Peat (kt),-1
DISTLOSS,Patent fuel (kt),-1
EBIOGAS,Hard coal (if no detail) (kt),-1
EBIOGAS,Coke oven coke (kt),-1
EBIOGAS,Gas coke (kt),-1
EBIOGAS,Coal tar (kt),-1
EBIOGAS,BKB/peat briquettes (kt),-1
EBIOGAS,Gas works gas (TJ-gross),-1
EBIOGAS,Coke oven gas (TJ-gross),-1
EBIOGAS,Blast furnace gas (TJ-gross),-1
EBIOGAS,-,-1
EBIOGAS,Elec/heat output from non-specified manufactured gases,-1
EBIOGAS,Industrial waste (TJ-net),-1
EBIOGAS,Brown coal (if no detail) (kt),-1
EBIOGAS,Municipal waste (renewable) (TJ-net),-1
EBIOGAS,Municipal waste (non-renewable) (TJ-net),-1
EBIOGAS,Primary solid biofuels (TJ-net),-1
EBIOGAS,Biogases (TJ-net),-1
EBIOGAS,Biogasoline (kt),-1
EBIOGAS,Biodiesels (kt),-1
EBIOGAS,Other liquid biofuels (kt),-1
EBIOGAS,0,-1
EBIOGAS,Charcoal (kt),-1
EBIOGAS,Natural gas (TJ-gross),-1
EBIOGAS,Anthracite (kt),-1
EBIOGAS,Crude/NGL/feedstocks (if no detail) (kt),-1
EBIOGAS,Crude oil (kt),-1
EBIOGAS,Natural gas liquids (kt),-1
EBIOGAS,Refinery feedstocks (kt),-1
EBIOGAS,Additives/blending components (kt),-1
EBIOGAS,Other hydrocarbons (kt),-1
EBIOGAS,Refinery gas (kt),-1
EBIOGAS,Ethane (kt),-1
EBIOGAS,Liquefied petroleum gases (LPG) (kt),-1
EBIOGAS,Motor gasoline (kt),-1
EBIOGAS,Coking coal (kt),-1
EBIOGAS,Aviation gasoline (kt),-1
EBIOGAS,Gasoline type jet fuel (kt),-1
EBIOGAS,Kerosene type jet fuel (kt),-1
EBIOGAS,Other kerosene (kt),-1
EBIOGAS,Gas/diesel oil (kt),-1
EBIOGAS,Fuel oil (kt),-1
EBIOGAS,Naphtha (kt),-1
EBIOGAS,White spirit & SBP (kt),-1
EBIOGAS,Lubricants (kt),-1
EBIOGAS,Bitumen (kt),-1
EBIOGAS,Other bituminous coal (kt),-1
EBIOGAS,Paraffin waxes (kt),-1
EBIOGAS,Petroleum coke (kt),-1
EBIOGAS,Non-specified oil products (kt),-1
EBIOGAS,Heat output from non-specified combustible fuels,-1
EBIOGAS,Nuclear,-1
EBIOGAS,Hydro,-1
EBIOGAS,Geothermal (direct use in TJ-net),-1
EBIOGAS,Solar photovoltaics,-1
EBIOGAS,Solar thermal (direct use in TJ-net),-1
EBIOGAS,"Tide, wave and ocean",-1
EBIOGAS,Sub-bituminous coal (kt),-1
EBIOGAS,Wind,-1
EBIOGAS,Other sources,-1
EBIOGAS,Electricity (GWh),-1
EBIOGAS,Heat (TJ),-1
EBIOGAS,-,-1
EBIOGAS,Lignite (kt),-1
EBIOGAS,Peat (kt),-1
EBIOGAS,Patent fuel (kt),-1
EBKB,Hard coal (if no detail) (kt),-1
EBKB,Coke oven coke (kt),-1
EBKB,Gas coke (kt),-1
EBKB,Coal tar (kt),-1
EBKB,BKB/peat briquettes (kt),-1
EBKB,Gas works gas (TJ-gross),-1
EBKB,Coke oven gas (TJ-gross),-1
EBKB,Blast furnace gas (TJ-gross),-1
EBKB,-,-1
EBKB,Elec/heat output from non-specified manufactured gases,-1
EBKB,Industrial waste (TJ-net),-1
EBKB,Brown coal (if no detail) (kt),-1
EBKB,Municipal waste (renewable) (TJ-net),-1
EBKB,Municipal waste (non-renewable) (TJ-net),-1
EBKB,Primary solid biofuels (TJ-net),-1
EBKB,Biogases (TJ-net),-1
EBKB,Biogasoline (kt),-1
EBKB,Biodiesels (kt),-1
EBKB,Other liquid biofuels (kt),-1
EBKB,0,-1
EBKB,Charcoal (kt),-1
EBKB,Natural gas (TJ-gross),-1
EBKB,Anthracite (kt),-1
EBKB,Crude/NGL/feedstocks (if no detail) (kt),-1
EBKB,Crude oil (kt),-1
EBKB,Natural gas liquids (kt),-1
EBKB,Refinery feedstocks (kt),-1
EBKB,Additives/blending components (kt),-1
EBKB,Other hydrocarbons (kt),-1
EBKB,Refinery gas (kt),-1
EBKB,Ethane (kt),-1
EBKB,Liquefied petroleum gases (LPG) (kt),-1
EBKB,Motor gasoline (kt),-1
EBKB,Coking coal (kt),-1
EBKB,Aviation gasoline (kt),-1
EBKB,Gasoline type jet fuel (kt),-1
EBKB,Kerosene type jet fuel (kt),-1
EBKB,Other kerosene (kt),-1
EBKB,Gas/diesel oil (kt),-1
EBKB,Fuel oil (kt),-1
EBKB,Naphtha (kt),-1
EBKB,White spirit & SBP (kt),-1
EBKB,Lubricants (kt),-1
EBKB,Bitumen (kt),-1
EBKB,Other bituminous coal (kt),-1
EBKB,Paraffin waxes (kt),-1
EBKB,Petroleum coke (kt),-1
EBKB,Non-specified oil products (kt),-1
EBKB,Heat output from non-specified combustible fuels,-1
EBKB,Nuclear,-1
EBKB,Hydro,-1
EBKB,Geothermal (direct use in TJ-net),-1
EBKB,Solar photovoltaics,-1
EBKB,Solar thermal (direct use in TJ-net),-1
EBKB,"Tide, wave and ocean",-1
EBKB,Sub-bituminous coal (kt),-1
EBKB,Wind,-1
EBKB,Other sources,-1
EBKB,Electricity (GWh),-1
EBKB,Heat (TJ),-1
EBKB,-,-1
EBKB,Lignite (kt),-1
EBKB,Peat (kt),-1
EBKB,Patent fuel (kt),-1
EBLASTFUR,Hard coal (if no detail) (kt),-1
EBLASTFUR,Coke oven coke (kt),-1
EBLASTFUR,Gas coke (kt),-1
EBLASTFUR,Coal tar (kt),-1
EBLASTFUR,BKB/peat briquettes (kt),-1
EBLASTFUR,Gas works gas (TJ-gross),-1
EBLASTFUR,Coke oven gas (TJ-gross),-1
EBLASTFUR,Blast furnace gas (TJ-gross),-1
EBLASTFUR,-,-1
EBLASTFUR,Elec/heat output from non-specified manufactured gases,-1
EBLASTFUR,Industrial waste (TJ-net),-1
EBLASTFUR,Brown coal (if no detail) (kt),-1
EBLASTFUR,Municipal waste (renewable) (TJ-net),-1
EBLASTFUR,Municipal waste (non-renewable) (TJ-net),-1
EBLASTFUR,Primary solid biofuels (TJ-net),-1
EBLASTFUR,Biogases (TJ-net),-1
EBLASTFUR,Biogasoline (kt),-1
EBLASTFUR,Biodiesels (kt),-1
EBLASTFUR,Other liquid biofuels (kt),-1
EBLASTFUR,0,-1
EBLASTFUR,Charcoal (kt),-1
EBLASTFUR,Natural gas (TJ-gross),-1
EBLASTFUR,Anthracite (kt),-1
EBLASTFUR,Crude/NGL/feedstocks (if no detail) (kt),-1
EBLASTFUR,Crude oil (kt),-1
EBLASTFUR,Natural gas liquids (kt),-1
EBLASTFUR,Refinery feedstocks (kt),-1
EBLASTFUR,Additives/blending components (kt),-1
EBLASTFUR,Other hydrocarbons (kt),-1
EBLASTFUR,Refinery gas (kt),-1
EBLASTFUR,Ethane (kt),-1
EBLASTFUR,Liquefied petroleum gases (LPG) (kt),-1
EBLASTFUR,Motor gasoline (kt),-1
EBLASTFUR,Coking coal (kt),-1
EBLASTFUR,Aviation gasoline (kt),-1
EBLASTFUR,Gasoline type jet fuel (kt),-1
EBLASTFUR,Kerosene type jet fuel (kt),-1
EBLASTFUR,Other kerosene (kt),-1
EBLASTFUR,Gas/diesel oil (kt),-1
EBLASTFUR,Fuel oil (kt),-1
EBLASTFUR,Naphtha (kt),-1
EBLASTFUR,White spirit & SBP (kt),-1
EBLASTFUR,Lubricants (kt),-1
EBLASTFUR,Bitumen (kt),-1
EBLASTFUR,Other bituminous coal (kt),-1
EBLASTFUR,Paraffin waxes (kt),-1
EBLASTFUR,Petroleum coke (kt),-1
EBLASTFUR,Non-specified oil products (kt),-1
EBLASTFUR,Heat output from non-specified combustible fuels,-1
EBLASTFUR,Nuclear,-1
EBLASTFUR,Hydro,-1
EBLASTFUR,Geothermal (direct use in TJ-net),-1
EBLASTFUR,Solar photovoltaics,-1
EBLASTFUR,Solar thermal (direct use in TJ-net),-1
EBLASTFUR,"Tide, wave and ocean",-1
EBLASTFUR,Sub-bituminous coal (kt),-1
EBLASTFUR,Wind,-1
EBLASTFUR,Other sources,-1
EBLASTFUR,Electricity (GWh),-1
EBLASTFUR,Heat (TJ),-1
EBLASTFUR,-,-1
EBLASTFUR,Lignite (kt),-1
EBLASTFUR,Peat (kt),-1
EBLASTFUR,Patent fuel (kt),-1
ECHARCOAL,Hard coal (if no detail) (kt),-1
ECHARCOAL,Coke oven coke (kt),-1
ECHARCOAL,Gas coke (kt),-1
ECHARCOAL,Coal tar (kt),-1
ECHARCOAL,BKB/peat briquettes (kt),-1
ECHARCOAL,Gas works gas (TJ-gross),-1
ECHARCOAL,Coke oven gas (TJ-gross),-1
ECHARCOAL,Blast furnace gas (TJ-gross),-1
ECHARCOAL,-,-1
ECHARCOAL,Elec/heat output from non-specified manufactured gases,-1
ECHARCOAL,Industrial waste (TJ-net),-1
ECHARCOAL,Brown coal (if no detail) (kt),-1
ECHARCOAL,Municipal waste (renewable) (TJ-net),-1
ECHARCOAL,Municipal waste (non-renewable) (TJ-net),-1
ECHARCOAL,Primary solid biofuels (TJ-net),-1
ECHARCOAL,Biogases (TJ-net),-1
ECHARCOAL,Biogasoline (kt),-1
ECHARCOAL,Biodiesels (kt),-1
ECHARCOAL,Other liquid biofuels (kt),-1
ECHARCOAL,0,-1
ECHARCOAL,Charcoal (kt),-1
ECHARCOAL,Natural gas (TJ-gross),-1
ECHARCOAL,Anthracite (kt),-1
ECHARCOAL,Crude/NGL/feedstocks (if no detail) (kt),-1
ECHARCOAL,Crude oil (kt),-1
ECHARCOAL,Natural gas liquids (kt),-1
ECHARCOAL,Refinery feedstocks (kt),-1
ECHARCOAL,Additives/blending components (kt),-1
ECHARCOAL,Other hydrocarbons (kt),-1
ECHARCOAL,Refinery gas (kt),-1
ECHARCOAL,Ethane (kt),-1
ECHARCOAL,Liquefied petroleum gases (LPG) (kt),-1
ECHARCOAL,Motor gasoline (kt),-1
ECHARCOAL,Coking coal (kt),-1
ECHARCOAL,Aviation gasoline (kt),-1
ECHARCOAL,Gasoline type jet fuel (kt),-1
ECHARCOAL,Kerosene type jet fuel (kt),-1
ECHARCOAL,Other kerosene (kt),-1
ECHARCOAL,Gas/diesel oil (kt),-1
ECHARCOAL,Fuel oil (kt),-1
ECHARCOAL,Naphtha (kt),-1
ECHARCOAL,White spirit & SBP (kt),-1
ECHARCOAL,Lubricants (kt),-1
ECHARCOAL,Bitumen (kt),-1
ECHARCOAL,Other bituminous coal (kt),-1
ECHARCOAL,Paraffin waxes (kt),-1
ECHARCOAL,Petroleum coke (kt),-1
ECHARCOAL,Non-specified oil products (kt),-1
ECHARCOAL,Heat output from non-specified combustible fuels,-1
ECHARCOAL,Nuclear,-1
ECHARCOAL,Hydro,-1
ECHARCOAL,Geothermal (direct use in TJ-net),-1
ECHARCOAL,Solar photovoltaics,-1
ECHARCOAL,Solar thermal (direct use in TJ-net),-1
ECHARCOAL,"Tide, wave and ocean",-1
ECHARCOAL,Sub-bituminous coal (kt),-1
ECHARCOAL,Wind,-1
ECHARCOAL,Other sources,-1
ECHARCOAL,Electricity (GWh),-1
ECHARCOAL,Heat (TJ),-1
ECHARCOAL,-,-1
ECHARCOAL,Lignite (kt),-1
ECHARCOAL,Peat (kt),-1
ECHARCOAL,Patent fuel (kt),-1
ECOALLIQ,Hard coal (if no detail) (kt),-1
ECOALLIQ,Coke oven coke (kt),-1
ECOALLIQ,Gas coke (kt),-1
ECOALLIQ,Coal tar (kt),-1
ECOALLIQ,BKB/peat briquettes (kt),-1
ECOALLIQ,Gas works gas (TJ-gross),-1
ECOALLIQ,Coke oven gas (TJ-gross),-1
ECOALLIQ,Blast furnace gas (TJ-gross),-1
ECOALLIQ,-,-1
ECOALLIQ,Elec/heat output from non-specified manufactured gases,-1
ECOALLIQ,Industrial waste (TJ-net),-1
ECOALLIQ,Brown coal (if no detail) (kt),-1
ECOALLIQ,Municipal waste (renewable) (TJ-net),-1
ECOALLIQ,Municipal waste (non-renewable) (TJ-net),-1
ECOALLIQ,Primary solid biofuels (TJ-net),-1
ECOALLIQ,Biogases (TJ-net),-1
ECOALLIQ,Biogasoline (kt),-1
ECOALLIQ,Biodiesels (kt),-1
ECOALLIQ,Other liquid biofuels (kt),-1
ECOALLIQ,0,-1
ECOALLIQ,Charcoal (kt),-1
ECOALLIQ,Natural gas (TJ-gross),-1
ECOALLIQ,Anthracite (kt),-1
ECOALLIQ,Crude/NGL/feedstocks (if no detail) (kt),-1
ECOALLIQ,Crude oil (kt),-1
ECOALLIQ,Natural gas liquids (kt),-1
ECOALLIQ,Refinery feedstocks (kt),-1
ECOALLIQ,Additives/blending components (kt),-1
ECOALLIQ,Other hydrocarbons (kt),-1
ECOALLIQ,Refinery gas (kt),-1
ECOALLIQ,Ethane (kt),-1
ECOALLIQ,Liquefied petroleum gases (LPG) (kt),-1
ECOALLIQ,Motor gasoline (kt),-1
ECOALLIQ,Coking coal (kt),-1
ECOALLIQ,Aviation gasoline (kt),-1
ECOALLIQ,Gasoline type jet fuel (kt),-1
ECOALLIQ,Kerosene type jet fuel (kt),-1
ECOALLIQ,Other kerosene (kt),-1
ECOALLIQ,Gas/diesel oil (kt),-1
ECOALLIQ,Fuel oil (kt),-1
ECOALLIQ,Naphtha (kt),-1
ECOALLIQ,White spirit & SBP (kt),-1
ECOALLIQ,Lubricants (kt),-1
ECOALLIQ,Bitumen (kt),-1
ECOALLIQ,Other bituminous coal (kt),-1
ECOALLIQ,Paraffin waxes (kt),-1
ECOALLIQ,Petroleum coke (kt),-1
ECOALLIQ,Non-specified oil products (kt),-1
ECOALLIQ,Heat output from non-specified combustible fuels,-1
ECOALLIQ,Nuclear,-1
ECOALLIQ,Hydro,-1
ECOALLIQ,Geothermal (direct use in TJ-net),-1
ECOALLIQ,Solar photovoltaics,-1
ECOALLIQ,Solar thermal (direct use in TJ-net),-1
ECOALLIQ,"Tide, wave and ocean",-1
ECOALLIQ,Sub-bituminous coal (kt),-1
ECOALLIQ,Wind,-1
ECOALLIQ,Other sources,-1
ECOALLIQ,Electricity (GWh),-1
ECOALLIQ,Heat (TJ),-1
ECOALLIQ,-,-1
ECOALLIQ,Lignite (kt),-1
ECOALLIQ,Peat (kt),-1
ECOALLIQ,Patent fuel (kt),-1
ECOKEOVS,Hard coal (if no detail) (kt),-1
ECOKEOVS,Coke oven coke (kt),-1
ECOKEOVS,Gas coke (kt),-1
ECOKEOVS,Coal tar (kt),-1
ECOKEOVS,BKB/peat briquettes (kt),-1
ECOKEOVS,Gas works gas (TJ-gross),-1
ECOKEOVS,Coke oven gas (TJ-gross),-1
ECOKEOVS,Blast furnace gas (TJ-gross),-1
ECOKEOVS,-,-1
ECOKEOVS,Elec/heat output from non-specified manufactured gases,-1
ECOKEOVS,Industrial waste (TJ-net),-1
ECOKEOVS,Brown coal (if no detail) (kt),-1
ECOKEOVS,Municipal waste (renewable) (TJ-net),-1
ECOKEOVS,Municipal waste (non-renewable) (TJ-net),-1
ECOKEOVS,Primary solid biofuels (TJ-net),-1
ECOKEOVS,Biogases (TJ-net),-1
ECOKEOVS,Biogasoline (kt),-1
ECOKEOVS,Biodiesels (kt),-1
ECOKEOVS,Other liquid biofuels (kt),-1
ECOKEOVS,0,-1
ECOKEOVS,Charcoal (kt),-1
ECOKEOVS,Natural gas (TJ-gross),-1
ECOKEOVS,Anthracite (kt),-1
ECOKEOVS,Crude/NGL/feedstocks (if no detail) (kt),-1
ECOKEOVS,Crude oil (kt),-1
ECOKEOVS,Natural gas liquids (kt),-1
ECOKEOVS,Refinery feedstocks (kt),-1
ECOKEOVS,Additives/blending components (kt),-1
ECOKEOVS,Other hydrocarbons (kt),-1
ECOKEOVS,Refinery gas (kt),-1
ECOKEOVS,Ethane (kt),-1
ECOKEOVS,Liquefied petroleum gases (LPG) (kt),-1
ECOKEOVS,Motor gasoline (kt),-1
ECOKEOVS,Coking coal (kt),-1
ECOKEOVS,Aviation gasoline (kt),-1
ECOKEOVS,Gasoline type jet fuel (kt),-1
ECOKEOVS,Kerosene type jet fuel (kt),-1
ECOKEOVS,Other kerosene (kt),-1
ECOKEOVS,Gas/diesel oil (kt),-1
ECOKEOVS,Fuel oil (kt),-1
ECOKEOVS,Naphtha (kt),-1
ECOKEOVS,White spirit & SBP (kt),-1
ECOKEOVS,Lubricants (kt),-1
ECOKEOVS,Bitumen (kt),-1
ECOKEOVS,Other bituminous coal (kt),-1
ECOKEOVS,Paraffin waxes (kt),-1
