em,sector,iso,sub_flag
NH3,INDC,ton,1
NH3,INDC,wlf,1
NH3,NRTR,fsm,1
NH3,NRTR,mhl,1
NH3,NRTR,niu,1
NH3,NRTR,plw,1
NH3,NRTR,wlf,1
NH3,RCORC,fsm,1
NH3,RCORC,isl,1
NH3,RCORC,mhl,1
NH3,RCORC,mlt,1
NH3,RCORC,plw,1
NH3,RCORC,pri,1
NH3,RCORC,spm,1
NH3,RCOO,fsm,1
NH3,RCOO,isl,1
NH3,RCOO,mhl,1
NH3,RCOO,plw,1
NH3,RCOO,pri,1
NH3,RCOO,spm,1
NH3,ROAD,cok,1
NH3,ROAD,fsm,1
NH3,ROAD,mhl,1
NH3,ROAD,niu,1
NH3,ROAD,plw,1
NH3,ROAD,spm,1
NH3,ROAD,ton,1
NH3,ROAD,wlf,1
NOx,ELEC,cok,1
NOx,ELEC,flk,1
NOx,ELEC,fsm,1
NOx,ELEC,gib,1
NOx,ELEC,isl,1
NOx,ELEC,mhl,1
NOx,ELEC,niu,1
NOx,ELEC,plw,1
NOx,ELEC,spm,1
NOx,ELEC,sxm,1
NOx,ELEC,tca,1
NOx,ELEC,tkl,1
NOx,ELEC,tls,1
NOx,ELEC,ton,1
NOx,ELEC,vgb,1
NOx,ELEC,wlf,1
NOx,ETRN,bmu,1
NOx,ETRN,cym,1
NOx,ETRN,kna,1
NOx,ETRN,msr,1
NOx,ETRN,pyf,1
NOx,INDC,asm,1
NOx,INDC,fsm,1
NOx,INDC,mhl,1
NOx,INDC,mlt,1
NOx,INDC,niu,1
NOx,INDC,plw,1
NOx,INDC,pri,1
NOx,INDC,tkl,1
NOx,INDC,ton,1
NOx,INDC,wlf,1
NOx,RCORC,fsm,1
NOx,RCORC,mhl,1
NOx,RCORC,plw,1
NOx,RCORC,pri,1
NOx,RCORC,spm,1
NOx,RCOO,fsm,1
NOx,RCOO,mhl,1
NOx,RCOO,plw,1
NOx,RCOO,pri,1
NOx,RCOO,spm,1
NOx,ROAD,cok,1
NOx,ROAD,fsm,1
NOx,ROAD,mhl,1
NOx,ROAD,niu,1
NOx,ROAD,plw,1
NOx,ROAD,spm,1
NOx,ROAD,ton,1
NOx,ROAD,wlf,1
NMVOC,ELEC,cok,1
NMVOC,ELEC,flk,1
NMVOC,ELEC,fsm,1
NMVOC,ELEC,gib,1
NMVOC,ELEC,isl,1
NMVOC,ELEC,mhl,1
NMVOC,ELEC,niu,1
NMVOC,ELEC,plw,1
NMVOC,ELEC,spm,1
NMVOC,ELEC,sxm,1
NMVOC,ELEC,tca,1
NMVOC,ELEC,tkl,1
NMVOC,ELEC,tls,1
NMVOC,ELEC,ton,1
NMVOC,ELEC,vgb,1
NMVOC,ELEC,wlf,1
NMVOC,INDC,asm,1
NMVOC,INDC,fsm,1
NMVOC,INDC,mhl,1
NMVOC,INDC,mlt,1
NMVOC,INDC,niu,1
NMVOC,INDC,plw,1
NMVOC,INDC,pri,1
NMVOC,INDC,tkl,1
NMVOC,INDC,ton,1
NMVOC,INDC,wlf,1
NMVOC,INPU,mrt,1
NMVOC,RCORC,fsm,1
NMVOC,RCORC,mhl,1
NMVOC,RCORC,plw,1
NMVOC,RCORC,pri,1
NMVOC,RCORC,spm,1
NMVOC,RCOO,fsm,1
NMVOC,RCOO,mhl,1
NMVOC,RCOO,plw,1
NMVOC,RCOO,pri,1
NMVOC,RCOO,spm,1
NMVOC,ROAD,cok,1
NMVOC,ROAD,fsm,1
NMVOC,ROAD,mhl,1
NMVOC,ROAD,niu,1
NMVOC,ROAD,plw,1
NMVOC,ROAD,spm,1
NMVOC,ROAD,ton,1
NMVOC,ROAD,wlf,1
NMVOC,SLV,abw,1
OC,ELEC,cok,1
OC,ELEC,fsm,1
OC,ELEC,mhl,1
OC,ELEC,niu,1
OC,ELEC,plw,1
OC,ELEC,sxm,1
OC,ELEC,tca,1
OC,ELEC,tkl,1
OC,ELEC,ton,1
OC,ELEC,vgb,1
OC,ELEC,wlf,1
OC,INDC,asm,1
OC,INDC,fsm,1
OC,INDC,mhl,1
OC,INDC,mlt,1
OC,INDC,niu,1
OC,INDC,plw,1
OC,INDC,pri,1
OC,INDC,tkl,1
OC,INDC,ton,1
OC,INDC,wlf,1
OC,RCORC,fsm,1
OC,RCORC,mhl,1
OC,RCORC,plw,1
OC,RCORC,pri,1
OC,RCORC,spm,1
OC,RCOO,fsm,1
OC,RCOO,mhl,1
OC,RCOO,plw,1
OC,RCOO,pri,1
OC,RCOO,spm,1
OC,ROAD,cok,1
OC,ROAD,fsm,1
OC,ROAD,mhl,1
OC,ROAD,niu,1
OC,ROAD,plw,1
OC,ROAD,spm,1
OC,ROAD,ton,1
OC,ROAD,wlf,1
SO2,ELEC,cok,1
SO2,ELEC,fsm,1
SO2,ELEC,mhl,1
SO2,ELEC,niu,1
SO2,ELEC,plw,1
SO2,ELEC,sxm,1
SO2,ELEC,tca,1
SO2,ELEC,tkl,1
SO2,ELEC,ton,1
SO2,ELEC,vgb,1
SO2,ELEC,wlf,1
SO2,ETRN,atg,1
SO2,ETRN,bhs,1
SO2,ETRN,blz,1
SO2,ETRN,bmu,1
SO2,ETRN,com,1
SO2,ETRN,cym,1
SO2,ETRN,dma,1
SO2,ETRN,dom,1
SO2,ETRN,flk,1
SO2,ETRN,glp,1
SO2,ETRN,grd,1
SO2,ETRN,kna,1
SO2,ETRN,lca,1
SO2,ETRN,msr,1
SO2,ETRN,mtq,1
SO2,ETRN,stp,1
SO2,ETRN,vct,1
SO2,ETRN,vgb,1
SO2,INDC,asm,1
SO2,INDC,fsm,1
SO2,INDC,mhl,1
SO2,INDC,mlt,1
SO2,INDC,niu,1
SO2,INDC,plw,1
SO2,INDC,pri,1
SO2,INDC,tkl,1
SO2,INDC,ton,1
SO2,INDC,wlf,1
SO2,INPU,are,1
SO2,INPU,mlt,1
SO2,INPU,omn,1
SO2,RCORC,fsm,1
SO2,RCORC,mhl,1
SO2,RCORC,plw,1
SO2,RCORC,pri,1
SO2,RCORC,spm,1
SO2,RCOO,fsm,1
SO2,RCOO,mhl,1
SO2,RCOO,plw,1
SO2,RCOO,pri,1
SO2,RCOO,spm,1
SO2,ROAD,cok,1
SO2,ROAD,fsm,1
SO2,ROAD,mhl,1
SO2,ROAD,niu,1
SO2,ROAD,plw,1
SO2,ROAD,spm,1
SO2,ROAD,ton,1
SO2,ROAD,wlf,1
