iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
brb,ENE,0.06430818,0,0.00651507,0.039023287,0.028937015,0.044654868,0,0,0,0.005278937,0.007351355,0.014975502,0.005580766,0.008315711,0,0,0,0,0.038402903,0.013520901,0.020543145,0.073917447,0.628674913
brn,ENE,0.002603025,0.000181357,0.092779426,0.209735507,0.367006764,0.045755035,0.004461508,9.71E-05,0.000104585,0.00118457,0.104688756,0.05868549,0.002894634,0.000336531,0.001121563,0,0,0,0.0919437,0.000547241,0.000831458,0.003535687,0.011506055
btn,ENE,0.112489584,0,0.008836015,0.062452844,0.040404346,0.076915898,0.009831765,0,0,0.009257291,0.009970222,0.024617431,0.009786588,0.014563898,0,0,0,0,0.064653361,0.023646253,0.035927223,0.129298385,0.367348896
bwa,ENE,0.055870587,0.003617975,0.01479752,0.048679858,0.028881997,0.102569609,0.015933266,0,0,0.040049484,0.016696957,0.042666484,0.099702365,0.004070222,0.039345485,0,0,0,0.035576759,0.011250397,0.017093426,0.084117938,0.339079668
caf,ENE,0.055310985,0.001265191,0.015523894,0.049759958,0.027664984,0.104947586,0.015151564,0,0,0.039304733,0.01751657,0.041873072,0.101730844,0.00142334,0.041276852,0,0,0,0.035425346,0.011108378,0.016877649,0.082553718,0.341285337
can,ENE,0.005399124,0.009267462,0.055840601,0.129832196,0.193339549,0.116770013,0.004357639,0.004254758,0.004582429,0.050347972,0.063008394,0.071769047,0.13644021,0,0.057342416,0,0,0,0.052129472,0.001453006,0.002207642,0.033760042,0.007898029
che,ENE,0.019683975,0,0.083171117,0.194538834,0.330329196,0.050715929,0.003066884,0,0,0.001613416,0.093847113,0.054923578,0.001705665,0.002545342,0,0,0,0,0.09114411,0.004138537,0.006287936,0.022625258,0.03966311
chl,ENE,0.006925906,0.005307208,0.066204761,0.152704285,0.246465418,0.09250464,0.009627265,0,0,0.032975007,0.074702925,0.066625348,0.091358277,0,0.038211888,0,0,0,0.065278663,0,0,0.024678516,0.026429893
chn,ENE,0,0.004344743,0.077820583,0.176301779,0.29508196,0.076929615,0.010077229,0.002349107,0.002530018,0.023322755,0.087809777,0.065387441,0.064112473,0,0.026952266,0,0,0,0.073925529,0,0,0.013054724,0
civ,ENE,0.035557617,0.003762808,0.045252096,0.116318017,0.169611152,0.079447247,0.00850446,0.002009992,0.002164787,0.02306029,0.051060738,0.048901536,0.058446735,0.004577318,0.023265166,0,0,0,0.06008255,0.007475955,0.011358683,0.052159249,0.196983605
cmr,ENE,0.055394154,0.006556014,0.011063432,0.047710362,0.026719145,0.103277366,0.008891084,0.003511565,0.003782,0.039669706,0.012483554,0.042057302,0.101357091,0.007159435,0.040579734,0,0,0,0.035113723,0.011646568,0.017695354,0.083339474,0.341992937
cod,ENE,0.083081536,0,0,0,0,0.033423602,0.008777843,0,0,0,0,0,0,0,0,0,0,0,0.063664014,0,0,0.095496025,0.715556981
