"report_year","emission","primary_anzsic_class_code","primary_anzsic_class_name","substance_id","air_total_emission_kg"
"1998/1999","CO",1916,"Paint and Coatings Manufacturing",20,2330
"1998/1999","CO",1919,"Other Polymer Product Manufacturing",20,5560
"1998/1999","CO",2010,"Glass and Glass Product Manufacturing",20,433481
"1998/1999","CO",2021,"Clay Brick Manufacturing",20,3454987
"1998/1999","CO",2029,"Other Ceramic Product Manufacturing",20,184926
"1998/1999","CO",2034,"Concrete Product Manufacturing",20,26618
"1998/1999","CO",2090,"Other Non-Metallic Mineral Product Manufacturing",20,368000
"1998/1999","CO",2110,"Iron Smelting and Steel Manufacturing",20,42373333
"1998/1999","CO",2121,"Iron and Steel Casting",20,24284
"1998/1999","CO",2122,"Steel Pipe and Tube Manufacturing",20,30421.8
"1998/1999","CO",2131,"Alumina Production",20,7257699
"1998/1999","CO",2132,"Aluminium Smelting",20,51197837
"1998/1999","CO",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",20,153875
"1998/1999","CO",2139,"Other Basic Non-Ferrous Metal Manufacturing",20,10.5
"1998/1999","CO",2141,"Non-Ferrous Metal Casting",20,8432
"1998/1999","CO",2142,"Aluminium Rolling, Drawing, Extruding",20,543.8
"1998/1999","CO",2239,"Other Metal Container Manufacturing",20,1629
"1998/1999","CO",2393,"Railway Rolling Stock Manufacturing and Repair Services",20,442
"1998/1999","CO",2611,"Fossil Fuel Electricity Generation",20,16210460.0217712
"1998/1999","CO",2700,"Gas Supply",20,5123
"1998/1999","CO",2812,"Sewerage and Drainage Services",20,932866
"1998/1999","CO",2921,"Waste Treatment and Disposal Services",20,76246.22
"1998/1999","CO",2922,"Waste Remediation and Materials Recovery Services",20,69400
"1998/1999","CO",3321,"Petroleum Product Wholesaling",20,939549.6
"1998/1999","CO",5212,"Port and Water Transport Terminal Operations",20,2006002.83
"1998/1999","CO",5220,"Airport Operations and Other Air Transport Support Services",20,1750
"1998/1999","CO",8401,"Hospitals (Except Psychiatric Hospitals)",20,3442.0282951
"1998/1999","CO",9531,"Laundry and Dry-Cleaning Services",20,8510.54
"1998/1999","NH3",1111,"Meat Processing",8,2770
"1998/1999","NH3",1812,"Basic Organic Chemical Manufacturing",8,260
"1998/1999","NH3",2812,"Sewerage and Drainage Services",8,NA
"1998/1999","NMVOC",600,"Coal Mining",85,2228
"1998/1999","NMVOC",700,"Oil and Gas Extraction",85,1399766.3
"1998/1999","NMVOC",804,"Gold Ore Mining",85,13981
"1998/1999","NMVOC",807,"Silver-Lead-Zinc Ore Mining",85,31
"1998/1999","NMVOC",809,"Other Metal Ore Mining",85,234492
"1998/1999","NMVOC",1111,"Meat Processing",85,342.31
"1998/1999","NMVOC",1181,"Sugar Manufacturing",85,5220
"1998/1999","NMVOC",1212,"Beer Manufacturing",85,23
"1998/1999","NMVOC",1510,"Pulp, Paper and Paperboard Manufacturing",85,3442.6
"1998/1999","NMVOC",1611,"Printing",85,164300
"1998/1999","NMVOC",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",85,37
"1998/1999","NMVOC",1812,"Basic Organic Chemical Manufacturing",85,608700
"1998/1999","NMVOC",1813,"Basic Inorganic Chemical Manufacturing",85,266096
"1998/1999","NMVOC",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",85,278068
"1998/1999","NMVOC",1899,"Other Basic Chemical Product Manufacturing n.e.c.",85,3062
"1998/1999","NMVOC",1916,"Paint and Coatings Manufacturing",85,19200
"1998/1999","NMVOC",2021,"Clay Brick Manufacturing",85,48963.7
"1998/1999","NMVOC",2029,"Other Ceramic Product Manufacturing",85,4248
"1998/1999","NMVOC",2393,"Railway Rolling Stock Manufacturing and Repair Services",85,47
"1998/1999","NMVOC",2611,"Fossil Fuel Electricity Generation",85,131913.271795205
"1998/1999","NMVOC",2700,"Gas Supply",85,60
"1998/1999","NMVOC",2812,"Sewerage and Drainage Services",85,1008
"1998/1999","NMVOC",2921,"Waste Treatment and Disposal Services",85,3315.592
"1998/1999","NMVOC",3321,"Petroleum Product Wholesaling",85,265064
"1998/1999","NMVOC",5212,"Port and Water Transport Terminal Operations",85,22782
"1998/1999","NMVOC",8401,"Hospitals (Except Psychiatric Hospitals)",85,209.45768137
"1998/1999","NMVOC",9531,"Laundry and Dry-Cleaning Services",85,307.41
"1998/1999","NOx",600,"Coal Mining",69,956338.79
"1998/1999","NOx",700,"Oil and Gas Extraction",69,2845462.93
"1998/1999","NOx",801,"Iron Ore Mining",69,734538.6
"1998/1999","NOx",802,"Bauxite Mining",69,3229400
"1998/1999","NOx",803,"Copper Ore Mining",69,841658.69
"1998/1999","NOx",804,"Gold Ore Mining",69,1954913.3
"1998/1999","NOx",806,"Nickel Ore Mining",69,1048134
"1998/1999","NOx",807,"Silver-Lead-Zinc Ore Mining",69,98901
"1998/1999","NOx",809,"Other Metal Ore Mining",69,1578176
"1998/1999","NOx",990,"Other Non-Metallic Mineral Mining and Quarrying",69,91387.85
"1998/1999","NOx",1111,"Meat Processing",69,24701.7
"1998/1999","NOx",1131,"Milk and Cream Processing",69,64.75
"1998/1999","NOx",1140,"Fruit and Vegetable Processing",69,9782
"1998/1999","NOx",1161,"Grain Mill Product Manufacturing",69,70899.79
"1998/1999","NOx",1171,"Bread Manufacturing (Factory based)",69,66826.82
"1998/1999","NOx",1181,"Sugar Manufacturing",69,1194646
"1998/1999","NOx",1182,"Confectionery Manufacturing",69,3280
"1998/1999","NOx",1199,"Other Food Product Manufacturing n.e.c.",69,3626
"1998/1999","NOx",1212,"Beer Manufacturing",69,235385
"1998/1999","NOx",1331,"Textile Floor Covering Manufacturing",69,1985
"1998/1999","NOx",1411,"Log Sawmilling",69,800
"1998/1999","NOx",1493,"Veneer and Plywood Manufacturing",69,41549
"1998/1999","NOx",1510,"Pulp, Paper and Paperboard Manufacturing",69,2416171
"1998/1999","NOx",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",69,309655
"1998/1999","NOx",1529,"Other Converted Paper Product Manufacturing",69,7110
"1998/1999","NOx",1611,"Printing",69,3233
"1998/1999","NOx",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",69,6765283
"1998/1999","NOx",1709,"Other Petroleum and Coal Product Manufacturing",69,4309
"1998/1999","NOx",1811,"Industrial Gas Manufacturing",69,241000
"1998/1999","NOx",1812,"Basic Organic Chemical Manufacturing",69,1274746
"1998/1999","NOx",1813,"Basic Inorganic Chemical Manufacturing",69,12639.821
"1998/1999","NOx",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",69,5e+05
"1998/1999","NOx",1831,"Fertiliser Manufacturing",69,821000
"1998/1999","NOx",1832,"Pesticide Manufacturing",69,6030
"1998/1999","NOx",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",69,50973.6
"1998/1999","NOx",1851,"Cleaning Compound Manufacturing",69,6000
"1998/1999","NOx",1899,"Other Basic Chemical Product Manufacturing n.e.c.",69,1917
"1998/1999","NOx",1911,"Polymer Film and Sheet Packaging Material Manufacturing",69,4040
"1998/1999","NOx",1916,"Paint and Coatings Manufacturing",69,2780
"1998/1999","NOx",1919,"Other Polymer Product Manufacturing",69,109
"1998/1999","NOx",2010,"Glass and Glass Product Manufacturing",69,3404809
"1998/1999","NOx",2021,"Clay Brick Manufacturing",69,900830
"1998/1999","NOx",2029,"Other Ceramic Product Manufacturing",69,45353
"1998/1999","NOx",2034,"Concrete Product Manufacturing",69,9827
"1998/1999","NOx",2090,"Other Non-Metallic Mineral Product Manufacturing",69,5280
"1998/1999","NOx",2110,"Iron Smelting and Steel Manufacturing",69,2906539.7
"1998/1999","NOx",2121,"Iron and Steel Casting",69,14813
"1998/1999","NOx",2122,"Steel Pipe and Tube Manufacturing",69,63056.9
"1998/1999","NOx",2131,"Alumina Production",69,6514000
"1998/1999","NOx",2132,"Aluminium Smelting",69,259052
"1998/1999","NOx",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",69,55456
"1998/1999","NOx",2139,"Other Basic Non-Ferrous Metal Manufacturing",69,37.5
"1998/1999","NOx",2141,"Non-Ferrous Metal Casting",69,4692
"1998/1999","NOx",2142,"Aluminium Rolling, Drawing, Extruding",69,1278
"1998/1999","NOx",2239,"Other Metal Container Manufacturing",69,6277
"1998/1999","NOx",2393,"Railway Rolling Stock Manufacturing and Repair Services",69,1029
"1998/1999","NOx",2611,"Fossil Fuel Electricity Generation",69,277475293.37515
"1998/1999","NOx",2700,"Gas Supply",69,10264
"1998/1999","NOx",2812,"Sewerage and Drainage Services",69,356300.6
"1998/1999","NOx",2921,"Waste Treatment and Disposal Services",69,29845.06
"1998/1999","NOx",2922,"Waste Remediation and Materials Recovery Services",69,4e+06
"1998/1999","NOx",3321,"Petroleum Product Wholesaling",69,1679734
"1998/1999","NOx",5212,"Port and Water Transport Terminal Operations",69,2512007.5
"1998/1999","NOx",5220,"Airport Operations and Other Air Transport Support Services",69,2080
"1998/1999","NOx",8401,"Hospitals (Except Psychiatric Hospitals)",69,5769.5108463
"1998/1999","NOx",9531,"Laundry and Dry-Cleaning Services",69,10684.04
"1998/1999","SO2",600,"Coal Mining",77,47581.75
"1998/1999","SO2",700,"Oil and Gas Extraction",77,25089.1556
"1998/1999","SO2",801,"Iron Ore Mining",77,66592.64
"1998/1999","SO2",802,"Bauxite Mining",77,28151903
"1998/1999","SO2",803,"Copper Ore Mining",77,2596751.48
"1998/1999","SO2",804,"Gold Ore Mining",77,2437931.6
"1998/1999","SO2",805,"Mineral Sand Mining",77,24.14
"1998/1999","SO2",806,"Nickel Ore Mining",77,3978.441
"1998/1999","SO2",807,"Silver-Lead-Zinc Ore Mining",77,5588
"1998/1999","SO2",809,"Other Metal Ore Mining",77,160223.9
"1998/1999","SO2",990,"Other Non-Metallic Mineral Mining and Quarrying",77,8137.82
"1998/1999","SO2",1111,"Meat Processing",77,538
"1998/1999","SO2",1131,"Milk and Cream Processing",77,9.09
"1998/1999","SO2",1140,"Fruit and Vegetable Processing",77,65052
"1998/1999","SO2",1161,"Grain Mill Product Manufacturing",77,50217.66
"1998/1999","SO2",1171,"Bread Manufacturing (Factory based)",77,270.41
"1998/1999","SO2",1181,"Sugar Manufacturing",77,452588
"1998/1999","SO2",1182,"Confectionery Manufacturing",77,17
"1998/1999","SO2",1199,"Other Food Product Manufacturing n.e.c.",77,18.13
"1998/1999","SO2",1212,"Beer Manufacturing",77,253063.6
"1998/1999","SO2",1331,"Textile Floor Covering Manufacturing",77,3.5
"1998/1999","SO2",1411,"Log Sawmilling",77,40
"1998/1999","SO2",1493,"Veneer and Plywood Manufacturing",77,163
"1998/1999","SO2",1510,"Pulp, Paper and Paperboard Manufacturing",77,4541881.75
"1998/1999","SO2",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",77,403130.59
"1998/1999","SO2",1529,"Other Converted Paper Product Manufacturing",77,48
"1998/1999","SO2",1611,"Printing",77,13.7
"1998/1999","SO2",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",77,14453256
"1998/1999","SO2",1709,"Other Petroleum and Coal Product Manufacturing",77,650.01
"1998/1999","SO2",1812,"Basic Organic Chemical Manufacturing",77,1165985.6
"1998/1999","SO2",1813,"Basic Inorganic Chemical Manufacturing",77,67.887
"1998/1999","SO2",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",77,400134
"1998/1999","SO2",1831,"Fertiliser Manufacturing",77,850
"1998/1999","SO2",1832,"Pesticide Manufacturing",77,150
"1998/1999","SO2",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",77,1564.3
"1998/1999","SO2",1851,"Cleaning Compound Manufacturing",77,5067
"1998/1999","SO2",1899,"Other Basic Chemical Product Manufacturing n.e.c.",77,1
"1998/1999","SO2",1911,"Polymer Film and Sheet Packaging Material Manufacturing",77,21
"1998/1999","SO2",1916,"Paint and Coatings Manufacturing",77,14.5
"1998/1999","SO2",2010,"Glass and Glass Product Manufacturing",77,1135958
"1998/1999","SO2",2021,"Clay Brick Manufacturing",77,1932198
"1998/1999","SO2",2029,"Other Ceramic Product Manufacturing",77,81733.16
"1998/1999","SO2",2034,"Concrete Product Manufacturing",77,1641
"1998/1999","SO2",2090,"Other Non-Metallic Mineral Product Manufacturing",77,7940
"1998/1999","SO2",2110,"Iron Smelting and Steel Manufacturing",77,1529028
"1998/1999","SO2",2121,"Iron and Steel Casting",77,296.4
"1998/1999","SO2",2122,"Steel Pipe and Tube Manufacturing",77,1442.87
"1998/1999","SO2",2131,"Alumina Production",77,15718250
"1998/1999","SO2",2132,"Aluminium Smelting",77,23676500
"1998/1999","SO2",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",77,4954.4
"1998/1999","SO2",2139,"Other Basic Non-Ferrous Metal Manufacturing",77,11186000
"1998/1999","SO2",2141,"Non-Ferrous Metal Casting",77,667.6
"1998/1999","SO2",2142,"Aluminium Rolling, Drawing, Extruding",77,7.1
"1998/1999","SO2",2239,"Other Metal Container Manufacturing",77,173.3
"1998/1999","SO2",2393,"Railway Rolling Stock Manufacturing and Repair Services",77,51
"1998/1999","SO2",2611,"Fossil Fuel Electricity Generation",77,395317217.236294
"1998/1999","SO2",2812,"Sewerage and Drainage Services",77,23227.07
"1998/1999","SO2",2921,"Waste Treatment and Disposal Services",77,6750.508
"1998/1999","SO2",2922,"Waste Remediation and Materials Recovery Services",77,35400000
"1998/1999","SO2",3321,"Petroleum Product Wholesaling",77,5904641
"1998/1999","SO2",5212,"Port and Water Transport Terminal Operations",77,331098.56
"1998/1999","SO2",5220,"Airport Operations and Other Air Transport Support Services",77,10.9
"1998/1999","SO2",8401,"Hospitals (Except Psychiatric Hospitals)",77,5217.51746918
"1998/1999","SO2",9531,"Laundry and Dry-Cleaning Services",77,46.95
"1999/2000","CO",143,"Beef Cattle Feedlots (Specialised)",20,23420.19
"1999/2000","CO",171,"Poultry Farming (Meat)",20,2077
"1999/2000","CO",600,"Coal Mining",20,10748210.61
"1999/2000","CO",700,"Oil and Gas Extraction",20,17034177.82
"1999/2000","CO",801,"Iron Ore Mining",20,4384018.41
"1999/2000","CO",802,"Bauxite Mining",20,1983315
"1999/2000","CO",803,"Copper Ore Mining",20,937770.9
"1999/2000","CO",804,"Gold Ore Mining",20,6670232.465
"1999/2000","CO",806,"Nickel Ore Mining",20,854556.02
"1999/2000","CO",807,"Silver-Lead-Zinc Ore Mining",20,1063584.64
"1999/2000","CO",809,"Other Metal Ore Mining",20,991417.724
"1999/2000","CO",911,"Gravel and Sand Quarrying",20,57630
"1999/2000","CO",919,"Other Construction Material Mining",20,156089.8
"1999/2000","CO",990,"Other Non-Metallic Mineral Mining and Quarrying",20,2372904.49864
"1999/2000","CO",1111,"Meat Processing",20,221041.26348804
"1999/2000","CO",1112,"Poultry Processing",20,7278.37
"1999/2000","CO",1113,"Cured Meat and Smallgoods Manufacturing",20,5073.65
"1999/2000","CO",1131,"Milk and Cream Processing",20,231785.2
"1999/2000","CO",1132,"Ice Cream Manufacturing",20,1660.1
"1999/2000","CO",1133,"Cheese and Other Dairy Product Manufacturing",20,91167.24
"1999/2000","CO",1140,"Fruit and Vegetable Processing",20,359359.6
"1999/2000","CO",1150,"Oil and Fat Manufacturing",20,124379
"1999/2000","CO",1161,"Grain Mill Product Manufacturing",20,69661.6
"1999/2000","CO",1162,"Cereal, Pasta and Baking Mix Manufacturing",20,14422.6
"1999/2000","CO",1171,"Bread Manufacturing (Factory based)",20,68026.38
"1999/2000","CO",1172,"Cake and Pastry Manufacturing (Factory based)",20,5249
"1999/2000","CO",1173,"Biscuit Manufacturing (Factory based)",20,6500
"1999/2000","CO",1181,"Sugar Manufacturing",20,29822838
"1999/2000","CO",1182,"Confectionery Manufacturing",20,31746
"1999/2000","CO",1191,"Potato, Corn and Other Crisp Manufacturing",20,259.1
"1999/2000","CO",1192,"Prepared Animal and Bird Feed Manufacturing",20,1563
"1999/2000","CO",1199,"Other Food Product Manufacturing n.e.c.",20,297426
"1999/2000","CO",1211,"Soft Drink, Cordial and Syrup Manufacturing",20,2794
"1999/2000","CO",1212,"Beer Manufacturing",20,124791.3
"1999/2000","CO",1213,"Spirit Manufacturing",20,5830.95
"1999/2000","CO",1214,"Wine and Other Alcoholic Beverage Manufacturing",20,1012.7
"1999/2000","CO",1220,"Cigarette and Tobacco Product Manufacturing",20,21494
"1999/2000","CO",1311,"Wool Scouring",20,13898
"1999/2000","CO",1312,"Natural Textile Manufacturing",20,39807.05
"1999/2000","CO",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",20,5149.7
"1999/2000","CO",1331,"Textile Floor Covering Manufacturing",20,14162
"1999/2000","CO",1333,"Cut and Sewn Textile Product Manufacturing",20,7829
"1999/2000","CO",1334,"Textile Finishing and Other Textile Product Manufacturing",20,52073
"1999/2000","CO",1411,"Log Sawmilling",20,3528429
"1999/2000","CO",1413,"Timber Resawing and Dressing",20,36130.8
"1999/2000","CO",1493,"Veneer and Plywood Manufacturing",20,259355
"1999/2000","CO",1494,"Reconstituted Wood Product Manufacturing",20,1260635.802
"1999/2000","CO",1499,"Other Wood Product Manufacturing n.e.c.",20,7e+05
"1999/2000","CO",1510,"Pulp, Paper and Paperboard Manufacturing",20,2655646
"1999/2000","CO",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",20,394969.02
"1999/2000","CO",1529,"Other Converted Paper Product Manufacturing",20,43300
"1999/2000","CO",1611,"Printing",20,25903
"1999/2000","CO",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",20,15754697
"1999/2000","CO",1709,"Other Petroleum and Coal Product Manufacturing",20,399363.15785
"1999/2000","CO",1812,"Basic Organic Chemical Manufacturing",20,220844
"1999/2000","CO",1813,"Basic Inorganic Chemical Manufacturing",20,582226.812
"1999/2000","CO",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",20,280741.257
"1999/2000","CO",1831,"Fertiliser Manufacturing",20,1760611
"1999/2000","CO",1832,"Pesticide Manufacturing",20,9929
"1999/2000","CO",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",20,12221
"1999/2000","CO",1851,"Cleaning Compound Manufacturing",20,6375
"1999/2000","CO",1892,"Explosive Manufacturing",20,1742622
"1999/2000","CO",1899,"Other Basic Chemical Product Manufacturing n.e.c.",20,16808
"1999/2000","CO",1911,"Polymer Film and Sheet Packaging Material Manufacturing",20,9830
"1999/2000","CO",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",20,29000
"1999/2000","CO",1914,"Tyre Manufacturing",20,104701
"1999/2000","CO",1916,"Paint and Coatings Manufacturing",20,2300
"1999/2000","CO",1919,"Other Polymer Product Manufacturing",20,16610
"1999/2000","CO",1920,"Natural Rubber Product Manufacturing",20,2140
"1999/2000","CO",2010,"Glass and Glass Product Manufacturing",20,467781
"1999/2000","CO",2021,"Clay Brick Manufacturing",20,3636516.9
"1999/2000","CO",2029,"Other Ceramic Product Manufacturing",20,199512.7
"1999/2000","CO",2031,"Cement and Lime Manufacturing",20,5994435.2
"1999/2000","CO",2032,"Plaster Product Manufacturing",20,6150
"1999/2000","CO",2033,"Ready-Mixed Concrete Manufacturing",20,66206.776
"1999/2000","CO",2034,"Concrete Product Manufacturing",20,49209
"1999/2000","CO",2090,"Other Non-Metallic Mineral Product Manufacturing",20,1328464
"1999/2000","CO",2110,"Iron Smelting and Steel Manufacturing",20,235721404.51
"1999/2000","CO",2121,"Iron and Steel Casting",20,4040991
"1999/2000","CO",2122,"Steel Pipe and Tube Manufacturing",20,33539.76
"1999/2000","CO",2131,"Alumina Production",20,6120342
"1999/2000","CO",2132,"Aluminium Smelting",20,92574830
"1999/2000","CO",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",20,123152810.44425
"1999/2000","CO",2139,"Other Basic Non-Ferrous Metal Manufacturing",20,781257.55
"1999/2000","CO",2141,"Non-Ferrous Metal Casting",20,6570
"1999/2000","CO",2142,"Aluminium Rolling, Drawing, Extruding",20,86023
"1999/2000","CO",2221,"Structural Steel Fabricating",20,1490
"1999/2000","CO",2229,"Other Structural Metal Product Manufacturing",20,32725.81
"1999/2000","CO",2239,"Other Metal Container Manufacturing",20,17705
"1999/2000","CO",2291,"Spring and Wire Product Manufacturing",20,17101.2
"1999/2000","CO",2292,"Nut, Bolt, Screw and Rivet Manufacturing",20,2059
"1999/2000","CO",2293,"Metal Coating and Finishing",20,688747.86706231
"1999/2000","CO",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",20,6080
"1999/2000","CO",2311,"Motor Vehicle Manufacturing",20,674957
"1999/2000","CO",2319,"Other Motor Vehicle Parts Manufacturing",20,56827.088
"1999/2000","CO",2393,"Railway Rolling Stock Manufacturing and Repair Services",20,27400.6
"1999/2000","CO",2439,"Other Electrical Equipment Manufacturing",20,26183
"1999/2000","CO",2441,"Whiteware Appliance Manufacturing",20,7630
"1999/2000","CO",2611,"Fossil Fuel Electricity Generation",20,26209633.5653898
"1999/2000","CO",2619,"Other Electricity Generation",20,1377615
"1999/2000","CO",2700,"Gas Supply",20,9589.56445
"1999/2000","CO",2812,"Sewerage and Drainage Services",20,158045.14
"1999/2000","CO",2921,"Waste Treatment and Disposal Services",20,1078672.7973767
"1999/2000","CO",2922,"Waste Remediation and Materials Recovery Services",20,138000
"1999/2000","CO",3321,"Petroleum Product Wholesaling",20,1226154
"1999/2000","CO",4400,"Accommodation",20,16742.2338256
"1999/2000","CO",5211,"Stevedoring Services",20,117000
"1999/2000","CO",5212,"Port and Water Transport Terminal Operations",20,627128.39035
"1999/2000","CO",5220,"Airport Operations and Other Air Transport Support Services",20,1850
"1999/2000","CO",7291,"Office Administrative Services",20,333000
"1999/2000","CO",7600,"Defence",20,193952
"1999/2000","CO",8401,"Hospitals (Except Psychiatric Hospitals)",20,152497.6869445
"1999/2000","CO",9531,"Laundry and Dry-Cleaning Services",20,11284
"1999/2000","NH3",143,"Beef Cattle Feedlots (Specialised)",8,12233908
"1999/2000","NH3",192,"Pig Farming",8,465081.07
"1999/2000","NH3",809,"Other Metal Ore Mining",8,NA
"1999/2000","NH3",1111,"Meat Processing",8,NA
"1999/2000","NH3",1132,"Ice Cream Manufacturing",8,1.5
"1999/2000","NH3",1181,"Sugar Manufacturing",8,NA
"1999/2000","NH3",1199,"Other Food Product Manufacturing n.e.c.",8,700
"1999/2000","NH3",1334,"Textile Finishing and Other Textile Product Manufacturing",8,2310
"1999/2000","NH3",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",8,14349
"1999/2000","NH3",1812,"Basic Organic Chemical Manufacturing",8,198.7
"1999/2000","NH3",1813,"Basic Inorganic Chemical Manufacturing",8,105001.2
"1999/2000","NH3",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",8,11000
"1999/2000","NH3",1831,"Fertiliser Manufacturing",8,92836
"1999/2000","NH3",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",8,NA
"1999/2000","NH3",1892,"Explosive Manufacturing",8,690001
"1999/2000","NH3",1916,"Paint and Coatings Manufacturing",8,1760
"1999/2000","NH3",2812,"Sewerage and Drainage Services",8,NA
"1999/2000","NH3",2921,"Waste Treatment and Disposal Services",8,NA
"1999/2000","NH3",3321,"Petroleum Product Wholesaling",8,2360
"1999/2000","NH3",3323,"Industrial and Agricultural Chemical Product Wholesaling",8,1719
"1999/2000","NMVOC",143,"Beef Cattle Feedlots (Specialised)",85,10120
"1999/2000","NMVOC",171,"Poultry Farming (Meat)",85,136.04
"1999/2000","NMVOC",600,"Coal Mining",85,567672.9
"1999/2000","NMVOC",700,"Oil and Gas Extraction",85,12623940.72
"1999/2000","NMVOC",801,"Iron Ore Mining",85,84775
"1999/2000","NMVOC",802,"Bauxite Mining",85,27000
"1999/2000","NMVOC",803,"Copper Ore Mining",85,79382.9
"1999/2000","NMVOC",804,"Gold Ore Mining",85,172342.502
"1999/2000","NMVOC",806,"Nickel Ore Mining",85,12695
"1999/2000","NMVOC",807,"Silver-Lead-Zinc Ore Mining",85,145.116
"1999/2000","NMVOC",809,"Other Metal Ore Mining",85,198903.02875
"1999/2000","NMVOC",911,"Gravel and Sand Quarrying",85,6003
"1999/2000","NMVOC",919,"Other Construction Material Mining",85,12119
"1999/2000","NMVOC",990,"Other Non-Metallic Mineral Mining and Quarrying",85,46267.12156
"1999/2000","NMVOC",1111,"Meat Processing",85,5160.258373206
"1999/2000","NMVOC",1112,"Poultry Processing",85,607.64
"1999/2000","NMVOC",1131,"Milk and Cream Processing",85,343.9
"1999/2000","NMVOC",1133,"Cheese and Other Dairy Product Manufacturing",85,140.25
"1999/2000","NMVOC",1150,"Oil and Fat Manufacturing",85,39743
"1999/2000","NMVOC",1161,"Grain Mill Product Manufacturing",85,7763.87
"1999/2000","NMVOC",1162,"Cereal, Pasta and Baking Mix Manufacturing",85,216.2
"1999/2000","NMVOC",1172,"Cake and Pastry Manufacturing (Factory based)",85,135.8906
"1999/2000","NMVOC",1173,"Biscuit Manufacturing (Factory based)",85,523
"1999/2000","NMVOC",1181,"Sugar Manufacturing",85,65452.85
