"Category","2.D.1 Pulp and Paper"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","4.57","4.57","4.45","4.26","4.00","3.33","3.47","3.44","3.19","3.49","3.53","3.81","3.95","4.18","4.30","4.43","4.45","4.53","4.62","4.65","4.77","4.72","4.52","3.97"
"Romania","8.37","5.54","3.43","2.49","1.93","1.87","2.83","2.58","2.25","1.88","2.10","2.73","2.51","2.90","3.09","2.73","1.50","1.16","1.25","0.00","","","",""
"Russian Federation","117.90","117.90","99.66","86.33","66.24","48.13","58.82","41.65","41.65","38.98","50.30","60.64","65.24","67.92","70.50","71.86","71.22","69.45","66.81","66.38","58.88","60.86","63.76","65.02"
"Slovakia","","","","","","","","","","","","0.02","0.01","0.01","0.02","0.00","0.00","0.00","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","0.37","0.37","0.38","0.28","0.11","0.33","0.43","0.26","0.31","0.42","0.45","0.47","0.43","0.42","0.47","0.49","0.50","0.47","0.42","0.45","0.47","0.50","0.51","0.53"
"Sweden","12.82","12.82","13.06","12.76","12.74","11.42","10.01","10.91","10.64","8.51","8.15","8.10","7.00","6.65","7.09","6.93","6.65","6.24","5.93","5.41","4.90","4.76","4.53","4.04"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","1.99","1.99","1.70","1.88","1.40","1.76","1.77","1.59","2.07","2.15","1.78","1.80","1.37","1.33","0.40","0.70","0.67","0.99","1.05","","","","",""
"Ukraine","3.31","3.31","3.10","2.48","1.60","1.02","1.11","0.90","0.79","0.93","0.83","0.98","1.19","1.29","1.36","3.01","4.46","4.58","5.69","5.60","4.84","5.04","5.72","4.82"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
