"Category","2.B.5 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"European Union (28)","299.66","299.66","239.44","210.83","188.09","200.32","206.17","143.76","145.19","142.51","136.37","129.61","110.97","112.18","105.48","100.14","101.32","100.13","105.55","98.69","75.05","80.48","86.41","72.38"
"Finland","30.68","30.68","23.05","15.42","11.09","10.35","9.85","7.48","7.75","8.41","8.48","6.94","6.38","7.09","6.13","4.00","6.20","8.93","9.79","10.67","7.35","7.60","8.39","6.71"
"France","27.40","27.40","25.57","18.89","14.78","14.41","14.69","13.59","13.89","12.78","12.21","14.45","13.98","11.91","10.79","9.07","7.56","7.25","6.72","6.23","4.61","4.47","4.48","3.76"
"Germany","56.02","56.02","24.82","23.80","21.79","20.60","25.03","22.58","23.11","24.24","24.64","24.80","23.38","23.20","23.89","25.57","25.74","30.28","30.65","29.98","25.44","28.32","31.62","31.58"
"Greece","3.61","3.61","3.19","2.35","2.09","2.39","2.88","2.91","3.13","3.07","3.16","2.12","1.96","2.18","2.23","2.33","3.45","1.16","1.24","1.13","0.89","1.19","1.08","0.52"
"Hungary","9.33","3.83","2.06","1.42","1.04","1.48","2.11","1.82","1.64","1.30","1.08","1.32","1.10","0.88","0.88","0.55","0.51","0.48","0.45","0.46","0.42","0.48","0.59","0.42"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","60.96","60.96","60.29","58.60","54.67","60.30","63.23","11.58","10.96","10.55","9.02","8.92","7.99","8.03","8.02","8.36","8.68","7.97","8.42","7.62","5.72","6.63","6.98","5.39"
"Japan","2.53","2.53","1.93","1.85","4.68","5.34","3.85","4.85","5.03","4.77","12.32","11.91","11.51","11.10","10.86","10.62","10.38","10.38","10.38","10.38","10.38","10.38","10.38","10.38"
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.11","0.11","","","","","0.11","0.25","0.64","0.39","1.96","0.42","0.35","0.19","0.40","0.20","0.04","0.05","0.05","0.04","0.04","","",""
"New Zealand","2.54","2.54","2.82","3.35","3.74","4.14","3.60","3.59","3.58","3.58","3.94","3.94","3.94","3.89","3.87","2.55","2.80","2.80","2.80","2.80","2.80","2.80","2.80","2.80"
"Norway","1.77","1.77","1.64","1.50","1.43","1.60","1.50","1.31","0.40","0.12","0.08","0.08","0.08","0.05","0.06","0.05","0.02","0.01","0.02","0.01","0.01","0.01","0.01","0.00"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","7.92","7.92","5.80","3.25","2.95","2.16","5.04","6.50","6.53","6.89","7.49","8.11","6.88","6.58","8.32","8.45","7.52","5.36","7.18","6.28","0.64","0.85","0.78","0.62"
"Romania","29.76","19.62","13.18","10.09","9.31","8.65","8.42","7.47","5.82","4.06","4.13","3.21","1.06","1.04","1.14","0.49","0.19","","","","","","0.04",""
"Russian Federation","227.00","227.00","205.60","171.82","144.94","111.07","121.72","102.46","109.48","102.41","125.33","146.57","145.03","150.39","155.91","163.07","168.36","166.46","171.81","161.21","150.40","150.82","173.75","182.51"
"Slovakia","","","","","","","","","","","","0.00","","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00"
"Slovenia","","","","","","","","","","","","","","0.11","0.58","0.58","0.48","0.15","0.16","0.19","0.03","0.16","0.15","0.08"
"Spain","9.18","9.18","7.89","8.79","8.48","8.53","8.48","6.56","6.86","6.79","6.72","6.21","6.08","6.14","5.58","5.32","5.60","5.83","5.77","5.06","3.54","4.49","3.96","3.38"
"Sweden","5.89","5.89","3.91","3.86","3.79","4.13","4.18","4.05","4.48","4.62","4.02","3.88","3.72","3.87","2.87","0.62","0.50","0.61","0.67","0.57","0.47","0.62","0.62","0.56"
"Switzerland","0.17","0.17","0.16","0.16","0.15","0.14","0.14","0.13","0.12","0.12","0.11","0.10","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.09","0.12","0.11","0.07"
"Turkey","12.87","12.87","9.52","13.88","14.66","13.32","13.50","14.09","16.70","16.09","14.57","11.98","10.19","11.14","9.68","5.04","2.96","3.16","14.20","14.82","10.55","12.53","15.62","15.74"
"Ukraine","88.49","88.49","73.91","52.99","32.60","29.02","28.03","27.75","25.37","23.90","24.55","18.27","18.42","16.55","20.06","25.24","28.47","26.45","29.02","26.22","15.76","22.91","27.07","24.22"
"United Kingdom of Great Britain and Northern Ireland","41.60","41.60","40.97","38.40","36.65","36.96","39.80","38.16","35.62","36.53","31.31","22.95","16.84","13.08","9.91","8.78","7.23","5.78","5.93","4.32","1.75","1.30","0.86","0.69"
"United States of America","269.44","269.44","254.02","252.20","244.04","249.48","259.46","231.56","235.07","236.89","295.26","306.99","310.44","235.05","232.48","229.91","227.34","207.47","187.59","167.72","149.84","131.97","114.10","114.10"
