"Category","1.AA.1.C Manufacture of Solid Fuels and Other Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","0.36","0.37","0.38","0.47","0.53","0.53","0.53","0.56","0.51","0.47","0.48","0.35","0.21","0.29","0.31","0.33","0.54","0.53","0.54","0.28","0.25","0.31","0.41"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.24","0.24","0.19","0.17","0.17","0.19","0.18","0.18","0.12","0.21","0.20","0.22","0.30","0.38","0.43","0.39","0.30","0.30","0.29","0.30","0.33","0.29","0.23","0.26"
"Italy","39.28","39.28","40.07","37.60","37.53","43.67","39.61","42.16","39.81","37.51","31.01","21.60","17.65","12.57","11.51","11.89","11.74","14.82","9.28","9.27","4.45","3.57","4.04","4.08"
"Japan","2.31","2.31","2.28","2.78","2.60","2.19","2.40","2.21","2.30","2.23","2.21","2.20","2.19","2.19","2.08","1.97","1.86","1.86","1.86","1.86","1.86","1.86","1.86","1.86"
"Latvia","0.91","0.91","0.77","0.93","0.63","0.58","0.64","1.59","0.61","1.21","1.30","0.47","0.07","0.04","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.02","0.02","0.01"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.06","0.06","0.04","0.02","0.04","","0.02","0.02","0.04","0.06","0.06","0.07","0.07","0.08","0.07","0.06","0.09","0.08","0.06","0.06","0.08","0.07","0.07","0.06"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","2.02","2.02","1.84","1.67","1.50","1.33","1.15","0.73","0.62","0.60","0.36","0.27","0.31","0.30","0.25","0.20","0.22","0.21","0.22","0.25","0.22","0.27","0.36","0.25"
"New Zealand","","","","","","","","","","","","","","","","","","","","","0.02","0.01","0.00","0.00"
"Norway","0.44","0.44","0.45","0.41","0.33","0.25","0.25","0.26","0.28","0.46","0.43","0.48","0.47","0.38","0.51","0.50","1.05","0.68","0.67","0.48","0.45","0.45","0.61","0.55"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","1.32","1.32","1.35","1.90","1.70","1.57","1.52","1.53","1.13","0.61","0.25","0.35","0.16","","","","","","","","","","",""
"Romania","6.58","4.42","4.79","6.93","7.36","8.77","9.35","6.65","13.74","12.46","8.21","5.12","5.26","10.28","8.39","11.79","10.63","6.54","7.83","8.67","4.67","5.41","4.99","4.71"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","0.69","0.65","0.71","0.78","0.74","0.64","0.57","0.54","0.63","0.64","0.59","0.24","0.26"
"Slovenia","1.06","0.88","0.67","0.45","0.40","0.38","0.33","0.17","0.10","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Spain","11.46","11.46","9.83","9.43","9.91","8.94","8.00","6.80","3.61","2.95","2.91","2.81","2.85","2.22","1.28","1.55","1.73","2.05","1.78","2.05","1.50","1.73","2.14","1.81"
"Sweden","0.37","0.37","0.48","0.37","0.31","0.44","0.50","0.33","0.36","0.26","0.32","0.29","0.34","0.28","0.38","0.33","0.68","0.45","0.41","0.20","0.26","0.21","0.33","0.21"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","185.63","165.67","155.58","139.95","90.89","104.54","89.12","80.04","75.11","66.10","51.28","47.29","43.74","24.80","22.92"
"United Kingdom of Great Britain and Northern Ireland","7.51","7.51","7.12","6.01","4.92","5.42","5.07","5.00","6.63","7.78","10.30","9.68","9.10","5.67","5.50","6.34","6.03","5.69","6.40","6.94","5.79","8.59","5.07","5.38"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
