"Category","1.AA.1.B Petroleum Refining"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Italy","192.21","192.21","187.10","193.00","167.08","159.05","144.21","143.54","142.70","113.75","116.13","86.94","74.67","83.00","73.65","72.16","63.04","53.52","48.26","45.44","37.96","40.89","32.27","27.05"
"Japan","29.65","29.65","35.54","34.37","39.50","36.43","36.39","34.91","36.44","35.40","37.05","36.98","36.91","36.83","34.98","33.13","31.27","31.27","31.27","31.27","31.27","31.27","31.27","31.27"
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","7.88","7.88","10.03","6.19","6.94","4.59","3.61","4.27","5.23","5.54","4.76","4.78","5.97","5.95","5.04","5.68","6.56","5.61","3.66","3.42","3.00","1.51","1.58","4.24"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","67.09","67.09","57.88","56.20","54.53","52.85","61.17","47.81","44.45","48.82","46.24","33.14","34.75","30.35","29.51","32.26","32.15","32.41","29.90","25.72","17.92","12.73","12.49","13.95"
"New Zealand","5.88","5.88","6.27","5.90","6.22","4.21","6.85","5.06","3.00","4.34","5.24","4.70","4.89","4.34","5.34","4.72","4.70","3.66","3.53","2.89","2.61","3.22","2.23","2.89"
"Norway","0.35","0.35","0.37","0.20","0.22","0.27","0.34","0.30","0.41","0.24","0.24","0.39","0.60","0.40","0.20","0.26","0.21","0.44","0.34","0.50","0.28","0.40","0.32","0.37"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","18.85","18.85","19.11","24.49","30.61","37.04","34.40","33.76","33.34","42.28","40.36","35.60","27.63","28.23","23.46","20.86","16.11","17.82","17.16","17.42","11.70","9.37","7.46","6.43"
"Romania","7.82","5.80","6.04","2.73","3.46","7.11","7.04","10.22","7.34","7.67","4.79","4.05","4.52","2.74","2.51","3.16","3.65","4.35","3.27","2.20","2.11","3.67","3.63","2.87"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","1.91","3.25","2.32","2.49","2.10","2.09","2.42","1.91","1.48","1.54","1.53","1.59","1.42"
"Slovenia","0.36","0.60","0.56","1.38","0.98","0.83","0.21","0.12","0.42","0.38","0.07","0.18","0.14","0.11","0.09","","","","","","","","",""
"Spain","134.29","134.29","145.65","143.79","142.79","134.34","123.32","127.33","126.48","119.83","115.02","106.64","95.83","84.53","73.57","72.56","63.51","63.93","61.95","47.34","42.28","35.77","26.17","16.93"
"Sweden","1.94","1.94","1.85","1.34","1.23","1.07","0.93","0.91","0.97","0.97","0.83","0.77","0.85","0.67","0.66","0.75","0.46","0.42","0.34","0.33","0.29","0.28","0.27","0.25"
"Switzerland","0.68","0.68","0.76","0.65","0.71","0.92","1.11","1.03","1.09","0.94","1.07","1.16","1.17","0.99","1.09","1.46","1.64","1.58","1.62","1.86","1.67","1.72","1.49","1.70"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","5.51","4.77","4.18","5.29","4.67","3.96","2.77","2.48","2.65","1.56","2.69","4.13","1.33","2.38","2.08"
"United Kingdom of Great Britain and Northern Ireland","137.58","137.58","136.22","124.99","126.20","116.35","118.97","115.95","111.79","104.58","89.67","72.89","72.36","65.77","63.28","70.14","73.05","75.13","78.96","72.01","58.99","55.71","60.19","49.19"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
