"Category","2.A.1 Cement Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Romania","3.67","2.84","2.01","1.88","1.85","1.80","2.05","2.09","1.97","1.97","1.67","1.82","1.70","1.70","1.80","1.87","2.11","2.48","3.02","3.20","2.37","2.10","2.43","2.47"
"Russian Federation","24.91","24.91","23.24","18.51","14.97","11.17","10.94","8.34","8.01","7.81","8.56","9.72","10.58","11.31","12.30","13.68","14.56","16.42","17.98","16.06","13.28","15.12","16.86","18.51"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","0.29","0.27","0.24","0.22","0.16","0.22","0.23","0.25","0.25","0.26","0.26","0.28","0.99","1.03","1.83","0.92","1.05","0.07","0.04","0.05","0.01","0.00","0.00","0.00"
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","5.26","5.26","4.60","4.41","4.42","4.44","5.64","4.89","4.86","4.34","0.55","0.07","0.06","0.09","0.10","0.07","0.06","0.03","0.05","0.02","0.04","0.03","0.05","0.05"
"Switzerland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkey","7.32","7.32","7.88","8.58","9.41","8.85","9.94","10.57","10.81","11.25","10.45","10.79","8.99","9.83","10.53","11.58","12.84","14.22","14.78","15.43","17.04","19.86","19.02","20.10"
"Ukraine","6.82","6.82","6.52","6.04","4.50","3.43","2.29","1.51","1.53","1.68","1.75","1.59","1.74","2.15","2.68","3.19","3.65","4.12","4.51","4.48","2.85","2.84","3.17","2.96"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
