"Category","Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"New Zealand","0.08","0.08","0.08","0.08","0.08","0.08","0.10","0.10","0.10","0.11","0.12","0.11","0.12","0.12","0.13","0.14","0.14","0.14","0.14","0.14","0.14","0.15","0.15","0.15"
"Norway","0.06","0.06","0.07","0.06","0.08","0.07","0.09","0.11","0.11","0.11","0.10","0.10","0.08","0.08","0.07","0.08","0.08","0.10","0.11","0.10","0.13","0.12","0.11","0.12"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.39","0.39","0.40","0.43","0.40","0.41","0.42","0.42","0.43","0.46","0.51","0.52","0.51","0.48","0.53","0.57","0.59","0.63","0.66","0.69","0.62","0.69","0.71","0.72"
"Romania","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.08","0.10","0.11","0.09","0.12","0.07","0.10","0.07","0.04"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","0.03","0.03","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.02","0.02","0.02","0.03","0.03","0.02","0.02","0.02","0.02"
"Spain","1.77","1.77","1.75","1.96","2.00","2.09","2.29","2.44","2.59","2.87","2.97","3.20","3.21","3.06","3.24","3.56","3.78","3.97","4.19","4.21","3.89","4.03","4.44","4.28"
"Sweden","0.43","0.43","0.35","0.29","0.40","0.44","0.47","0.48","0.51","0.54","0.61","0.63","0.61","0.52","0.51","0.58","0.63","0.65","0.71","0.80","0.68","0.68","0.74","0.70"
"Switzerland","0.97","0.97","0.95","1.01","1.05","1.09","1.16","1.21","1.26","1.32","1.41","1.48","1.40","1.29","1.16","1.09","1.11","1.16","1.24","1.34","1.28","1.35","1.49","1.48"
"Turkey","","","","","","","","","","","","","","","","","","","","0.20","0.18","0.13","1.16","1.22"
"Ukraine","0.37","0.37","0.32","0.27","0.22","0.17","0.12","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.07","0.09","0.10","0.12","0.13","0.15","0.13","0.14","0.46","0.18"
"United Kingdom of Great Britain and Northern Ireland","2.98","2.98","3.91","5.40","4.62","6.02","5.12","5.42","7.20","8.01","6.09","6.91","7.48","6.06","7.14","8.45","9.13","10.95","9.77","10.39","8.53","8.37","9.19","12.85"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
