"EMF30 sectors",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Activity data: ENE",,,,,,,,,,,,,,,
"Scenario: ECLIPSE_V6b_CLE_base",,,,,,,,,,,,,,,
"Region: All EMF Regions",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Region","EMF30 sector","EMF30 unit","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AFRI_NORT","Power_Gen_Coal_Old","PJ","29.642","65.656","59.603","60.693","25.882","16.645","9.226","2.181",,,,,
"AFRI_NORT","Power_Gen_Coal_New","PJ",,,"29.293","75.729","90.094","168.69","195.414","280.355","346.583","364.474","365.513","371.875","373.316"
"AFRI_NORT","Power_Gen_Coal_IGCC_CCS","PJ",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_HLF","PJ","387.644","367.572","362.765","475.391","523.091","743.352","578.076","457.863","384.52","373.328","281.322","235.726","180.776"
"AFRI_NORT","Power_Gen_LLF","PJ","48.821","53.151","43.53","41.991","46.272","34.125",,,,,,,
"AFRI_NORT","Power_Gen_HLF_CCS","PJ",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_NatGas","PJ","527.389","712.896","914.85","1439.939","1745.739","2142.255","2231.126","2386.583","2574.267","2809.897","3080.106","2357.14","2485.873"
"AFRI_NORT","Power_Gen_Bio_Trad","PJ",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_Bio_Trad_Old","PJ",,,,,,"0","0.006","0.04","0.051","0.069","0.074",,
"AFRI_NORT","Power_Gen_Bio_Trad_New","PJ",,,,,,,,"4.132","8.139","14.754","25.911","44.291","74.796"
"AFRI_NORT","Transformations_Coal","PJ","34.089","28.011","36.152","37.992","15.74","10.423","16","18.298","19.691","20.479","20.82","21.034","20.957"
"AFRI_NORT","Transformations_HLF","PJ","151.733","163.973","57.357","106.376","83.448","58.139","16.995","16.529","46.641","80.057","102.418","103.323","102.84"
"AFRI_NORT","Transformations_HLF_Refinery","PJ",,,,,,,,,,,,,
"AFRI_NORT","Transformations_LLF","PJ",,,,,,,,,,,,,
"AFRI_NORT","Transformations_NatGas","PJ","10.213","7.033","9.847","6.941","10.811","21.777","279.998","345.186","412.442","436.469","470.736","492.767","521.455"
"AFRI_NORT","End_Use_Residential_Bio_Trad_Heat","PJ",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_Bio_Trad_Cook","PJ","89.58","103.002","116.074","151.02","140.065","141.887","140.7","139.924","136.355","129.845","119.326","115.312","114.686"
"AFRI_NORT","End_Use_Services_Bio_Trad_Heat","PJ","20.587","22.407","23.878","40.151","27.406","27.81","29.333","30.888","32.06","32.536","32.483","32.955","32.944"
"AFRI_NORT","End_Use_Residential_Bio_Mod","PJ",,,,,"1.117","1.89","8.051","25.209","51.799","82.555","108.187","122.832","137.762"
"AFRI_NORT","End_Use_Residential_Coal_Heat","PJ",,,,,,,"0.011","0.01","0.008","0.007","0.006","0.005","0.005"
"AFRI_NORT","End_Use_Residential_Coal_Cook","PJ",,,,,,,"0.077","0.07","0.059","0.051","0.044","0.037","0.033"
"AFRI_NORT","End_Use_Services_Coal_Heat","PJ",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_HLF","PJ","15.778","19.077","18.96","38.682","57.607","34.501","164.375","176.321","191.988","204.769","218.614","230.718","241.608"
"AFRI_NORT","End_Use_Residential_LLF","PJ","286.88","282.39","356.675","385.447","444.847","445.932","293.624","307.865","327.136","351.134","375.357","396.671","415.634"
"AFRI_NORT","End_Use_Residential_NatGas","PJ","49.247","109.6","106.283","175.257","225.756","398.881","585.197","774.022","1079.173","1423.684","1660.736","1777.966","1890.286"
"AFRI_NORT","End_Use_Industry_Coal","PJ","30.95","25.892","30.638","44.687","67.981","81.671","7.74","10.27","12.6","14.704","16.367","17.516","18.317"
"AFRI_NORT","End_Use_Industry_HLF","PJ","342.861","314.785","320.685","336.692","340.054","260.067","25.669","36.153","52.406","67.981","80.029","87.009","94.101"
"AFRI_NORT","End_Use_Industry_LLF","PJ","6.698","7.862","7.466","12.433","9.419","8.368","211.873","236.037","257.703","247.572","235.578","223.637","209.773"
"AFRI_NORT","End_Use_Industry_NatGas","PJ","324.171","304.048","372.708","561.185","626.11","542.86","925.215","1047.719","1167.69","1248.735","1330.058","1387.647","1430.526"
"AFRI_NORT","End_Use_Industry_Bio_Trad","PJ","21.772","27.972","45.097","44.113","41.683","39.733","12.852","12.811","12.45","11.829","11.253","10.62","10.018"
"AFRI_NORT","CEMENT","Mt","29.432","37.428","51.891","61.426","95.232","112.117","129.576","145.106","160.07","171.006","177.257","178.116","176.087"
"AFRI_NORT","STEEL","Mt","1.55","4.586","4.959","7.972","8.798","7.074","9.24","11.04","12.512","13.725","14.71","15.354","15.686"
"AFRI_NORT","CUSM","Mt","0.164","0.174","0.184","0.204","0.196","0.179","0.181","0.197","0.207","0.203","0.18","0.193","0.203"
"AFRI_NORT","PAPER","Mt","0.521","0.504","0.693","0.76","0.821","1.367","1.984","2.64","3.413","4.08","4.878","5.234","5.488"
"AFRI_NORT","CHEM","Mt","3.556","4.417","4.35","4.668","4.551","4.137","4.157","4.497","4.89","4.789","4.253","4.563","4.785"
"AFRI_NORT","CHEMBULK","Mt","5.96","6.44","8.069","8.228","12.225","17.257","20.791","23.534","26.481","28.494","30.729","32.56","34.714"
"AFRI_NORT","AACID","Mt",,,,,,,,,,,,,
"AFRI_NORT","NACID","Mt","0.03","0.08","0.2","0.218","0.306","0.306","0.313","0.34","0.367","0.383","0.398","0.449","0.495"
"AFRI_NORT","Losses_Coal","Mt","0.526","0.65","0.089","0.037",,,,,,,,,
"AFRI_NORT","Losses_Prod_Oil","Mt",,,,,,,,,,,,,
"AFRI_NORT","Losses_Prod_Conventional_Gas","bln m3",,,,,,,,,,,,,
"AFRI_NORT","Losses_Prod_Shale_Gas","bln m3",,,,,,,,,,,,,
"AFRI_NORT","Losses_Distribution_Use","bln m3",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Transport_LDT_HLF","PJ",,"8.56","17.871","36.801","195.436","248.254","329.19","360.928","356.927","320.783","304.08","323.651","338.993"
"AFRI_NORT","End_Use_Transport_LDT_LLF","PJ","271.347","261.057","297.796","362.279","544.169","729.679","580.611","665.901","720.209","784.582","815.935","834.391","824.035"
"AFRI_NORT","End_Use_Transport_HDT_HLF","PJ","324.967","419.425","577.832","693.224","834.242","974.919","965.242","1114.08","1288.936","1321.181","1356.269","1385.99","1439.425"
"AFRI_NORT","End_Use_Transport_HDT_LLF","PJ","0.089","0.227","0.643","1.624","16.185","13.972","209.204","234.812","264.159","258.937","265.999","271.832","279.014"
"AFRI_NORT","End_Use_Transport_MC_LLF","PJ","36.335","38.974","25.392","25.679","26.927","34.63","8.685","9.631","9.611","9.27","8.473","7.733","6.765"
"AFRI_NORT","End_Use_Transport_AGR_HLF","PJ","15.346","21.454","26.598","89.209","105.975","65.515","86.074","99.547","111.116","118.904","128.36","137.858","147.155"
"AFRI_NORT","End_Use_Transport_OFF_HLF","PJ","57.784","52.631","97.329","76.348","92.673","90.741","125.567","112.481","92.193","94.27","97.103","93.643","71.075"
"AFRI_NORT","End_Use_Transport_OFF_LLF","PJ","12.612","18.916","11.484","15.37","12.513","6.854","18.387","17.531","16.413","14.641","12.349","11.723","10.996"
"AFRI_NORT","End_Use_Transport_NatGas","PJ","12.308","19.362","27.704","59.935","55.611","42.264","61.547","77.301","93.631","106.995","127.142","150.617","174.751"
"AFRI_NORT","End_Use_Transport_Coal","PJ",,,,,,,,,,,,,
"AFRI_NORT","Waste_Solid_Municipal","n.a",,,,,,,,,,,,,
"AFRI_NORT","Waste_Solid_Industrial","n.a",,,,,,,,,,,,,
"AFRI_NORT","Waste_Water_Municipal","n.a",,,,,,,,,,,,,
"AFRI_NORT","Waste_Water_Industrial","n.a",,,,,,,,,,,,,
"AFRI_NORT","Unattributed","n.a",,,,,,,,,,,,,
"AFRI_WEST","Power_Gen_Coal","PJ",,,,,,,,,,,,,
"AFRI_WEST","Power_Gen_Coal_Old","PJ","22.784","23.975","14.466","15.319","0.096","5.59","8.248","12.384","24.244","35.189","44.347","58.323","82.89"
"AFRI_WEST","Power_Gen_Coal_New","PJ",,,"65.343","76.778","69.653","120.247","169.553","257.157","337.12","347.946","358.772","448.855","524.585"
"AFRI_WEST","Power_Gen_Coal_IGCC_CCS","PJ",,,,,,,"0.215",,"2.213","2.284","2.284","2.284","2.284"
"AFRI_WEST","Power_Gen_HLF","PJ","197.626","224.149","237.746","265.124","402.256","387.886","522.042","502.431","493.6","488.144","509.027","530.219","572.368"
"AFRI_WEST","Power_Gen_LLF","PJ","16.663","17.616","14.425","21.985","11.039","8.938","19.951","27.635","23.451","15.36","11.557","10.828","9.569"
"AFRI_WEST","Power_Gen_HLF_CCS","PJ",,,,,,,,,,,,,
"AFRI_WEST","Power_Gen_NatGas","PJ","42.96","66.566","207.859","258.027","341.426","491.229","499.555","552.5","809.71","1346.544","1963.863","2702.25","3748.833"
"AFRI_WEST","Power_Gen_Bio_Trad","PJ",,,,,,,,,,,,,
"AFRI_WEST","Power_Gen_Bio_Trad_Old","PJ","1.881","1.813","2.918","3.331",,"8.144","9.634","15.569","32.502","48.669","63.205","75.925","87.488"
"AFRI_WEST","Power_Gen_Bio_Trad_New","PJ",,,"2.957","6.339","16.583","10.462","7.413","15.087","25.78","35.972","45.585","54.353","62.82"
"AFRI_WEST","Transformations_Coal","PJ","7.479","11.272","6.081","6.953","1.96","2.41","6.736","9.398","90.202","190.362","275.111","374.242","580.591"
"AFRI_WEST","Transformations_HLF","PJ","38.719","32.724","10.7","51.952","17.392","40.58","88.211","125.572","104.216","63.7","43.581","38.626","30.312"
"AFRI_WEST","Transformations_HLF_Refinery","PJ",,,,,,,,,,,,,
"AFRI_WEST","Transformations_LLF","PJ",,,"2.357","3.896","4.666","3.848","8.365","11.907","9.882","6.04","4.132","3.663","2.874"
"AFRI_WEST","Transformations_NatGas","PJ","8.408","11.88",,,"2.172","2.472","3.203","4.678","6.013","7.43","8.737","9.537","10.316"
"AFRI_WEST","End_Use_Residential_Bio_Trad_Heat","PJ",,,,,,,,,,,,,
"AFRI_WEST","End_Use_Residential_Bio_Trad_Cook","PJ","4114.339","4660.969","5200.611","6217.892","7007.433","8091.078","8300.946","8780.639","9108.244","9230.55","9094.934","9063.073","9112.574"
"AFRI_WEST","End_Use_Services_Bio_Trad_Heat","PJ","70.732","75.891","123.091","93.974","125.536","188.753","237.414","238.48","253.472","267.144","272.478","274.381","256.865"
"AFRI_WEST","End_Use_Residential_Bio_Mod","PJ",,,,"0.003",,,,,,,,,
"AFRI_WEST","End_Use_Residential_Coal_Heat","PJ","1.753","1.794","1.766","0.656","1.137","0.171","0.094","0.229","0.383","0.547","0.719","0.893","1.062"
"AFRI_WEST","End_Use_Residential_Coal_Cook","PJ","12.274","12.555","12.361","4.593","7.962","1.2","0.657","1.6","2.679","3.832","5.035","6.248","7.433"
"AFRI_WEST","End_Use_Services_Coal_Heat","PJ","13.994","13.605","12.445","3.958","7.208","0.66","2.491","2.785","3.19","3.553","3.8","4.134","4.284"
"AFRI_WEST","End_Use_Residential_HLF","PJ","32.711","37.041","28.859","25.504","46.978","75.575","116.775","134.14","176.765","235.946","309.524","391.32","493.351"
"AFRI_WEST","End_Use_Residential_LLF","PJ","117.876","130.559","132.079","152.355","180.213","196.642","181.173","209.619","267.127","355.971","489.989","672.388","915.702"
"AFRI_WEST","End_Use_Residential_NatGas","PJ",,,"20.623","6.002","0.004","0.031","0.871","15.558","40.62","79.729","137.896","220.276","333.06"
"AFRI_WEST","End_Use_Industry_Coal","PJ","79.48","27.309","32.062","24.59","21.62","29.357","33.742","45.553","84.784","136.66","200.76","291.08","455.227"
"AFRI_WEST","End_Use_Industry_HLF","PJ","83.096","74.962","62.562","76.884","81.853","93.734","124.765","159.098","185.777","207.888","239.494","276.226","314.126"
"AFRI_WEST","End_Use_Industry_LLF","PJ","5.158","9.908","5.884","5.467","6.732","6.425","8.531","9.939","11.045","12.289","14.118","16.267","18.481"
"AFRI_WEST","End_Use_Industry_NatGas","PJ","72.489","114.475","114.942","154.59","134.696","250.235","364.211","492.23","653.711","855.936","1119.534","1428.144","1823.033"
"AFRI_WEST","End_Use_Industry_Bio_Trad","PJ","444.366","516.739","327.517","447.331","668.696","579.195","648.087","722.469","840.3","996.912","1187.166","1380.18","1564.762"
"AFRI_WEST","CEMENT","Mt","8.897","9.841","11.378","15.628","33.929","54.569","72.793","89.73","114.143","143.742","180.153","216.225","254.969"
"AFRI_WEST","STEEL","Mt","0.31","0.299","0.295","0.222","0.188","0.188","0.257","0.412","0.707","1.238","3.202","7.89","18.158"
"AFRI_WEST","CUSM","Mt","0.344","0.418","0.435","0.629","1.115","1.581","1.648","1.715","2.033","2.319","2.425","3.083","3.824"
"AFRI_WEST","PAPER","Mt","0.137","0.207","0.177","0.196","0.038","0.023","0.037","0.048","0.064","0.086","0.113","0.145","0.184"
"AFRI_WEST","CHEM","Mt",,,"0.27","0.294","0.627","0.504","0.475","0.509","0.583","0.665","0.695","0.884","1.096"
"AFRI_WEST","CHEMBULK","Mt",,,,,,,,,,,,,
"AFRI_WEST","AACID","Mt",,,,,,,,,,,,,
"AFRI_WEST","NACID","Mt",,,,,,,,,,,,,
"AFRI_WEST","Losses_Coal","Mt","7.163","6.436","6.021","5.201","4.466","13.602","20.304","25.883","32.677","42.644","57.327","72.461","92.979"
"AFRI_WEST","Losses_Prod_Oil","Mt",,,,,,,,,,,,,
"AFRI_WEST","Losses_Prod_Conventional_Gas","bln m3",,,,,,,,,,,,,
"AFRI_WEST","Losses_Prod_Shale_Gas","bln m3",,,,,,,,,,,,,
"AFRI_WEST","Losses_Distribution_Use","bln m3",,,,,,,,,,,,,
"AFRI_WEST","End_Use_Transport_LDT_HLF","PJ",,"3.156","53.723","67.569","27.84","39.004","49.905","49.801","50.235","53.939","63.202","83.934","116.34"
"AFRI_WEST","End_Use_Transport_LDT_LLF","PJ","229.058","237.744","322.473","413.877","495.176","569.833","708.513","770.926","850.514","936.037","1054.747","1259.728","1582.258"
"AFRI_WEST","End_Use_Transport_HDT_HLF","PJ","159.704","154.63","161.17","187.212","311.202","385.46","516.588","602.403","702.942","807.649","937.526","1037.029","1139.223"
"AFRI_WEST","End_Use_Transport_HDT_LLF","PJ",,,,,,,,,,,,,
"AFRI_WEST","End_Use_Transport_MC_LLF","PJ","32.068","25.842","20.367","35.989","79.318","95.633","52.047","51.925","52.892","54.151","56.281","60.379","63.534"
"AFRI_WEST","End_Use_Transport_AGR_HLF","PJ","7.316","9.972","15.516","12.06","17.008","27.278","8.589","8.848","9.162","9.304","9.321","9.213","8.988"
"AFRI_WEST","End_Use_Transport_OFF_HLF","PJ","14.602","14.651","26.766","28.171","36.867","64.965","90.84","107.165","124.186","145.313","169.864","195.923","223.096"
"AFRI_WEST","End_Use_Transport_OFF_LLF","PJ","5.793","10.404","28.077","43.631","7.11","8.061","9.275","10.296","11.847","13.788","16.048","18.418","20.863"
"AFRI_WEST","End_Use_Transport_NatGas","PJ",,,,,"0.009","0.101","0.998","2.784","5.413","8.77","11.824","16.139","22.912"
"AFRI_WEST","End_Use_Transport_Coal","PJ",,,,,,,,,,,,,
"AFRI_WEST","Waste_Solid_Municipal","n.a",,,,,,,,,,,,,
"AFRI_WEST","Waste_Solid_Industrial","n.a",,,,,,,,,,,,,
"AFRI_WEST","Waste_Water_Municipal","n.a",,,,,,,,,,,,,
"AFRI_WEST","Waste_Water_Industrial","n.a",,,,,,,,,,,,,
"AFRI_WEST","Unattributed","n.a",,,,,,,,,,,,,
"ASIA_STAN","Power_Gen_Coal","PJ",,,,,,,,,,,,,
"ASIA_STAN","Power_Gen_Coal_Old","PJ","1116.301","739.413","383.72","469.828","384.066","324.728","200.204","59.955",,,,,
"ASIA_STAN","Power_Gen_Coal_New","PJ",,,"274.764","336.651","422.649","532.045","720.293","904.387","1003.761","969.551","1004.71","1040.49","1069.012"
"ASIA_STAN","Power_Gen_Coal_IGCC_CCS","PJ",,,,,,,,,,,,,
"ASIA_STAN","Power_Gen_HLF","PJ","262.778","150.299","100.13","81.22","43.122","42.857","32.234","20.256","12.725","10.28","6.984","4.64","4.08"
"ASIA_STAN","Power_Gen_LLF","PJ","18.266","18.86","24.206","29.156","17.987","16.423","0.056","0.022","0.004","0",,,
"ASIA_STAN","Power_Gen_HLF_CCS","PJ",,,,,,,,,,,,,
"ASIA_STAN","Power_Gen_NatGas","PJ","878.355","776.937","928.523","1124.442","1465.906","1768.115","1352.517","1291.566","1343.225","1567.025","1813.994","1918.924","2037.225"
"ASIA_STAN","Power_Gen_Bio_Trad","PJ",,,,,,,,,,,,,
"ASIA_STAN","Power_Gen_Bio_Trad_Old","PJ",,,,,,"0","0.753","0.758","0.764","0.768","0.771",,
"ASIA_STAN","Power_Gen_Bio_Trad_New","PJ",,,,,,"0","1.734","2.967","6.486","10.463","14.759","19.274","24.196"
"ASIA_STAN","Transformations_Coal","PJ","3.348","10.462","80.233","109.621","113.866","187.261",,,,,,,
"ASIA_STAN","Transformations_HLF","PJ","102.506","75.386","90.352","30.151","77.949","89.282",,,,,,,
"ASIA_STAN","Transformations_HLF_Refinery","PJ",,,,,,,,,,,,,
"ASIA_STAN","Transformations_LLF","PJ",,,"2.162",,,"0.736",,,,,,,
"ASIA_STAN","Transformations_NatGas","PJ","9.376","43.93","68.49","78.559","96.937","73.428","18.54","35.326","56.139","58.404","62.259","67.168","70.582"
"ASIA_STAN","End_Use_Residential_Bio_Trad_Heat","PJ","4.487","3.151","2.95","0.679","2.646","3.439","22.129","22.417","22.791","23.619","24.472","25.262","26.026"
"ASIA_STAN","End_Use_Residential_Bio_Trad_Cook","PJ",,,,,,,,,,,,,
"ASIA_STAN","End_Use_Services_Bio_Trad_Heat","PJ","0.671","0.471","0.441","0.102","0.089","0.023","0.009","0.021","9.74","13.739","17.943","21.977","25.648"
"ASIA_STAN","End_Use_Residential_Bio_Mod","PJ",,,,,"0.028","0.071","2.949","6.448","10.173","14.056","18.392","22.809","27.191"
"ASIA_STAN","End_Use_Residential_Coal_Heat","PJ","64.29","8.188","13.948","12.961","133.687","110.873","38.923","36.057","33.048","30.518","29.118","29.251","28.995"
"ASIA_STAN","End_Use_Residential_Coal_Cook","PJ",,,,,,,,,,,,,
"ASIA_STAN","End_Use_Services_Coal_Heat","PJ","27.553","2.68","5.701","5.694","67.438","42.574","51.421","53.955","55.298","55.373","54.7","52.951","50.141"
"ASIA_STAN","End_Use_Residential_HLF","PJ","350.355","170.87","111.108","124.086","181.011","215.368","228.902","234.867","235.514","236.458","236.296","227.884","214.398"
"ASIA_STAN","End_Use_Residential_LLF","PJ","92.057","45.42","44.58","67.562","52.304","69.299","4.056","5.003","5.932","5.894","5.659","5.379","5.017"
"ASIA_STAN","End_Use_Residential_NatGas","PJ","1372.926","1057.994","1006.398","992.479","947.801","924.556","739.327","1064.307","1142.31","1213.756","1280.696","1329.243","1359.2"
"ASIA_STAN","End_Use_Industry_Coal","PJ","748.958","500.101","128.752","271.672","461.904","327.025","384.486","429.566","472.104","521.383","578.432","630.823","678.69"
"ASIA_STAN","End_Use_Industry_HLF","PJ","219.936","188.526","64.131","90.593","103.878","172.114","223.996","236.219","246.463","245.764","229.122","217.981","198.894"
"ASIA_STAN","End_Use_Industry_LLF","PJ",,,"2.445","1.965","4.55","7.966","0.781","0.719","0.602","0.652","0.703","0.692","0.669"
"ASIA_STAN","End_Use_Industry_NatGas","PJ","79.564","316.605","396.497","538.981","691.227","706.042","1062.092","1094.071","1214.884","1335.917","1451.051","1577.049","1671.751"
"ASIA_STAN","End_Use_Industry_Bio_Trad","PJ",,,,,"0.1",,"5.066","10.391","16.241","22.67","29.645","36.118","41.663"
